date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2017-10-04,207884312.824,859,540946000.0,0.020864,9000050.0,0.0,59.948744,
2017-10-05,411326650.275,1193,569134000.0,0.021951,5562510.0,0.0,156.805239,
2017-10-06,312314745.455,889,553774000.0,0.021359,7780710.0,0.0,114.499377,
2017-10-07,185266331.519,671,477417000.0,0.018414,7411240.0,0.0,81.891164,
2017-10-08,214142599.597,679,542638000.0,0.020929,7727460.0,0.0,90.981593,
2017-10-09,163939625.745,680,527469000.0,0.020344,4663310.0,0.0,87.836065,
2017-10-10,211980536.346,660,573302000.0,0.022112,2725600.0,0.0,80.536581,
2017-10-11,147429298.943,557,556914000.0,0.02148,3606720.0,0.0,70.54622,
2017-10-12,191961300.242,672,584358000.0,0.022538,8680640.0,0.0,86.246889,
2017-10-13,243264094.953,782,675684000.0,0.026061,15613600.0,0.0,110.361223,
2017-10-14,379080551.684,930,878314000.0,0.033876,27853200.0,0.0,142.220331,
2017-10-15,280089467.037,726,852317000.0,0.032874,7104990.0,0.0,104.520862,
2017-10-16,229827474.898,626,776227000.0,0.029939,6196030.0,0.0,93.112895,
2017-10-17,305513404.208,669,750659000.0,0.028953,7039900.0,0.0,104.33597,
2017-10-18,464452866.206,502,705718000.0,0.027219,2336180.0,0.0,78.68741,
2017-10-19,206818645.137,536,692370000.0,0.026704,2897720.0,0.0,82.803862,
2017-10-20,189373019.895,705,699574000.0,0.026982,8716410.0,0.0,111.994747,
2017-10-21,154648793.645,578,798697000.0,0.030805,5344520.0,0.0,84.506958,
2017-10-22,128926681.227,517,740608000.0,0.028565,2930210.0,0.0,75.831882,
2017-10-23,65490614.3749,298,717768000.0,0.027684,3517050.0,0.0,42.534358,
2017-10-24,131859234.357,714,656966000.0,0.025339,7589560.0,0.0,113.657667,
2017-10-25,119840361.528,445,701019000.0,0.027038,2561430.0,0.0,69.408139,
2017-10-26,114449869.941,429,710649000.0,0.027409,2437710.0,0.0,66.791287,
2017-10-27,86978314.2657,450,703611000.0,0.027138,2511440.0,0.0,70.030302,
2017-10-28,83751961.3979,372,682882000.0,0.026339,1739460.0,0.0,58.897018,
2017-10-29,72005519.9121,411,669716000.0,0.025831,4746180.0,0.0,61.400928,
2017-10-30,3379714002.53,576,734193000.0,0.028318,3781270.0,0.0,93.926058,
2017-10-31,296413605.695,626,740140000.0,0.028547,7304450.0,0.0,100.983941,
2017-11-01,149870162.938,574,755165000.0,0.029126,9382780.0,0.0,95.194351,
2017-11-02,91767593.5423,458,598375000.0,0.023079,6165050.0,0.0,75.110304,
2017-11-03,52618111.8523,377,555312000.0,0.021418,2836080.0,0.0,59.906445,
2017-11-04,51279920.9842,355,587012000.0,0.022641,2626920.0,0.0,55.404465,
2017-11-05,55581018.1343,379,571799000.0,0.022054,2396230.0,0.0,60.284034,
2017-11-06,62292930.5621,472,543879000.0,0.020977,4591160.0,0.0,78.82348,
2017-11-07,58612520.08,402,566399000.0,0.021846,2539540.0,0.0,63.690628,
2017-11-08,45269129.9648,356,568104000.0,0.021912,6367000.0,0.0,57.969264,
2017-11-09,85053955.8293,588,652327000.0,0.02516,18716200.0,0.0,95.284479,
2017-11-10,183850727.368,547,835352000.0,0.032219,6766780.0,0.0,88.204026,
2017-11-11,44345210.3937,334,697209000.0,0.026891,5532220.0,0.0,52.508007,
2017-11-12,123446405.806,394,712489000.0,0.027481,7280250.0,0.0,61.243157,
2017-11-13,356746741.016,383,631690000.0,0.024364,4419440.0,0.0,62.372078,
2017-11-14,46429195.963,448,668839000.0,0.025797,3033290.0,0.0,71.83201,
2017-11-15,51744248.3128,442,677107000.0,0.026116,6858800.0,0.0,70.979033,
2017-11-16,61825795.3375,443,689223000.0,0.026583,4888130.0,0.0,71.973901,
2017-11-17,115083117.24,370,703728000.0,0.027143,3578870.0,0.0,60.749748,
2017-11-18,117682013.955,448,663650000.0,0.025597,2930550.0,0.0,72.758308,
2017-11-19,50834619.9346,443,680390000.0,0.026242,4725050.0,0.0,73.319392,
2017-11-20,332733193.153,678,729895000.0,0.028152,16172400.0,0.0,112.526056,
2017-11-21,115178829.882,542,767098000.0,0.029587,5836790.0,0.0,91.303519,
2017-11-22,58731150.8052,470,736311000.0,0.028399,4938480.0,0.0,77.04848,
2017-11-23,63033634.6725,485,739960000.0,0.02854,5132300.0,0.0,81.570962,
2017-11-24,60885321.6951,468,710569000.0,0.027406,5502350.0,0.0,77.661925,
2017-11-25,56702989.4647,492,734370000.0,0.028324,6156460.0,0.0,82.420601,
2017-11-26,81999172.8277,774,789144000.0,0.030437,30527100.0,0.0,129.839839,
2017-11-27,248544519.109,1214,949409000.0,0.036618,77777300.0,0.0,203.50762,
2017-11-28,361619515.481,2214,1312600000.0,0.050626,240338000.0,0.0,376.086687,
2017-11-29,722991386.435,1274,3065480000.0,0.118235,210625000.0,0.0,207.949075,
2017-11-30,1439151117.88,3217,2461270000.0,0.094931,124345000.0,0.0,544.873563,
2017-12-01,2857211194.67,3075,3023680000.0,0.116622,73657600.0,0.0,526.069775,
2017-12-02,919464224.767,2269,3412870000.0,0.131633,56712600.0,0.0,381.75557,
2017-12-03,755702161.038,1972,3431460000.0,0.132351,46458900.0,0.0,334.232577,
2017-12-04,4337070442.85,2768,3410590000.0,0.131546,76392700.0,0.0,472.122462,
2017-12-05,3911611136.7,3144,3516360000.0,0.135625,50381100.0,0.0,536.204627,
2017-12-06,2506608852.05,3243,3286200000.0,0.126748,75688800.0,0.0,556.724766,
2017-12-07,2273088469.72,3080,3053330000.0,0.117766,71024600.0,0.0,529.408236,
2017-12-08,1683236055.37,2981,2751950000.0,0.106142,70092400.0,0.0,509.523792,
2017-12-09,1120676230.06,2307,2974990000.0,0.114745,63308600.0,0.0,397.817485,
2017-12-10,626919827.581,1925,3105910000.0,0.119794,46376600.0,0.0,331.000772,
2017-12-11,1570034525.44,2903,2824170000.0,0.108927,39513900.0,0.0,499.253429,
2017-12-12,1928367014.86,3453,3141770000.0,0.121177,60056800.0,0.0,593.232415,
