date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses
2017-06-04,24210786.4016,2192,165980000.0,0.16598,27578300.0,1263,
2017-06-05,18063222.4161,1457,285023000.0,0.285023,14297400.0,881,
2017-06-06,17347770.7101,1293,291649000.0,0.291649,10708800.0,748,
2017-06-07,13947547.3232,1234,259213000.0,0.259213,11149700.0,703,
2017-06-08,7042136.00429,914,239285000.0,0.239285,8890730.0,564,
2017-06-09,4221016.03353,917,222104000.0,0.222104,5996870.0,571,
2017-06-10,6530400.60566,782,224807000.0,0.224807,8265660.0,555,
2017-06-11,5725706.61986,933,195443000.0,0.195443,6837190.0,557,
2017-06-12,8970828.8899,873,182321000.0,0.182321,7175260.0,515,
2017-06-13,3499513.18355,885,182940000.0,0.18294,5539180.0,616,
2017-06-14,3820352.73187,628,193745000.0,0.193745,3766080.0,455,
2017-06-15,3750235.63313,731,170145000.0,0.170145,6576040.0,499,
2017-06-16,7759096.9048,1311,212512000.0,0.212512,12209000.0,802,
2017-06-17,2608448.16626,756,231731000.0,0.231731,5614210.0,554,
2017-06-18,2567818.50768,601,210064000.0,0.210064,2829350.0,489,
2017-06-19,2692674.11222,749,197917000.0,0.197917,5328250.0,600,
2017-06-20,2116763.71885,408,181185000.0,0.181185,3728710.0,323,
2017-06-21,70749046.1106,267,190874000.0,0.190874,3436530.0,254,
2017-06-22,4175045.57372,423,187434000.0,0.187434,2615650.0,393,
2017-06-23,3312855.0962,623,177803000.0,0.177803,3165000.0,512,
2017-06-24,4938005.06267,447,201123000.0,0.201123,2256800.0,399,
2017-06-25,2965252.69836,383,184799000.0,0.184799,2662640.0,335,
2017-06-26,2252822.81303,492,170003000.0,0.170003,3398570.0,382,
2017-06-27,5729725.75378,582,156799000.0,0.156799,3861500.0,395,
2017-06-28,2544847.81702,547,153965000.0,0.153965,2624600.0,411,
2017-06-29,4731168.42739,515,174455000.0,0.174455,1880280.0,406,
2017-06-30,1420104.41371,391,155257000.0,0.155257,1558240.0,343,
2017-07-01,1249923.64204,350,137327000.0,0.137327,1856100.0,281,
2017-07-02,3142768.40503,611,130978000.0,0.130978,3171200.0,374,
2017-07-03,1516230.65436,467,123965000.0,0.123965,2218720.0,358,
2017-07-04,973263.863741,431,130143000.0,0.130143,1956940.0,345,
2017-07-05,1656428.70497,395,131036000.0,0.131036,1464870.0,305,
2017-07-06,904842.934501,410,129022000.0,0.129022,1763210.0,337,
2017-07-07,903103.641959,311,120991000.0,0.120991,1545740.0,267,
2017-07-08,660927.040001,314,107888000.0,0.107888,1420600.0,276,
2017-07-09,531708.637583,352,104821000.0,0.104821,1158370.0,265,
2017-07-10,1302419.35953,354,107231000.0,0.107231,1313930.0,271,
2017-07-11,546286.889278,396,89363600.0,0.089364,1465010.0,335,
2017-07-12,978546.58667,348,88000200.0,0.088,1141360.0,285,
2017-07-13,913537.887296,259,102564000.0,0.102564,900748.0,228,
2017-07-14,461531.552292,253,91190300.0,0.09119,739315.0,225,
2017-07-15,197980.740748,175,86558900.0,0.086559,554900.0,166,
2017-07-16,359852.835861,245,78504800.0,0.078505,676056.0,194,
2017-07-17,247996.431796,236,71687600.0,0.071688,736536.0,197,
2017-07-18,616080.815617,309,88563200.0,0.088563,1126870.0,285,
2017-07-19,583936.974545,282,96023000.0,0.096023,1404020.0,232,
2017-07-20,391031.883859,295,82399300.0,0.082399,1164030.0,246,
2017-07-21,798114.999609,347,99333600.0,0.099334,953786.0,249,
2017-07-22,1336511.88332,449,102672000.0,0.102672,1774790.0,289,
2017-07-23,735159.519463,439,136293000.0,0.136293,1630410.0,317,
2017-07-24,49390875.3637,779,127953000.0,0.127953,4271920.0,495,
2017-07-25,2113514.58378,549,144234000.0,0.144234,3401390.0,366,
2017-07-26,880193.243183,314,116916000.0,0.116916,1397260.0,247,
2017-07-27,801338.076428,334,121414000.0,0.121414,1182110.0,281,
2017-07-28,951038.309134,445,115428000.0,0.115428,1635930.0,306,
2017-07-29,713586.594706,231,105650000.0,0.10565,762957.0,213,
2017-07-30,1277016.46982,267,108110000.0,0.10811,872950.0,224,
2017-07-31,574138.711536,283,100739000.0,0.100739,1389760.0,218,
2017-08-01,1454870.50428,296,104245000.0,0.104245,2482780.0,203,
2017-08-02,1088644.92028,338,120649000.0,0.120649,1744330.0,241,
2017-08-03,1592089.06202,476,116627000.0,0.116627,2366370.0,329,
2017-08-04,1529702.10857,559,140756000.0,0.140756,3161290.0,370,
2017-08-05,1437142.62577,442,140526000.0,0.140526,2407170.0,318,
2017-08-06,2746984.06667,530,159102000.0,0.159102,3754110.0,376,
2017-08-07,3451932.13954,647,165905000.0,0.165905,4039340.0,476,
2017-08-08,1270512.55725,493,171663000.0,0.171663,3251710.0,410,
2017-08-09,1702557.52083,379,170796000.0,0.170796,2081780.0,326,
2017-08-10,2380439.24075,786,160163000.0,0.160163,8292790.0,648,
2017-08-11,5861747.17516,1248,198731000.0,0.198731,14151000.0,908,
2017-08-12,1892709.83707,709,229814000.0,0.229814,6035220.0,569,
2017-08-13,2283226.59158,561,209953000.0,0.209953,4451430.0,480,
2017-08-14,1734425.89786,661,211863000.0,0.211863,4794070.0,523,
2017-08-15,1011622.79372,437,197602000.0,0.197602,3252610.0,378,
2017-08-16,1724390.21561,565,195755000.0,0.195755,3915400.0,475,
2017-08-17,6580752.68771,1583,219996000.0,0.219996,25143200.0,1145,
2017-08-18,1948055.65085,693,250854000.0,0.250854,6258620.0,563,
2017-08-19,1535697.43816,527,213276000.0,0.213276,3651390.0,422,
2017-08-20,1468134.11327,486,211430000.0,0.21143,2804550.0,394,
2017-08-21,1353105.86644,500,206389000.0,0.206389,2880320.0,453,
2017-08-22,994079.726879,393,195342000.0,0.195342,2433270.0,352,
2017-08-23,712628.043271,454,189461000.0,0.189461,2657560.0,410,
2017-08-24,868771.249789,365,195281000.0,0.195281,2158190.0,318,
2017-08-25,935290.942676,532,205792000.0,0.205792,2550250.0,467,
2017-08-26,754261.497286,419,205165000.0,0.205165,2347060.0,357,
2017-08-27,601825.181656,465,203652000.0,0.203652,2069570.0,400,
2017-08-28,4859979.14421,586,210025000.0,0.210025,3780050.0,480,
2017-08-29,1188816.91301,566,228124000.0,0.228124,5055580.0,484,
2017-08-30,1811621.15446,725,246734000.0,0.246734,3429980.0,577,
2017-08-31,2323553.87378,779,237641000.0,0.237641,6706840.0,634,
2017-09-01,5012499.85478,1651,272326000.0,0.272326,9031140.0,1279,
2017-09-02,3138738.08976,1197,291993000.0,0.291993,4577840.0,891,
2017-09-03,1749075.41942,971,242396000.0,0.242396,3681780.0,737,
2017-09-04,3077352.94567,1501,241998000.0,0.241998,5599610.0,1200,
2017-09-05,3277459.97355,2044,202195000.0,0.202195,3374360.0,1641,
2017-09-06,3166565.57371,1870,217845000.0,0.217845,3245920.0,1557,
2017-09-07,3203078.1496,1722,224084000.0,0.224084,3218150.0,1444,
2017-09-08,2977781.11271,1574,249008000.0,0.249008,4370790.0,1363,
2017-09-09,4331513.83685,1276,216223000.0,0.216223,1684720.0,1074,
2017-09-10,1561861.51299,993,219309000.0,0.219309,2209730.0,866,
2017-09-11,736891.149953,989,201248000.0,0.201248,1987890.0,916,
2017-09-12,1007898.92437,1190,213367000.0,0.213367,3209470.0,1103,
2017-09-13,929466.197484,927,211731000.0,0.211731,2182480.0,879,
2017-09-14,895416.727423,942,193715000.0,0.193715,2649260.0,865,
2017-09-15,997579.17696,1080,154636000.0,0.154636,3170150.0,1011,
2017-09-16,1138253.42682,1001,187841000.0,0.187841,5529540.0,940,
2017-09-17,2781064.44206,1404,220687000.0,0.220687,7105110.0,1210,
2017-09-18,4720584.47393,1521,235858000.0,0.235858,10913600.0,1337,
2017-09-19,2428287.14212,983,243668000.0,0.243668,4074760.0,907,
2017-09-20,864498.199983,742,211856000.0,0.211856,3315670.0,661,
2017-09-21,530231.727231,781,222461000.0,0.222461,4504750.0,712,
2017-09-22,791334.587172,675,201946000.0,0.201946,2476800.0,638,
2017-09-23,364853.025918,663,196012000.0,0.196012,2074220.0,605,
2017-09-24,227242.539539,528,211823000.0,0.211823,2508610.0,502,
2017-09-25,845049.48201,637,198387000.0,0.198387,1913430.0,580,
2017-09-26,946450.624634,625,215136000.0,0.215136,1977590.0,621,
2017-09-27,817543.727034,793,212823000.0,0.212823,2667880.0,706,
2017-09-28,1766373.80743,1038,234497000.0,0.234497,5497280.0,1000,
2017-09-29,925981.370261,659,249416000.0,0.249416,3098820.0,640,
2017-09-30,807775.609689,773,235972000.0,0.235972,2536680.0,773,
2017-10-01,786700.210436,750,246144000.0,0.246144,2773310.0,719,
2017-10-02,622874.586571,786,253671000.0,0.253671,2516540.0,754,
2017-10-03,2496878.41699,1166,254962000.0,0.254962,6341430.0,1052,
2017-10-04,1200788.87545,1016,263824000.0,0.263824,5576470.0,958,
2017-10-05,1381731.81001,835,245436000.0,0.245436,4610980.0,767,
2017-10-06,601618.116333,774,231080000.0,0.23108,2645430.0,716,
2017-10-07,1554447.71108,800,232407000.0,0.232407,3773630.0,717,
2017-10-08,1868107.39109,924,213865000.0,0.213865,3751940.0,908,
2017-10-09,701069.103238,983,193164000.0,0.193164,3172310.0,911,
2017-10-10,1302739.29303,850,191329000.0,0.191329,2688870.0,752,
2017-10-11,1181527.66441,658,194973000.0,0.194973,2858980.0,629,
2017-10-12,922840.289131,1147,193030000.0,0.19303,4844030.0,1037,
2017-10-13,1132094.66051,1333,191549000.0,0.191549,4281620.0,1209,
2017-10-14,566827.817842,787,174831000.0,0.174831,1426580.0,729,
2017-10-15,1450010.04105,856,176428000.0,0.176428,2073580.0,829,
2017-10-16,902376.144821,1010,158907000.0,0.158907,4422080.0,872,
2017-10-17,3125929.91405,1406,176080000.0,0.17608,4007820.0,1245,
2017-10-18,1010446.76831,753,165556000.0,0.165556,1744130.0,689,
2017-10-19,352027.205535,690,162817000.0,0.162817,1773680.0,684,
2017-10-20,382136.443753,768,153746000.0,0.153746,1962980.0,755,
2017-10-21,564506.488714,800,151794000.0,0.151794,2251220.0,791,
2017-10-22,282449.289163,592,143761000.0,0.143761,1310690.0,592,
2017-10-23,712775.979096,639,141987000.0,0.141987,1366100.0,618,
2017-10-24,738080.889245,1081,139592000.0,0.139592,3260800.0,1001,
2017-10-25,467540.603071,700,157797000.0,0.157797,2026480.0,651,
2017-10-26,417090.472166,660,153503000.0,0.153503,1663850.0,638,
2017-10-27,603922.958651,607,147531000.0,0.147531,1306500.0,571,
2017-10-28,292683.463753,588,143486000.0,0.143486,2032030.0,571,
2017-10-29,551491.729988,784,155104000.0,0.155104,2217180.0,733,
2017-10-30,268799.080668,667,146109000.0,0.146109,1245900.0,679,
2017-10-31,747075.282435,805,146643000.0,0.146643,3375320.0,766,
2017-11-01,651837.955147,911,153747000.0,0.153747,2628910.0,859,
2017-11-02,976045.707167,1166,139612000.0,0.139612,5297190.0,1096,
2017-11-03,744154.684875,870,163697000.0,0.163697,3418640.0,821,
2017-11-04,314553.696133,664,146493000.0,0.146493,1581930.0,618,
2017-11-05,248622.343942,588,141324000.0,0.141324,1166850.0,582,
2017-11-06,247954.233025,561,141019000.0,0.141019,1565290.0,542,
2017-11-07,282603.074192,581,138018000.0,0.138018,1175570.0,576,
2017-11-08,531290.575662,701,141745000.0,0.141745,2300740.0,678,
2017-11-09,773182.449149,979,149664000.0,0.149664,2266610.0,944,
2017-11-10,447584.938221,793,160076000.0,0.160076,1616760.0,730,
2017-11-11,369570.721452,588,139728000.0,0.139728,1274050.0,700,
2017-11-12,784966.732382,1067,138002000.0,0.138002,1549930.0,990,
2017-11-13,1102885.50363,841,124678000.0,0.124678,2146280.0,862,
2017-11-14,899153.805251,539,144157000.0,0.144157,2805450.0,558,
2017-11-15,384284.11494,779,145754000.0,0.145754,2425150.0,799,
2017-11-16,975005.275966,1264,144264000.0,0.144264,6494270.0,1148,
2017-11-17,1141980.85776,1519,166421000.0,0.166421,5317800.0,1314,
2017-11-18,1655466.2472,1012,161460000.0,0.16146,3096680.0,974,
2017-11-19,638909.72696,836,163459000.0,0.163459,2455030.0,825,
2017-11-20,831343.843437,1002,159930000.0,0.15993,2961210.0,966,
2017-11-21,1004865.62771,950,157763000.0,0.157763,2777640.0,934,
2017-11-22,666769.126019,913,154814000.0,0.154814,3086240.0,921,
2017-11-23,676603.462784,996,166951000.0,0.166951,3089820.0,946,
2017-11-24,1263473.27281,702,158582000.0,0.158582,3428690.0,739,
2017-11-25,1351549.6988,1044,160128000.0,0.160128,3787990.0,1020,
2017-11-26,1068827.52824,1180,166252000.0,0.166252,4057580.0,1106,
2017-11-27,1122999.3321,1393,179267000.0,0.179267,4168600.0,1350,
2017-11-28,1919385.17639,1506,186629000.0,0.186629,4521830.0,1440,
2017-11-29,1478956.21983,1542,195337000.0,0.195337,5918270.0,1507,
2017-11-30,762069.473365,1055,155341000.0,0.155341,3391230.0,1035,
2017-12-01,985426.967192,1040,159462000.0,0.159462,3118700.0,994,
2017-12-02,1258200.93863,1188,177254000.0,0.177254,3125470.0,1151,
2017-12-03,2012321.36335,1310,170160000.0,0.17016,3795080.0,1259,
2017-12-04,1372906.86346,1119,170007000.0,0.170007,7164930.0,1163,
2017-12-05,1059017.59904,1445,192188000.0,0.192188,9751950.0,1552,
2017-12-06,2547507.11986,583,224128000.0,0.224128,10626800.0,611,
2017-12-07,1704286.92586,466,204538000.0,0.204538,8750000.0,507,
2017-12-08,2609057.26222,1308,174933000.0,0.174933,5905930.0,1290,
2017-12-09,1046729.57891,883,185408000.0,0.185408,4858860.0,894,
2017-12-10,1761760.96197,1060,184967000.0,0.184967,4934790.0,1043,
2017-12-11,5252914.66714,2121,175378000.0,0.175378,14784600.0,1820,
2017-12-12,8936480.4586,2427,213106000.0,0.213106,30706800.0,2189,
2017-12-13,3148752.43319,1711,245033000.0,0.245033,11660800.0,1678,
2017-12-14,4332258.53809,1561,237202000.0,0.237202,13308900.0,1480,
2017-12-15,4218770.39212,1494,240416000.0,0.240416,9697550.0,1451,
2017-12-16,2255922.53349,1647,237600000.0,0.2376,12336400.0,1542,
2017-12-17,12360830.526,3048,270604000.0,0.270604,25909600.0,2338,
2017-12-18,11851632.3321,3381,312227000.0,0.312227,32789600.0,2737,
