date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2017-08-03,420493677.867,20909,7392030000.0,448.49,161518000.0,437.5,20.23473119,
2017-08-04,447588072.612,26517,5969720000.0,362.18,185038000.0,237.5,21.32449804,
2017-08-05,231673055.86,15194,3809330000.0,231.11,144043000.0,162.5,11.2242577601,
2017-08-06,191471418.992,11791,3497290000.0,212.18,107606000.0,812.5,9.15282496002,
2017-08-07,282773638.305,16114,3688360000.0,223.76,346546000.0,975.0,8.68035229999,
2017-08-08,312076697.58,12855,5297390000.0,321.35,274880000.0,287.5,8.44009814001,
2017-08-09,189875351.956,10798,5691960000.0,345.28,165032000.0,1187.5,5.51291228001,
2017-08-10,135296549.811,9949,5031790000.0,305.21,136637000.0,1250.0,5.30796253,
2017-08-11,189923981.943,10507,4548600000.0,275.88,233971000.0,837.5,4.78128428,
2017-08-12,246619061.638,7543,5405200000.0,327.82,126007000.0,900.0,4.60345208,
2017-08-13,89313124.2911,7814,5215330000.0,316.29,120722000.0,975.0,4.83887706,
2017-08-14,142244610.723,9833,4882720000.0,296.1,174968000.0,1137.5,5.78545113,
2017-08-15,145080302.726,7696,4917480000.0,298.19,133924000.0,1400.0,4.87569032,
2017-08-16,100329093.162,135552,4914350000.0,297.97,106436000.0,1050.0,4.35333251001,
2017-08-17,270791381.501,10813,4964980000.0,301.02,744605000.0,812.5,8.46124585999,
2017-08-18,696156355.575,22796,7565590000.0,458.67,3087490000.0,812.5,8.81946855001,
2017-08-19,850459716.681,27728,11498100000.0,697.04,3196230000.0,1637.5,11.99113257,
2017-08-20,476531316.965,19530,12742600000.0,772.42,1494020000.0,5800.0,8.876545,
2017-08-21,329069548.516,16436,11943100000.0,723.7,1123400000.0,9550.0,7.12165057,
2017-08-22,472089714.071,15033,9844620000.0,596.19,1393260000.0,10687.5,6.34074654,
2017-08-23,344970799.637,9684,11416800000.0,690.96,501983000.0,275.0,4.19772886,
2017-08-24,748264395.26,13311,11071100000.0,670.03,407177000.0,7112.5,7.21468871,
2017-08-25,375608222.577,10916,10365600000.0,627.06,348632000.0,8600.0,5.53354222001,
2017-08-26,266767375.951,8233,10616100000.0,641.88,193414000.0,8450.0,3.66496469,
2017-08-27,277237421.11,6328,10357000000.0,625.89,402718000.0,537.5,2.93697367999,
2017-08-28,218358917.829,10161,10254800000.0,619.7,216273000.0,2175.0,4.39485369,
2017-08-29,586720549.1,12858,9866110000.0,596.13,370017000.0,1775.0,5.11311822,
2017-08-30,762988847.786,15867,9092300000.0,549.32,443856000.0,1075.0,3.97986964995,
2017-08-31,198901314.438,13568,9538750000.0,576.25,298144000.0,1075.0,4.39237605999,
2017-09-01,221605163.699,10362,9740460000.0,588.4,393839000.0,1450.0,3.7594561,
2017-09-02,210947758.461,7858,10297000000.0,621.96,350478000.0,1675.0,2.77770443,
2017-09-03,220102637.69,7515,9574520000.0,578.27,344862000.0,1637.5,2.50160359,
2017-09-04,382676045.729,7599,10072200000.0,608.26,328957000.0,1612.5,4.31505577,
2017-09-05,305974479.97,7328,8527100000.0,514.9,338978000.0,1400.0,2.36431425999,
2017-09-06,383228353.182,8578,8964700000.0,541.28,693240000.0,1750.0,2.3711804,
2017-09-07,247855861.127,8677,10548500000.0,636.85,1082380000.0,2587.5,2.36196092,
2017-09-08,250514723.559,7552,10840500000.0,654.37,809763000.0,2350.0,1.71427558999,
2017-09-09,492029519.093,6257,9688150000.0,584.73,234578000.0,1975.0,1.52744926,
2017-09-10,198431982.259,5430,9055430000.0,546.48,289508000.0,1937.5,1.16558703,
2017-09-11,416016536.824,7256,8902570000.0,537.19,274712000.0,2175.0,1.20747464,
2017-09-12,269289444.334,5993,8934220000.0,539.03,273825000.0,2412.5,1.31772647,
2017-09-13,143767433.094,6356,8445540000.0,509.47,340344000.0,2150.0,1.31399,
2017-09-14,259162452.295,7296,8359650000.0,504.22,257431000.0,2325.0,2.22638457,
2017-09-15,272121996.663,8634,6126800000.0,369.49,707231000.0,2125.0,2.0176211,
2017-09-16,224446395.467,7809,7039590000.0,424.49,313583000.0,2137.5,1.84246263,
2017-09-17,143731606.011,5027,7279520000.0,438.9,221828000.0,2212.5,0.735145989998,
2017-09-18,407052193.024,8675,7001640000.0,422.09,458550000.0,4462.5,1.34094764,
2017-09-19,672074861.052,9520,7975010000.0,480.64,802321000.0,3325.0,1.42698772999,
2017-09-20,264587502.297,8099,8741670000.0,526.74,669264000.0,3100.0,1.38372934999,
2017-09-21,230647720.384,5859,7898300000.0,475.83,316731000.0,425.0,1.15108873,
2017-09-22,491961913.2,6746,6937170000.0,417.92,241905000.0,5125.0,1.28153827,
2017-09-23,174871724.019,5601,6895970000.0,415.31,189127000.0,4400.0,0.887500270001,
2017-09-24,144226129.2,6580,7121950000.0,428.8,114527000.0,3300.0,1.0734338,
2017-09-25,257393315.052,8976,6971280000.0,419.65,302272000.0,3525.0,1.36306084003,
2017-09-26,195849631.467,6464,7400020000.0,445.36,165303000.0,3912.5,1.09161226,
2017-09-27,411882030.487,8802,7343490000.0,441.86,197885000.0,3450.0,1.13267958,
2017-09-28,366934794.302,7926,7592000000.0,456.71,300421000.0,912.5,1.27726594,
2017-09-29,241264407.87,5755,7441960000.0,447.66,148725000.0,162.5,1.25288,
2017-09-30,272005134.712,8445,7258880000.0,436.64,150565000.0,7350.0,1.64584862,
2017-10-01,402621317.595,7883,7207770000.0,433.38,164290000.0,12125.0,1.25746341999,
2017-10-02,277158752.298,7252,6921580000.0,415.87,219590000.0,5462.5,1.2556313,
2017-10-03,214354167.152,4542,7022370000.0,421.79,130247000.0,175.0,1.02391342,
2017-10-04,454621906.487,9481,6729640000.0,404.2,251584000.0,10600.0,1.89150925,
2017-10-05,466803431.917,8625,5971260000.0,358.42,268341000.0,14112.5,2.39906598999,
2017-10-06,352373797.734,6088,5926540000.0,355.44,182031000.0,425.0,1.16513426999,
2017-10-07,210554588.764,5044,6062860000.0,363.6,91004000.0,1762.5,1.19532024,
2017-10-08,358127141.719,6828,6004940000.0,360.09,203754000.0,1337.5,1.58498505,
2017-10-09,472693418.637,9074,5716320000.0,342.76,288075000.0,1137.5,1.84858971998,
2017-10-10,281080274.874,8335,5224170000.0,313.22,367809000.0,1400.0,2.04591345,
2017-10-11,209360493.974,7284,5341000000.0,320.2,131577000.0,1250.0,1.92143734003,
2017-10-12,386086853.641,12256,5262390000.0,315.47,262066000.0,6950.0,3.01332509001,
2017-10-13,270662770.292,14947,5242630000.0,314.15,288210000.0,11612.5,4.41591041,
2017-10-14,168166773.433,12997,5369720000.0,321.54,164137000.0,1175.0,7.54337325001,
2017-10-15,111586628.796,8288,5384760000.0,322.42,133385000.0,525.0,2.91138846,
2017-10-16,213585312.512,9968,5265400000.0,315.26,117797000.0,700.0,2.41668296001,
2017-10-17,358118746.56,13193,5239520000.0,313.7,1008160000.0,387.5,2.74179545001,
2017-10-18,400441848.591,10049,6240990000.0,373.65,477184000.0,1187.5,2.56346339999,
2017-10-19,176022995.918,9348,5667070000.0,339.27,195578000.0,1437.5,1.77423759001,
2017-10-20,241984751.401,18183,5527860000.0,330.9,160204000.0,1500.0,2.11907119,
2017-10-21,160118563.829,9069,5458980000.0,326.75,129938000.0,937.5,1.66897923,
2017-10-22,168053926.921,7376,5405020000.0,323.5,355546000.0,175.0,1.39896010001,
2017-10-23,177188034.295,9250,5524790000.0,330.67,191558000.0,1350.0,2.01424906,
2017-10-24,182691690.845,8717,5278410000.0,315.9,267442000.0,1975.0,1.86735472,
2017-10-25,176364081.034,10485,5457720000.0,326.59,151935000.0,2150.0,1.98621041,
2017-10-26,199960479.134,9350,5550700000.0,332.11,234967000.0,4987.5,1.89708771,
2017-10-27,228240103.409,11743,5655870000.0,338.3,501989000.0,14600.0,2.39550734,
2017-10-28,443407504.195,11800,6183520000.0,369.54,781037000.0,15675.0,2.23479461999,
2017-10-29,734735370.457,12962,7042260000.0,420.47,2002440000.0,1162.5,2.45184143999,
2017-10-30,556797729.196,14855,7679000000.0,458.45,796409000.0,912.5,3.254575,
2017-10-31,350825008.695,11353,7527260000.0,449.37,343799000.0,962.5,2.18451816,
2017-11-01,481242998.42,13645,7342250000.0,438.3,1152230000.0,1000.0,3.06784607001,
2017-11-02,716951960.015,17751,8840010000.0,527.68,1632060000.0,1012.5,3.93366783,
2017-11-03,902567144.49,22425,9839760000.0,587.32,1682210000.0,4437.5,4.2538031,
2017-11-04,444578842.295,15077,10647200000.0,635.35,1161370000.0,3750.0,2.82618354001,
2017-11-05,445541216.03,16958,10390900000.0,619.91,816028000.0,2275.0,3.10678128,
2017-11-06,659813587.146,19297,10566600000.0,630.31,794105000.0,2787.5,2.92330696,
2017-11-07,427648531.207,17192,10105200000.0,602.68,375367000.0,2775.0,3.41629939999,
2017-11-08,809767593.997,23218,10317500000.0,615.24,837646000.0,2725.0,4.12320792,
2017-11-09,1118960333.74,24815,10437700000.0,622.31,710387000.0,1762.5,4.45365019001,
2017-11-10,3918163445.43,46855,10933000000.0,651.77,5195420000.0,5675.0,8.12904659008,
2017-11-11,6366966068.53,46787,16807400000.0,1001.64,5139770000.0,9300.0,8.19722994006,
2017-11-12,7083815079.86,76458,22614400000.0,1346.97,8371320000.0,10862.5,14.59882916,
2017-11-13,3143076570.21,35112,23214700000.0,1381.82,4850570000.0,762.5,8.31108119,
2017-11-14,1511310959.28,24406,22626200000.0,1346.73,1697910000.0,1700.0,8.0931007,
2017-11-15,2027736086.16,24790,21335600000.0,1269.79,1321780000.0,2112.5,7.43158824001,
2017-11-16,1404435967.45,28469,20202000000.0,1202.17,2034690000.0,1025.0,7.97368086001,
2017-11-17,1956141566.76,22432,15279000000.0,909.16,3203430000.0,1950.0,9.22575883,
2017-11-18,1481122861.05,22013,20125900000.0,1197.43,3053770000.0,2075.0,6.2505701,
2017-11-19,1827301432.38,14869,21196200000.0,1260.95,1285910000.0,1662.5,4.09528383999,
2017-11-20,1107659038.26,15738,19710200000.0,1172.43,800053000.0,1762.5,3.60323072,
2017-11-21,1578425751.41,18071,20525100000.0,1220.78,772859000.0,1912.5,4.30914317,
2017-11-22,1585017288.68,18927,19758600000.0,1175.06,1517620000.0,1862.5,9.38299134999,
2017-11-23,1721300584.89,27057,21899400000.0,1302.23,4112090000.0,2012.5,3.40935394999,
2017-11-24,1700441784.33,24345,27782400000.0,1651.86,3128960000.0,1637.5,3.23172586,
2017-11-25,1151359033.08,18565,27484900000.0,1634.0,1560040000.0,1837.5,2.72247894,
2017-11-26,903079478.824,18929,26434500000.0,1571.39,1593050000.0,1762.5,2.33252906,
2017-11-27,2333463864.88,20146,28986800000.0,1722.93,1391460000.0,1525.0,2.52455452,
2017-11-28,2603549986.9,23380,27277200000.0,1621.17,1274880000.0,1812.5,2.63699524001,
2017-11-29,2393875824.77,28233,25941800000.0,1541.63,2345250000.0,1774.85590507,3.30871310001,
2017-11-30,1746643605.52,21815,23230400000.0,1380.36,1211730000.0,1675.0,2.35942721999,
2017-12-01,1116284839.96,19169,23257100000.0,1381.81,965151000.0,1850.0,2.18879575,
2017-12-02,1040892367.22,17581,24610500000.0,1462.06,574510000.0,1712.5,1.95560365,
2017-12-03,1544018413.35,21761,24163600000.0,1435.36,1476740000.0,1787.5,2.25182489001,
2017-12-04,1602788806.22,21854,26267300000.0,1560.16,780634000.0,1775.0,2.23789110001,
2017-12-05,1867736673.23,20813,26606900000.0,1580.16,1032800000.0,1850.0,2.15972999001,
2017-12-06,2312020594.5,26703,25234400000.0,1498.49,1154620000.0,1950.0,3.11935040999,
2017-12-07,1664284832.86,24274,24095900000.0,1430.71,1285210000.0,950.0,2.98545941999,
2017-12-08,12446260991.4,27341,22386700000.0,1329.16,2553980000.0,2162.5,3.22386862,
2017-12-09,2383547521.11,18108,24671600000.0,1464.63,1059610000.0,1850.0,2.63721723001,
2017-12-10,1674209812.57,16352,23784900000.0,1411.84,885886000.0,1625.0,1.79230544,
2017-12-11,1025706854.22,22787,22239900000.0,1320.0,922792000.0,1825.0,2.41267119,
