date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses
2017-07-20,2071052.66467,740,48810100.0,0.143851,2553680.0,685,
2017-07-21,1130180.91273,497,52735600.0,0.15542,1299210.0,448,
2017-07-22,672291.323894,856,51911400.0,0.152991,1828370.0,449,
2017-07-23,974203.755371,554,62768200.0,0.184988,1297280.0,470,
2017-07-24,1930658.33615,764,62441300.0,0.184025,5167200.0,686,
2017-07-25,1462241.36007,585,69000100.0,0.203348,2490100.0,507,
2017-07-26,1548355.45105,510,58935600.0,0.173671,1086920.0,461,
2017-07-27,1819826.55444,540,58867400.0,0.17347,1193380.0,494,
2017-07-28,959944.609607,606,55226900.0,0.162432,1140120.0,478,
2017-07-29,678354.356161,303,52046400.0,0.153078,617954.0,268,
2017-07-30,398244.355463,380,56898000.0,0.167347,601016.0,315,
2017-07-31,612462.621538,402,55617800.0,0.163582,633192.0,393,
2017-08-01,238399.677212,282,55378200.0,0.162877,965800.0,271,
2017-08-02,616320.087042,361,58418300.0,0.171818,917333.0,357,
2017-08-03,473605.791072,428,54895500.0,0.161457,860385.0,371,
2017-08-04,1136761.22815,544,59011000.0,0.173562,1658350.0,487,
2017-08-05,821260.67546,673,66318600.0,0.195055,2692140.0,589,
2017-08-06,1083305.16681,925,73802500.0,0.217066,1383270.0,494,
2017-08-07,1153742.34375,1026,70704600.0,0.207955,1543070.0,747,
2017-08-08,1286701.13996,624,67176700.0,0.197579,1775290.0,507,
2017-08-09,393031.558553,501,69601000.0,0.204709,1663640.0,461,
2017-08-10,17549519.9973,4767,75756900.0,0.222815,51701100.0,3063,
2017-08-11,11987206.4109,4997,154268000.0,0.453731,71905400.0,3669,
2017-08-12,7537768.37815,2439,217032000.0,0.63833,30224400.0,1876,
2017-08-13,4098962.42237,2066,191636000.0,0.563634,25452100.0,1606,
2017-08-14,11127557.6226,2788,251245000.0,0.738955,23191200.0,1833,
2017-08-15,5552860.84262,1594,219216000.0,0.644753,11123900.0,1253,
2017-08-16,4481004.61139,1529,202021000.0,0.594178,11901600.0,1217,
2017-08-17,4580574.3387,1657,210597000.0,0.619402,11211700.0,1369,
2017-08-18,3854642.24224,1664,194144000.0,0.571011,10102400.0,1246,
2017-08-19,2489852.53831,1362,166666000.0,0.490193,9626780.0,1081,
