date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2014-02-17,327364.376107,2631,1360260.0,0.406039,178618.0,15940.0,2.82708248,
2014-02-18,846559.343554,2551,3960320.0,1.18,160779.0,13548.0,2.3635103,
2014-02-19,199692.899083,2354,3497850.0,1.04,60551.0,13647.0,2.01676346,
2014-02-20,256292.858509,2058,3196180.0,0.941944,93281.0,13649.0,1.96045798,
2014-02-21,116949.231955,2086,3590320.0,1.05,83008.0,13145.0,1.7273869,
2014-02-22,376523.418938,2308,3833460.0,1.12,101024.0,12638.0,1.72937083002,
2014-02-23,426756.161505,2275,3945250.0,1.15,115234.0,12845.0,1.84767328001,
2014-02-24,1248614.22181,2327,4082000.0,1.18,109256.0,12904.0,3.35293013001,
2014-02-25,771488.789424,2203,2902860.0,0.839383,69493.0,12683.0,1.7752096,
2014-02-26,697624.864576,1991,2153440.0,0.620399,49321.0,12851.0,2.51096323999,
2014-02-27,353629.365242,1748,2148350.0,0.616643,15148.0,13735.0,2.10231798,
2014-02-28,202778.429105,1697,2163860.0,0.618662,60517.0,13530.0,1.51229179002,
2014-03-01,404141.311503,2202,1929800.0,0.549616,252311.0,13223.0,2.61194146,
2014-03-02,1101499.87753,2373,3298980.0,0.936036,148259.0,12131.0,2.72228333001,
2014-03-03,315302.375622,2641,3651050.0,1.03,271197.0,12409.0,2.97333854,
2014-03-04,302945.726322,2250,4283970.0,1.21,90550.0,12457.0,3.05792366001,
2014-03-05,653207.267693,2319,3515760.0,0.987192,93138.0,11960.0,2.50435306001,
2014-03-06,666814.636325,2342,3692890.0,1.03,68896.0,12374.0,2.78243028,
2014-03-07,652353.090034,2192,3787000.0,1.06,112877.0,12112.0,3.35926835,
2014-03-08,220127.423489,2169,3285680.0,0.911867,70281.0,12289.0,2.22247301001,
2014-03-09,77372.4975184,2155,3296790.0,0.913189,48781.0,12138.0,2.21135685,
2014-03-10,216518.843521,1964,3159030.0,0.872114,45946.0,11735.0,1.82931886,
2014-03-11,208645.859946,2194,2934810.0,0.807598,42234.0,11890.0,2.22846024,
2014-03-12,87154.9479284,2117,3238290.0,0.888208,39530.0,11872.0,2.31378429,
2014-03-13,101942.237479,2135,3166030.0,0.865569,31123.0,12427.0,2.05663358,
2014-03-14,76440.5738745,2392,3057150.0,0.83338,26274.0,11931.0,2.29987776,
2014-03-15,42466.7530046,1846,2979000.0,0.812077,30817.0,11900.0,1.97059852,
2014-03-16,237177.359328,1951,2924440.0,0.791673,39429.0,12227.0,2.13373561,
2014-03-17,181158.453801,1845,2863030.0,0.772496,34416.0,11948.0,2.32474566,
2014-03-18,161146.987913,1936,2897450.0,0.77927,39252.0,12033.0,1.79335379,
2014-03-19,160357.404858,1891,2800990.0,0.750897,35742.0,11841.0,1.69461168,
2014-03-20,339226.434404,1757,2781320.0,0.743256,42290.0,11703.0,1.41302347999,
2014-03-21,54132.100068,1774,2719600.0,0.724498,28087.0,12010.0,1.51820531,
2014-03-22,135935.79127,1820,2652100.0,0.704266,24618.0,12050.0,1.58883313,
2014-03-23,72091.4946353,1852,2703390.0,0.715596,34977.0,11807.0,1.85235113,
2014-03-24,104834.546358,2212,2727950.0,0.719851,136677.0,11466.0,2.64496362,
2014-03-25,72573.9401172,2082,3302840.0,0.868912,78095.0,11209.0,2.02580276,
2014-03-26,66428.8628652,1959,3124140.0,0.819494,39790.0,10782.0,2.03186693,
2014-03-27,74677.6679086,1874,3305920.0,0.864728,32991.0,11091.0,1.68482459,
2014-03-28,57192.8749304,1670,2653470.0,0.692062,27851.0,10957.0,1.53328678,
2014-03-29,43280.2172559,1384,2727370.0,0.709294,23667.0,10753.0,1.39914609,
2014-03-30,79882.2725599,1525,2731140.0,0.708306,30985.0,10518.0,1.56430547023,
2014-03-31,41046.046837,1583,2571600.0,0.665123,15608.0,10852.0,1.55831983,
2014-04-01,75303.8527368,1670,2488370.0,0.641783,36211.0,10451.0,1.7176344,
2014-04-02,61300.816036,1520,2819600.0,0.725259,21722.0,10402.0,1.65569262,
2014-04-03,29656.672026,1475,2393680.0,0.614065,18610.0,10337.0,1.36203981,
2014-04-04,37134.8836751,1526,2502840.0,0.640371,11863.0,10932.0,1.48732645,
2014-04-05,36968.757764,1410,2509580.0,0.640305,28674.0,10603.0,1.2655482,
2014-04-06,55962.3345014,1503,2754220.0,0.700828,13167.0,10570.0,1.45106149,
2014-04-07,76404.8773758,1500,2552670.0,0.6478,45233.0,11285.0,1.25494793,
2014-04-08,79420.5975451,1527,2395150.0,0.606079,21411.0,10256.0,1.65406015,
2014-04-09,31584.9756571,1563,2390830.0,0.603431,9604.0,10668.0,1.62338339,
2014-04-10,33441.8940488,1591,2334430.0,0.587616,16417.0,10474.0,1.91412245,
2014-04-11,51550.7210182,1680,1807350.0,0.453743,18946.0,10683.0,1.84505712,
2014-04-12,25647.1589611,1510,2191980.0,0.548831,18959.0,10408.0,2.27300324,
2014-04-13,27392.8434593,1458,2291840.0,0.572342,15789.0,10911.0,1.81661293,
2014-04-14,68021.6878214,1629,2164120.0,0.538982,29214.0,10800.0,1.96132042,
2014-04-15,38485.446024,1444,2367280.0,0.587995,28751.0,11021.0,2.47793058,
2014-04-16,62195.6778899,1564,2647720.0,0.655849,23860.0,11153.0,1.88216745,
2014-04-17,74826.3915443,1391,2662660.0,0.657735,19435.0,10886.0,1.78833568,
2014-04-18,1162268.18223,2139,2509430.0,0.618219,293384.0,10912.0,3.62991491002,
2014-04-19,131449.226501,1568,3232440.0,0.794215,57416.0,10917.0,1.67804976,
2014-04-20,85728.6718054,1598,3050050.0,0.747391,30229.0,10954.0,1.97277091,
2014-04-21,115602.664275,1702,2955240.0,0.722222,29266.0,11413.0,1.75753075,
2014-04-22,118261.590822,1882,2903710.0,0.707657,72972.0,11097.0,2.07368011,
2014-04-23,198800.767687,2069,2973610.0,0.722732,196373.0,10362.0,3.65910001,
2014-04-24,393399.285953,2173,3596660.0,0.871977,329106.0,10258.0,2.6540028,
2014-04-25,612267.410675,2319,4372240.0,1.06,794049.0,9212.0,5.01911089999,
2014-04-26,1877866.02975,2557,7094160.0,1.71,1204200.0,8403.0,4.96285790997,
2014-04-27,433972.036437,2305,7054200.0,1.7,509028.0,7914.0,2.66981718,
2014-04-28,140858.864211,2301,6957830.0,1.67,198793.0,7809.0,2.68481032,
2014-04-29,225524.938462,1645,6952590.0,1.67,302458.0,8044.0,1.98769172001,
2014-04-30,276135.356601,2100,6827410.0,1.63,38202.0,8024.0,2.4961588,
2014-05-01,342770.955657,2057,6438560.0,1.54,232684.0,7758.0,2.55548372001,
2014-05-02,328193.639746,1889,6343910.0,1.51,171901.0,8016.0,2.26916824,
2014-05-03,426559.503595,1929,5661610.0,1.35,93670.0,8760.0,2.16662828,
2014-05-04,381728.498424,2819,5002930.0,1.19,275743.0,8162.0,2.90459263,
2014-05-05,156920.199567,3368,6598260.0,1.56,291678.0,7743.0,4.54346784,
2014-05-06,108916.234744,2040,7096260.0,1.68,75746.0,7187.0,2.63069463,
2014-05-07,270880.652545,1634,6817910.0,1.61,100953.0,6843.0,1.64106147,
2014-05-08,92621.902325,2087,6841980.0,1.61,84669.0,7204.0,1.85092681,
2014-05-09,942430.285169,2297,7011350.0,1.65,520876.0,7295.0,3.37190853001,
2014-05-10,1103580.9781,2329,9492880.0,2.23,854388.0,6779.0,3.6226893,
2014-05-11,826430.437294,2033,10825500.0,2.54,569871.0,5923.0,2.67859301,
2014-05-12,3924564.62688,2298,10934800.0,2.56,760914.0,6397.0,3.68052362001,
2014-05-13,3294328.09111,2162,10560100.0,2.47,415759.0,6008.0,2.93550127,
2014-05-14,2458734.84102,2488,11779400.0,2.75,1721090.0,6222.0,5.96338334999,
2014-05-15,5815603.31518,3557,17183700.0,4.01,3215550.0,3804.99999988,6.56098358,
2014-05-16,1447508.09766,2303,25025600.0,5.84,2408390.0,3705.99999997,4.64778847,
2014-05-17,1006958.37896,1950,25430500.0,5.92,1637800.0,4124.0,3.54551656,
2014-05-18,1416095.59463,2025,20236200.0,4.71,2041030.0,4716.0,3.33334164,
2014-05-19,3690657.10732,2423,27873100.0,6.48,1655720.0,4571.0,4.00714800001,
2014-05-20,882712.169406,1943,29834300.0,6.93,1290930.0,4025.0,2.86699006,
2014-05-21,1504690.99686,2183,29664200.0,6.88,1414570.0,3919.0,3.20338225,
2014-05-22,3822378.12316,3015,34518300.0,8.0,4383980.0,3357.99999998,6.64993866,
2014-05-23,6434222.71925,3690,48114100.0,11.15,7267510.0,2938.99999991,8.76899744001,
2014-05-24,10165111.1447,2858,58371700.0,13.51,3637020.0,2768.99999997,5.40211669,
2014-05-25,8306784.30438,2644,52126000.0,12.06,3625030.0,3100.99999999,4.78188973999,
2014-05-26,16890278.3107,3589,64986200.0,15.02,260919.0,3910.99999989,5.38410388,
2014-05-27,4621204.00586,2925,48786600.0,11.27,3730600.0,3426.99999987,6.54771637001,
2014-05-28,5932432.54252,2595,45895300.0,10.59,3909160.0,2724.99999997,4.57772191,
2014-05-29,2180486.12263,2523,31060800.0,7.16,6110000.0,3219.99999999,5.37861051,
2014-05-30,2392919.04195,2850,40678700.0,9.38,5769570.0,3086.99999996,4.54273713,
2014-05-31,1258649.70119,2101,48142000.0,11.09,2675190.0,2739.99999998,3.12058377,
2014-06-01,2203811.62936,2216,48841800.0,11.24,3460750.0,2772.99999996,2.82957983,
2014-06-02,10058953.983,2640,56183900.0,12.92,4918700.0,2744.99999998,4.63853054,
2014-06-03,4690440.42115,2588,63173000.0,14.52,3096930.0,2714.99999996,4.90792688,
2014-06-04,2308127.01384,2305,60216600.0,13.83,1454730.0,2861.99999998,5.08758135999,
2014-06-05,3602774.326,2334,54275500.0,12.46,1336970.0,2809.99999998,4.95501256001,
2014-06-06,7827704.91006,2193,46236900.0,10.61,1613890.0,2806.99999997,3.98726194002,
2014-06-07,777646.063966,1719,51452900.0,11.8,506101.0,2784.99999999,2.5238531,
2014-06-08,1676139.23752,1961,45474400.0,10.42,1585220.0,2753.0,4.04994266,
2014-06-09,1618241.56869,1945,41476200.0,9.5,1311350.0,2874.0,3.26213307,
2014-06-10,894799.430563,2001,41793000.0,9.56,1541710.0,2831.0,2.69895919,
2014-06-11,1506023.33295,1951,50928300.0,11.65,724358.0,2845.0,2.92688675,
2014-06-12,7632454.06756,2121,45377400.0,10.38,895885.0,2909.99999999,2.77869405001,
2014-06-13,2793785.54649,1867,44453800.0,10.16,426354.0,2819.0,2.36846862001,
2014-06-14,2941335.70822,1477,46763800.0,10.68,514834.0,2804.0,1.78740037001,
2014-06-15,1110751.24426,1422,44895900.0,10.24,274260.0,2999.0,1.81317498,
2014-06-16,3389827.05972,1430,44871400.0,10.23,427550.0,2797.99999999,1.8235016,
2014-06-17,4346747.11613,1710,44424600.0,10.12,305768.0,2839.99999994,2.77828564001,
2014-06-18,7832467.27423,1747,45190900.0,10.29,475249.0,2803.99999999,2.90881173001,
2014-06-19,4192565.72074,1758,44912000.0,10.22,589450.0,2858.0,3.08420244,
2014-06-20,8492323.8341,2060,48306500.0,10.98,4047720.0,2829.99999998,3.44839121001,
2014-06-21,2141753.34375,1709,45082300.0,10.24,1003310.0,2887.99999999,2.71664884,
2014-06-22,1195674.31268,1662,40952800.0,9.3,287288.0,3149.99999999,3.54370094,
2014-06-23,2480548.31819,1540,41650300.0,9.45,345384.0,2879.0,2.14822384,
2014-06-24,498846.97918,1388,43214300.0,9.8,327520.0,2748.0,1.67913886,
2014-06-25,618977.571143,1410,41587200.0,9.42,243528.0,2745.0,1.61971135,
2014-06-26,19770755.1123,1651,39622400.0,8.97,942175.0,2768.0,2.36400926,
2014-06-27,1769327.97102,1298,44475800.0,10.07,362067.0,2769.0,1.7699979,
2014-06-28,1714076.92024,1167,43494000.0,9.84,287441.0,2745.0,1.7227036,
2014-06-29,1572136.76932,1220,42086500.0,9.51,262898.0,2742.0,1.68174826,
2014-06-30,6594268.25672,1515,40669900.0,9.19,1216120.0,2765.0,3.38876621,
2014-07-01,4183643.63253,1449,39564800.0,8.93,689084.0,2749.99999999,3.32465451,
2014-07-02,6915273.11302,1473,35317900.0,7.97,1070360.0,2750.0,2.53184611999,
2014-07-03,4933446.63058,1324,31051700.0,7.0,946899.0,2710.99999999,2.22388566,
2014-07-04,2411545.44269,1143,34491300.0,7.77,250875.0,2789.0,1.28929011001,
2014-07-05,2358550.96168,1190,33295300.0,7.5,414546.0,2819.0,1.93519265,
2014-07-06,2061626.81984,1309,31701100.0,7.13,349136.0,2929.0,2.0102085,
2014-07-07,4107778.94561,1281,29664700.0,6.67,237262.0,2952.0,1.58070993006,
2014-07-08,1869922.47567,1337,31048700.0,6.98,578868.0,2757.0,1.75098271,
2014-07-09,812419.992841,1191,31920700.0,7.17,255938.0,2929.0,1.50128611,
2014-07-10,897762.753974,1279,31652000.0,7.11,299842.0,3217.0,2.03774645,
2014-07-11,785527.51102,1130,30178400.0,6.77,354126.0,2921.0,1.73034215,
2014-07-12,330331.950074,1188,29318500.0,6.57,136625.0,3005.0,1.29918351,
2014-07-13,964323.74765,1222,29207800.0,6.54,189565.0,2992.99999998,2.43401226,
2014-07-14,986906.694695,1328,28401500.0,6.36,255024.0,3039.0,2.74244259,
2014-07-15,645504.914748,1349,27620600.0,6.18,388889.0,3119.0,2.04904153,
2014-07-16,1290842.48261,1335,28261700.0,6.32,351827.0,3269.0,2.13668235,
2014-07-17,2116158.082,1546,28560700.0,6.38,699285.0,3030.99999998,2.82666647,
2014-07-18,1936072.46807,1282,33232100.0,7.42,729493.0,2930.0,1.95420479,
2014-07-19,421518.355756,1159,32320400.0,7.21,99443.0,3059.0,1.59667083,
2014-07-20,533959.093924,1114,31670100.0,7.06,137239.0,2763.0,1.62582884,
2014-07-21,1905523.73218,1281,31914400.0,7.11,121175.0,2871.99999999,1.89375211,
2014-07-22,604174.877745,1365,30373400.0,6.76,183517.0,2749.0,1.78964269,
2014-07-23,2310475.76862,1140,28768400.0,6.4,134307.0,2841.0,1.55906864,
2014-07-24,999969.694593,1056,28622700.0,6.37,167948.0,2794.0,1.88911275,
2014-07-25,7128253.69793,1147,27805400.0,6.18,234015.0,2980.99999999,2.01139120001,
2014-07-26,1947610.46065,1060,27359100.0,6.08,175004.0,2874.0,1.54095348,
2014-07-27,1254457.58663,1067,26902000.0,5.97,175722.0,2858.0,1.18547717,
2014-07-28,957022.340289,1240,26303900.0,5.83,405543.0,2768.99999999,2.30541376,
2014-07-29,2874376.6052,1234,23416800.0,5.19,294949.0,2815.0,1.82388496,
2014-07-30,3065123.8697,1287,21674000.0,4.8,329136.0,3065.0,2.81760414,
2014-07-31,524686.820778,1291,20134700.0,4.46,387401.0,3211.0,2.274802,
2014-08-01,664241.5872,1382,25079000.0,5.55,252698.0,3493.99999999,2.57737889,
2014-08-02,516369.296675,1130,25475400.0,5.63,185190.0,3035.0,1.45788271,
2014-08-03,639436.308292,1094,25819300.0,5.7,280722.0,2845.0,2.12564681,
2014-08-04,386280.812333,1042,26380600.0,5.82,179607.0,2757.0,1.50758942,
2014-08-05,2467174.32535,971,24053200.0,5.31,107685.0,2765.0,1.49601605,
2014-08-06,352195.042822,961,24444200.0,5.39,211361.0,2715.0,2.35988539,
2014-08-07,378155.1605,1008,26184200.0,5.77,140303.0,2778.0,1.41544056,
2014-08-08,21137235.137,1050,25676800.0,5.66,269415.0,2777.99999999,1.57003468,
2014-08-09,343023.987488,954,27396600.0,6.03,235890.0,2760.0,1.26848243,
2014-08-10,10861618.0943,989,25451100.0,5.6,218033.0,2719.99999999,1.32074937,
2014-08-11,2433490.38918,1035,26027300.0,5.72,223309.0,2768.0,1.71894986,
2014-08-12,108254.51264,980,23097300.0,5.07,94300.0,2782.0,1.07968291,
2014-08-13,1474130.33393,1469,22864000.0,5.02,287212.0,2841.0,2.93670155,
2014-08-14,1568398.3778,1892,22211800.0,4.87,197663.0,2767.0,5.11409967001,
2014-08-15,2240157.9683,1771,18640900.0,4.09,276892.0,2729.0,14.4932593,
2014-08-16,2001497.1774,1419,16619900.0,3.64,296592.0,2765.0,23.7479473601,
2014-08-17,1123044.19264,1522,13439000.0,2.94,370021.0,2748.0,46.55359322,
2014-08-18,2948090.32811,1800,10783300.0,2.36,699964.0,2850.99999998,79.74846115,
