date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses
2017-07-04,46528520.1797,5478,656753000.0,4.1,218559000.0,4875,
2017-07-05,62928292.2891,4080,547544000.0,3.36,124339000.0,4023,
2017-07-06,87410130.0423,8516,502465000.0,3.01,177463000.0,7809,
2017-07-07,35699479.4165,3902,566644000.0,3.35,96596500.0,3889,
2017-07-08,27617216.2369,3269,485188000.0,2.82,151162000.0,2674,
2017-07-09,46436620.3605,3457,491957000.0,2.6,87525100.0,3468,
2017-07-10,37100204.4952,7280,464611000.0,2.25,79608800.0,6489,
2017-07-11,61567087.9179,8970,372111000.0,1.79,111023000.0,7436,
2017-07-12,82115442.3619,13602,346085000.0,1.64,104621000.0,11263,
2017-07-13,20083488.2529,4456,443420000.0,2.08,51203900.0,3905,
2017-07-14,18542220.5801,4861,371675000.0,1.73,41025200.0,4251,
2017-07-15,14946350.454,3738,339219000.0,1.55,34208800.0,3149,
2017-07-16,11134898.3561,2936,284276000.0,1.29,30802800.0,2425,
2017-07-17,9120614.4355,2834,278755000.0,1.25,62295100.0,2317,
2017-07-18,13651424.9856,2744,345694000.0,1.54,58108000.0,2325,
2017-07-19,21668238.3293,2757,384563000.0,1.7,55057600.0,2389,
2017-07-20,19493554.5917,2704,357758000.0,1.57,45949800.0,2401,
2017-07-21,16302655.0632,3693,404351000.0,1.76,58164900.0,3090,
2017-07-22,22914071.661,7019,421938000.0,1.82,41809000.0,5933,
2017-07-23,24519151.8732,4463,459832000.0,1.96,60205000.0,3937,
2017-07-24,32137591.1389,6216,445118000.0,1.88,36585400.0,5228,
2017-07-25,13624755.9128,2919,448823000.0,1.88,42547000.0,2368,
2017-07-26,27361736.5196,4184,396121000.0,1.64,48693200.0,3388,
2017-07-27,39091738.0563,7819,425312000.0,1.75,69371700.0,6612,
2017-07-28,63137702.4308,11548,481392000.0,1.96,64730400.0,9585,
2017-07-29,11349859.3598,2705,452704000.0,1.83,44021100.0,2219,
2017-07-30,68910404.1101,8329,455967000.0,1.83,27580200.0,7917,
2017-07-31,74380830.7445,15991,446574000.0,1.77,29657700.0,15353,
2017-08-01,13031475.5193,2644,442971000.0,1.75,39175500.0,2313,
2017-08-02,106258832.583,3146,455223000.0,1.78,28880800.0,2634,
2017-08-03,14820913.3356,2877,457634000.0,1.78,25878000.0,2563,
2017-08-04,19833266.1873,3123,467884000.0,1.8,34183300.0,2628,
2017-08-05,16969834.4608,4374,471268000.0,1.8,52324800.0,3569,
2017-08-06,24572375.6965,4250,501778000.0,1.9,38436700.0,3391,
2017-08-07,18092487.3758,3358,462733000.0,1.73,46022400.0,2776,
2017-08-08,27494442.977,3926,487777000.0,1.81,76270800.0,3033,
2017-08-09,12602277.88,2873,510157000.0,1.88,36813700.0,2501,
2017-08-10,11568138.4219,2651,501169000.0,1.83,43519300.0,2450,
2017-08-11,20230245.0941,4028,504138000.0,1.83,49178400.0,3268,
2017-08-12,15503230.3352,3788,495957000.0,1.79,38131800.0,3002,
2017-08-13,20187981.0642,5372,465780000.0,1.67,40514200.0,4224,
2017-08-14,33167891.2499,6959,453328000.0,1.61,39205300.0,5459,
2017-08-15,28616160.9844,6002,469853000.0,1.66,58304700.0,4561,
2017-08-16,11638748.2009,2651,468739000.0,1.64,24022000.0,2317,
2017-08-17,15645525.5493,3296,459650000.0,1.6,25713300.0,2846,
2017-08-18,14087318.3625,3244,445570000.0,1.54,26841700.0,2870,
2017-08-19,21713091.9472,4720,414746000.0,1.42,24769900.0,4361,
2017-08-20,25197537.3372,5586,412029000.0,1.4,15673200.0,5418,
2017-08-21,10355697.9212,2394,404724000.0,1.37,20152300.0,2121,
2017-08-22,12837099.6357,2656,397993000.0,1.34,23774300.0,1998,
2017-08-23,18108378.6988,2788,384808000.0,1.29,36567800.0,2264,
2017-08-24,9034116.40801,2121,426382000.0,1.41,18034600.0,1933,
2017-08-25,15409322.6275,2264,419363000.0,1.38,20444500.0,2019,
2017-08-26,9166987.31938,2386,421157000.0,1.38,16466000.0,2226,
2017-08-27,9780234.27167,2657,418196000.0,1.36,18124100.0,2472,
2017-08-28,11935090.7661,3137,417816000.0,1.35,18414400.0,2875,
2017-08-29,13217672.5421,2005,417121000.0,1.34,18993200.0,1802,
2017-08-30,22719865.6523,5209,411683000.0,1.31,24068700.0,4895,
2017-08-31,11685555.4646,2157,388849000.0,1.23,22926100.0,1767,
2017-09-01,17552598.5674,2965,415441000.0,1.3,25853000.0,2583,
2017-09-02,17810564.9323,2164,417177000.0,1.3,38741300.0,1748,
2017-09-03,18734657.402,2663,399540000.0,1.24,22618600.0,2150,
2017-09-04,59144427.3821,5363,406952000.0,1.25,43045400.0,3933,
2017-09-05,48943869.1465,10320,277362000.0,0.848252,30273900.0,7666,
2017-09-06,69652557.7585,18344,293040000.0,0.891735,26208300.0,13952,
2017-09-07,55069702.0226,13897,304901000.0,0.921946,22912100.0,11660,
2017-09-08,120000447.622,16187,325195000.0,0.977746,18650200.0,13060,
2017-09-09,49491389.7517,12647,278741000.0,0.83378,10281100.0,10644,
2017-09-10,15025793.5233,4821,266891000.0,0.793394,9494440.0,3704,
2017-09-11,10755118.9878,4421,250148000.0,0.739553,7763470.0,3537,
2017-09-12,11927952.0687,4881,248239000.0,0.730094,15475800.0,3975,
2017-09-13,11123463.1712,3219,287468000.0,0.841224,12370500.0,2738,
2017-09-14,11528466.5106,3102,249825000.0,0.727394,13131300.0,2639,
2017-09-15,9194172.88056,4843,208567000.0,0.60337,13121900.0,3999,
2017-09-16,8217553.74722,3874,231741000.0,0.666501,5602950.0,3126,
2017-09-17,5485215.70681,3174,218104000.0,0.624291,8685770.0,2622,
2017-09-18,7825791.12148,3429,228544000.0,0.650438,9065170.0,2981,
2017-09-19,6098505.76097,2968,250257000.0,0.708194,5520750.0,2544,
2017-09-20,4091869.93177,2119,231481000.0,0.651858,6087520.0,1867,
2017-09-21,5989045.47082,2215,219928000.0,0.615818,6972060.0,1890,
2017-09-22,3133337.78712,1886,197242000.0,0.547718,4556540.0,1688,
2017-09-23,3355541.32657,1673,206350000.0,0.57079,4809880.0,1381,
2017-09-24,5375514.00901,1565,210746000.0,0.580243,7534280.0,1297,
2017-09-25,4022094.16718,1526,199970000.0,0.546514,5592430.0,1345,
2017-09-26,5218290.04211,2738,209783000.0,0.570981,5789570.0,2551,
2017-09-27,3206650.66618,1798,207167000.0,0.560208,11395600.0,1604,
