date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2016-07-27,25231354.9531,34042,202315000.0,2.46,62645700.0,33052.34375,26.8256999035,
2016-07-28,20020879.4028,23447,128530000.0,1.56,40291300.0,33480.46875,21.7173534742,
2016-07-29,13195596.0082,18362,140887000.0,1.71,20745500.0,35176.875,19.6500413467,
2016-07-30,8009725.33899,15092,136213000.0,1.66,10061600.0,32699.53125,11.117137677,
2016-07-31,7253346.3474,16525,129265000.0,1.57,29167500.0,35503.75,12.607749391,
2016-08-01,12740991.275,20533,147548000.0,1.79,45924200.0,36351.875,14.495825735,
2016-08-02,19651020.0428,26061,194318000.0,2.36,147855000.0,37578.125,18.7776739282,
2016-08-03,14944007.4831,28575,228712000.0,2.78,74184500.0,35055.0,21.5209123237,
2016-08-04,13938669.2614,23927,213375000.0,2.59,43516500.0,32255.625,17.9889128156,
2016-08-05,10963048.2184,18801,193412000.0,2.35,20254400.0,35111.5625,13.7970808781,
2016-08-06,11336422.2903,19205,213044000.0,2.59,22874700.0,36771.875,13.5784430224,
2016-08-07,12549032.5266,18929,222683000.0,2.7,31153900.0,34467.34375,12.4397919058,
2016-08-08,25364799.7647,15872,178435000.0,2.16,15781200.0,35828.28125,12.3903560273,
2016-08-09,13380525.3033,17414,179978000.0,2.17,23612300.0,31986.875,13.7183403438,
2016-08-10,33607783.9405,15786,160983000.0,1.94,20082200.0,33414.0625,11.542645509,
2016-08-11,9766601.52953,16122,142268000.0,1.72,17263000.0,34447.1875,11.3354066707,
2016-08-12,13100349.8186,15467,152797000.0,1.84,15418800.0,33269.53125,10.4003020861,
2016-08-13,1867812.14282,14427,153918000.0,1.86,3822490.0,33361.5625,9.74120400256,
2016-08-14,4102968.43473,14922,154946000.0,1.87,6985300.0,33261.25,24.4133446356,
2016-08-15,4979300.10919,14922,159898000.0,1.93,7282060.0,33262.1875,9.91306561228,
2016-08-16,3876261.30501,17963,154786000.0,1.87,4062150.0,33623.4375,13.2951076501,
2016-08-17,3594860.11824,14460,154458000.0,1.86,5087980.0,33452.8125,9.6855644456,
2016-08-18,3942630.63201,12799,144697000.0,1.74,4469650.0,33878.4375,8.16487811713,
2016-08-19,3134742.53213,12560,139926000.0,1.68,6186480.0,34077.5,8.37700998914,
2016-08-20,2129817.56567,12964,147957000.0,1.78,3315060.0,35246.09375,8.53825856974,
2016-08-21,1418702.25548,12662,145110000.0,1.75,1866780.0,33357.34375,8.24494349212,
2016-08-22,9596853.68189,13503,143596000.0,1.73,4757220.0,33181.25,9.55948216087,
2016-08-23,5263771.30954,13933,139367000.0,1.67,6292880.0,33152.96875,9.33990499448,
2016-08-24,5763296.8055,12890,133732000.0,1.61,6191350.0,32754.6875,8.89163437492,
2016-08-25,4695118.78278,12931,120071000.0,1.44,9500860.0,33195.78125,9.03404699238,
2016-08-26,5794452.57533,12362,114207000.0,1.37,6251250.0,32770.625,8.24544027371,
2016-08-27,6678865.57889,11650,119989000.0,1.44,3494870.0,33052.65625,7.31959516239,
2016-08-28,3317223.95311,11708,112287000.0,1.35,4837510.0,32619.6875,7.45058709034,
2016-08-29,4341129.23459,11768,109994000.0,1.32,6289800.0,32892.65625,8.09737045277,
2016-08-30,6533758.33002,12860,105167000.0,1.26,6984970.0,33150.3125,9.76998073545,
2016-08-31,5011092.09294,13091,103201000.0,1.24,6098980.0,32610.3125,9.32275601144,
2016-09-01,15875364.9015,15357,99255000.0,1.19,13501800.0,34188.90625,11.6239862553,
2016-09-02,6126096.46668,22958,121870000.0,1.46,6325890.0,33787.5,24.8058422257,
2016-09-03,9062834.98962,12484,116853000.0,1.4,4659540.0,32461.40625,8.19793091832,
