date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses
2017-07-21,66652.557919,126,3584260.0,0.052881,34470.0,101,
2017-07-22,102670.883724,91,4133020.0,0.060978,23393.0,88,
2017-07-23,65957.1137382,92,4087940.0,0.060313,29665.0,76,
2017-07-24,78957.3635072,110,3836530.0,0.056603,30338.0,87,
2017-07-25,71397.8732642,91,3114560.0,0.045952,12101.0,76,
2017-07-26,70710.6857985,84,3362100.0,0.049604,14125.0,85,
2017-07-27,52859.7827891,97,3119530.0,0.045467,23320.0,86,
2017-07-28,22828.8334531,46,2949030.0,0.042982,23079.0,48,
2017-07-29,30853.559502,68,2646850.0,0.038578,24330.0,62,
2017-07-30,28406.3312515,97,2965250.0,0.043218,34094.0,86,
2017-07-31,24288.7032049,68,2907510.0,0.042377,21423.0,66,
2017-08-01,16861.1157107,48,2569640.0,0.037452,31951.0,59,
2017-08-02,67131.4809965,132,2891890.0,0.042149,26129.0,132,
2017-08-03,51405.4903957,462,2871020.0,0.041845,35677.0,425,
2017-08-04,50691.9829471,260,3013860.0,0.043927,27831.0,236,
2017-08-05,70370.4500524,235,3284550.0,0.047872,78172.0,228,
2017-08-06,213432.677437,502,4597400.0,0.067007,110909.0,405,
2017-08-07,724380.034141,1055,8072330.0,0.100639,618445.0,751,
2017-08-08,780349.735838,500,14290000.0,0.177745,266988.0,394,
2017-08-09,299620.285565,302,13019000.0,0.184571,222484.0,231,
2017-08-10,431431.22525,409,12042600.0,0.170729,365852.0,276,
2017-08-11,3069373.01303,1023,15772300.0,0.223574,1337950.0,761,
2017-08-12,2946838.05191,1481,35359400.0,0.501224,2246300.0,1084,
2017-08-13,4804687.90585,1270,73425600.0,1.04,1902750.0,986,
2017-08-14,2101322.97531,623,53024500.0,0.749502,1201880.0,539,
2017-08-15,3430170.98691,459,56829800.0,0.80329,975342.0,388,
2017-08-16,2036444.14121,661,50228700.0,0.709933,1380050.0,545,
2017-08-17,4815587.1119,986,66579500.0,0.940835,2583040.0,791,
2017-08-18,3938461.90152,748,82718200.0,1.17,1942910.0,579,
2017-08-19,2202206.35112,471,81667300.0,1.15,993767.0,397,
2017-08-20,3340568.06024,658,87995500.0,1.24,856033.0,549,
