date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses
2017-06-30,null,null,0.0,0.020367,177531.0,null,
2017-07-01,null,null,0.0,0.337854,109529.0,null,
2017-07-02,null,null,0.0,0.019183,96684.0,null,
2017-07-03,null,null,345602000.0,0.090013,96913.0,null,
2017-07-04,null,null,94384600.0,0.024583,323348.0,null,
2017-07-05,null,null,72954500.0,0.019001,4821760.0,null,
2017-07-06,null,null,87839200.0,0.022878,3178290.0,null,
2017-07-07,645343305.774,5971,76432900.0,0.019907,1493760.0,2805,
2017-07-08,null,null,51652300.0,0.013453,825656.0,null,
2017-07-09,null,null,49650100.0,0.012932,1276830.0,null,
2017-07-10,null,null,47414600.0,0.012349,935060.0,null,
2017-07-11,null,null,46880100.0,0.01221,2749220.0,null,
2017-07-12,null,null,59455600.0,0.015485,1315430.0,null,
2017-07-13,null,null,69089400.0,0.017995,826019.0,null,
2017-07-14,null,null,58155800.0,0.015147,363148.0,null,
2017-07-15,236094.142654,123,49268800.0,0.012832,292390.0,112,
2017-07-16,534204.286657,180,39991000.0,0.010416,424293.0,162,
2017-07-17,475467.279187,129,42268300.0,0.011009,580590.0,128,
2017-07-18,545199.275192,124,49529500.0,0.0129,557570.0,133,
2017-07-19,436040.611242,127,50937500.0,0.013267,594138.0,141,
2017-07-20,2118620.02196,112,43985600.0,0.011456,518285.0,122,
2017-07-21,345015.970255,105,47693300.0,0.012422,734587.0,110,
2017-07-22,325428.672477,121,42791700.0,0.011145,604149.0,122,
2017-07-23,451804.364998,135,44790200.0,0.011666,714335.0,151,
2017-07-24,517146.253031,171,52134900.0,0.013579,1074080.0,187,
2017-07-25,4672267.40929,140,50294600.0,0.013099,541693.0,138,
2017-07-26,388181.014368,124,42540900.0,0.01108,513288.0,133,
2017-07-27,295840.062961,137,40850100.0,0.010639,431993.0,131,
2017-07-28,536698.265416,144,41886100.0,0.010909,658726.0,121,
2017-07-29,375065.964176,150,43260800.0,0.011267,211393.0,129,
2017-07-30,98784.8969478,69,44400600.0,0.011564,142368.0,70,
2017-07-31,299497.612483,123,43734600.0,0.011391,442097.0,104,
2017-08-01,406841.719553,77,44407600.0,0.011566,600151.0,91,
2017-08-02,322863.475304,88,47909600.0,0.012478,335031.0,94,
2017-08-03,121983.603054,126,46287200.0,0.012056,307817.0,111,
2017-08-04,586870.180987,136,50380100.0,0.013122,572205.0,134,
2017-08-05,377699.728398,161,50261500.0,0.013091,523661.0,174,
2017-08-06,484319.289237,222,56401400.0,0.01469,1868120.0,201,
2017-08-07,1447794.45216,197,68493700.0,0.017839,897438.0,186,
2017-08-08,236666.384475,224,65700100.0,0.017112,953548.0,201,
2017-08-09,178081.022361,158,75009200.0,0.019536,566208.0,158,
2017-08-10,1354141.36975,327,75860500.0,0.019758,2559630.0,318,
2017-08-11,2002379.02352,554,102945000.0,0.026812,7417180.0,516,
2017-08-12,1216925.65616,316,129035000.0,0.033608,2262110.0,301,
2017-08-13,816700.289809,268,103878000.0,0.027055,1878590.0,253,
2017-08-14,1007023.4801,260,115521000.0,0.030088,1356670.0,219,
2017-08-15,336239.495606,262,101655000.0,0.026476,989450.0,211,
2017-08-16,869029.421872,320,94057500.0,0.024498,1100330.0,259,
2017-08-17,627821.794291,325,98831400.0,0.025741,4157260.0,329,
2017-08-18,419923.978926,223,126925000.0,0.033058,1399670.0,238,
2017-08-19,558464.707664,205,115334000.0,0.030039,688178.0,213,
2017-08-20,392540.51443,178,120100000.0,0.03128,820968.0,203,
2017-08-21,961827.543185,222,120045000.0,0.031266,933758.0,234,
