date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2017-07-09,29677.3250147,537,0.0,1.81,67816.0,null,0.0,
2017-07-10,63765.3383031,659,0.0,2.11,93634.0,null,0.0,
2017-07-11,92473.926576,697,0.0,2.06,152548.0,null,0.0,
2017-07-12,182556.777103,739,0.0,2.16,170201.0,null,0.0,
2017-07-13,234762.329956,845,0.0,2.67,194312.0,null,0.0,
2017-07-14,236719.358653,698,0.0,3.24,140144.0,null,0.0,
2017-07-15,37434.1797676,579,0.0,2.8,80640.0,null,0.0,
2017-07-16,30117.2989247,544,0.0,1.85,59502.0,null,0.0,
2017-07-17,21161.9367708,522,0.0,1.96,45349.0,null,0.0,
2017-07-18,32479.9638071,544,0.0,2.11,56900.0,null,0.0,
2017-07-19,71028.3687237,532,0.0,2.28,55994.0,null,0.0,
2017-07-20,22218.542216,527,0.0,2.16,52171.0,null,0.0,
2017-07-21,12826.8566357,566,0.0,2.18,61106.0,null,0.0,
2017-07-22,12860.1763344,491,0.0,2.19,87787.0,null,0.0,
2017-07-23,51771.938825,597,0.0,2.43,87052.0,null,0.0,
2017-07-24,36836.2422133,609,0.0,2.57,50053.0,null,0.0,
2017-07-25,11810.9470015,545,0.0,2.68,68301.0,null,0.0,
2017-07-26,27493.0730769,528,0.0,2.56,59517.0,null,0.0,
2017-07-27,22083.4595941,486,0.0,2.51,53595.0,null,0.0,
2017-07-28,27180.0537807,555,0.0,2.6,215153.0,null,0.0,
2017-07-29,46111.7756819,477,0.0,2.54,207953.0,null,0.0,
2017-07-30,9131.27827181,478,0.0,2.51,214101.0,null,0.0,
2017-07-31,40637.0139556,495,0.0,2.51,198893.0,null,0.0,
2017-08-01,27069.1127099,621,0.0,2.32,230750.0,null,9.4e-07,
2017-08-02,71747.9128561,668,7018420.0,2.4,258061.0,null,2e-08,
2017-08-03,66236.225242,974,6928270.0,2.37,306871.0,null,0.0,
2017-08-04,119421.920779,1082,7109470.0,2.43,304007.0,null,5.6e-06,
2017-08-05,124244.639447,1139,8344340.0,2.85,361861.0,null,0.0,
2017-08-06,1726778.31227,1539,10661000.0,3.64,395513.0,null,2e-08,
2017-08-07,42033228.5023,2673,12222900.0,4.18,1017640.0,null,1.4e-07,
2017-08-08,2563333.42384,5279,23194300.0,7.92,2261940.0,null,1.3e-07,
2017-08-09,2993718.83008,10130,30882000.0,10.55,12738800.0,null,3.6e-07,
2017-08-10,5702946.90102,15952,70786700.0,24.18,8774840.0,null,5.6e-07,
2017-08-11,2663540.90382,12903,60388200.0,20.63,3564800.0,null,2.3e-07,
2017-08-12,890750.698385,9448,51673400.0,17.65,2861160.0,null,1e-07,
2017-08-13,3726369.92754,3915,49761400.0,17.0,5659100.0,null,3e-07,
2017-08-14,3760440.31328,15377,80705800.0,27.57,8351290.0,null,7e-07,
2017-08-15,11276609.13,14260,99548600.0,34.01,6518010.0,null,5.1e-07,
2017-08-16,2075414.79026,13336,95474300.0,32.62,4410840.0,null,3.6e-07,
2017-08-17,2059652.27006,13186,105426000.0,36.01,3337770.0,null,6.3e-07,
2017-08-18,4658164.91419,12150,93985500.0,32.11,3120270.0,null,7.6e-07,
2017-08-19,1428236.63224,11033,85618100.0,29.25,2329640.0,null,6.4e-07,
2017-08-20,1529382.80281,12173,95695200.0,32.69,1522630.0,null,491.00000066,
2017-08-21,665412.785736,11910,86281500.0,29.47,1605980.0,null,6.2e-07,
2017-08-22,1643403.80462,11013,74664600.0,25.51,1721320.0,null,3.4e-07,
2017-08-23,2053223.55442,12974,70981000.0,24.25,1339760.0,null,5.2e-07,
2017-08-24,511077.988778,12066,203496000.0,24.7,1052500.0,null,5e-07,
2017-08-25,407167.643813,11676,205126000.0,24.87,936671.0,null,4.4e-07,
2017-08-26,239858.409327,10426,190511000.0,23.08,712479.0,null,3.4e-07,
2017-08-27,335077.402087,10586,177575000.0,21.5,704800.0,null,4e-07,
2017-08-28,1279970.54737,11421,159665000.0,19.33,626972.0,null,7.1e-07,
2017-08-29,447134.362914,14321,163397000.0,19.77,939405.0,null,1.11e-06,
2017-08-30,423070.564284,12541,152831000.0,18.48,926704.0,null,7.3e-07,
2017-08-31,657673.146543,13172,165474000.0,19.99,642261.0,null,5.2e-07,
2017-09-01,343082.393007,13692,140014000.0,16.91,534726.0,null,6.6e-07,
2017-09-02,185915.132579,12005,123805000.0,14.94,619252.0,null,5.2e-07,
2017-09-03,307004.080385,10999,118953000.0,14.35,503554.0,null,6.4e-07,
2017-09-04,2484665.97294,14232,102293000.0,12.33,960225.0,null,0.2000007,
2017-09-05,376051.439866,11429,85168200.0,10.25,656651.0,null,3.2e-07,
2017-09-06,3755834.64199,11641,91918500.0,11.05,378789.0,null,4e-07,
2017-09-07,1235324.2089,13360,72799900.0,8.74,994037.0,null,7.2e-07,
2017-09-08,1113302.33282,10114,130343000.0,15.64,518904.0,null,4.6e-07,
2017-09-09,319346.325003,6967,94079500.0,11.28,521416.0,null,2.4e-07,
