date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses
2017-05-04,2467223.89255,304,86866900.0,78.64,6149800.0,229,
2017-05-05,1882186.41339,211,97841900.0,88.58,4400090.0,181,
2017-05-06,1166627.12022,374,95764700.0,86.7,7706590.0,282,
2017-05-07,3229101.93378,252,126953000.0,114.93,3392570.0,182,
2017-05-08,2346376.55781,381,115553000.0,104.61,4710080.0,388,
2017-05-09,743937.610878,234,130135000.0,117.81,2728910.0,197,
2017-05-10,687256.326482,205,110261000.0,99.82,1340590.0,172,
2017-05-11,1569060.26585,165,121109000.0,109.64,1502340.0,144,
2017-05-12,3824727.27199,121,121482000.0,109.98,966219.0,113,
2017-05-13,428664.99853,140,117301000.0,106.19,596459.0,130,
2017-05-14,1035153.84572,114,123339000.0,111.66,686450.0,92,
2017-05-15,1343344.17085,202,123510000.0,111.81,2149280.0,130,
2017-05-16,848527.953753,194,132570000.0,120.02,1782330.0,117,
2017-05-17,375775.941399,156,132848000.0,120.27,1145960.0,125,
2017-05-18,552528.244359,209,134603000.0,121.86,1741360.0,162,
2017-05-19,1524654.34018,348,151276000.0,136.95,5786480.0,196,
2017-05-20,1602827.43866,276,185701000.0,168.12,2776440.0,154,
2017-05-21,1989596.1525,410,197820000.0,179.09,4641290.0,209,
2017-05-22,2561370.95926,357,234043000.0,211.88,6796350.0,224,
2017-05-23,528418.585883,251,244416000.0,221.27,3339550.0,187,
2017-05-24,3913522.61075,379,255003000.0,230.86,4987370.0,253,
2017-05-25,987112.405964,309,292131000.0,264.47,3733870.0,216,
2017-05-26,727590.418909,324,243964000.0,220.86,2538650.0,188,
2017-05-27,792055.477286,361,225713000.0,204.34,2116920.0,215,
2017-05-28,1555387.76501,218,211182000.0,191.19,1655050.0,135,
2017-05-29,418882.433822,233,232021000.0,210.05,1427840.0,132,
2017-05-30,2252902.22034,261,247225000.0,223.82,2948800.0,166,
2017-05-31,912892.856261,335,280776000.0,254.19,3223960.0,200,
2017-06-01,2482278.09985,358,286026000.0,258.94,2793310.0,203,
2017-06-02,3765865.08399,293,276061000.0,249.92,1704490.0,182,
2017-06-03,3858030.7071,254,279626000.0,253.15,1844740.0,180,
2017-06-04,613416.422097,257,285736000.0,258.68,1764410.0,171,
2017-06-05,5149112.12845,353,291098000.0,263.54,2900230.0,172,
2017-06-06,3540835.6392,323,287414000.0,260.2,3759020.0,203,
2017-06-07,6745605.78118,283,293620000.0,265.82,1863430.0,183,
2017-06-08,560538.509452,189,277124000.0,250.88,1108080.0,132,
2017-06-09,3989616.22854,230,285934000.0,258.86,1039800.0,180,
2017-06-10,14993869.9161,243,285057000.0,258.07,2586810.0,173,
2017-06-11,779757.656208,204,286357000.0,259.24,1722230.0,123,
2017-06-12,2532784.52877,284,298225000.0,269.99,4611240.0,200,
2017-06-13,6461784.68646,322,295600000.0,267.61,3634110.0,206,
2017-06-14,939864.785873,270,298552000.0,270.28,1756630.0,196,
2017-06-15,3607107.43793,202,270958000.0,245.3,1818040.0,144,
2017-06-16,584223.624556,228,260202000.0,235.56,1706190.0,143,
2017-06-17,487329.775518,205,268782000.0,243.33,960521.0,133,
2017-06-18,759186.992441,269,270126000.0,244.55,835268.0,201,
2017-06-19,803155.031009,267,264399000.0,239.36,2274500.0,180,
2017-06-20,3670262.44084,199,267203000.0,241.9,2548470.0,161,
2017-06-21,287200.308241,81,257650000.0,233.25,2174910.0,89,
2017-06-22,550325.02848,182,245934000.0,222.65,1406290.0,137,
2017-06-23,3601897.05713,192,239357000.0,216.69,941532.0,165,
2017-06-24,522110.135131,146,253127000.0,229.16,893780.0,98,
2017-06-25,633448.574096,192,239096000.0,216.46,1987100.0,137,
2017-06-26,335022.420001,186,226810000.0,205.33,2401130.0,136,
2017-06-27,4235844.48241,169,212843000.0,192.69,1059020.0,104,
2017-06-28,1366985.45807,223,223595000.0,202.42,1422660.0,146,
2017-06-29,2489832.37858,413,238203000.0,215.65,9273850.0,232,
2017-06-30,4464152.18746,1016,284474000.0,257.54,39888300.0,487,
2017-07-01,1504851.16199,399,366771000.0,332.04,8108100.0,227,
2017-07-02,1409145.96359,275,333248000.0,301.69,6820020.0,130,
2017-07-03,2866580.20452,329,355777000.0,322.09,7327040.0,186,
2017-07-04,2435089.71392,218,364913000.0,330.36,3328510.0,137,
2017-07-05,3195035.46265,331,350717000.0,317.51,7394890.0,162,
2017-07-06,2370759.59671,154,373647000.0,338.27,2805380.0,110,
2017-07-07,1605810.18527,126,369703000.0,334.7,2166830.0,95,
2017-07-08,753281.807264,139,312851000.0,283.23,1584090.0,110,
2017-07-09,1071170.867,121,328480000.0,297.38,960653.0,86,
2017-07-10,6984117.55196,144,306126000.0,277.14,1872180.0,118,
2017-07-11,2002363.53312,173,250244000.0,226.55,1552960.0,125,
2017-07-12,488253.169973,149,227252000.0,205.74,2068270.0,102,
2017-07-13,480346.77357,121,243945000.0,220.85,1311570.0,93,
2017-07-14,458925.471233,135,223945000.0,202.74,741389.0,94,
2017-07-15,680520.398033,138,200147000.0,181.2,697468.0,98,
2017-07-16,327943.808517,150,180382000.0,163.3,1457260.0,113,
2017-07-17,407543.709454,140,172204000.0,155.9,911380.0,116,
2017-07-18,3562520.49085,163,203027000.0,183.8,1469820.0,125,
2017-07-19,625427.071725,211,220934000.0,200.01,3145230.0,134,
2017-07-20,858252.316391,158,219303000.0,198.54,1515470.0,122,
2017-07-21,443188.240078,251,249600000.0,225.97,1004850.0,205,
2017-07-22,672991.40746,170,246212000.0,222.9,961026.0,138,
2017-07-23,128728.485286,113,258829000.0,234.32,562017.0,117,
2017-07-24,3864260.84871,182,254991000.0,230.85,484269.0,172,
2017-07-25,529984.673282,354,248040000.0,224.55,956565.0,291,
2017-07-26,1107389.37138,234,223070000.0,201.95,660165.0,200,
2017-07-27,2372509.24912,297,219656000.0,198.86,816452.0,286,
2017-07-28,733562.606147,351,223025000.0,201.91,2852960.0,287,
2017-07-29,117856.852342,179,213665000.0,193.43,714741.0,174,
2017-07-30,242028.635124,221,215772000.0,195.34,730732.0,183,
2017-07-31,555618.562723,215,203186000.0,183.95,598546.0,219,
2017-08-01,772866.58055,106,212179000.0,192.09,883614.0,102,
2017-08-02,617074.846586,205,219722000.0,198.92,1079130.0,202,
2017-08-03,813260.510916,386,216550000.0,196.05,562315.0,348,
2017-08-04,766521.027937,279,219838000.0,199.02,641178.0,249,
2017-08-05,478805.376604,270,218434000.0,197.75,1154940.0,232,
2017-08-06,1356933.58226,252,228956000.0,207.28,936640.0,245,
2017-08-07,1014764.07809,328,231980000.0,210.01,935766.0,292,
2017-08-08,1509521.90142,340,225238000.0,203.91,1286660.0,289,
2017-08-09,2332711.62719,305,230179000.0,208.38,1577320.0,280,
2017-08-10,490095.111318,270,240012000.0,217.29,737988.0,263,
2017-08-11,1759098.72988,427,235595000.0,213.29,2828210.0,355,
2017-08-12,814505.940759,335,223879000.0,202.68,1284330.0,299,
2017-08-13,641365.922992,326,218124000.0,197.47,1939680.0,279,
2017-08-14,528995.700094,296,209143000.0,189.34,1030500.0,254,
2017-08-15,561389.772349,326,197976000.0,179.23,1341030.0,261,
2017-08-16,946199.643471,245,195713000.0,177.18,1553410.0,216,
2017-08-17,708929.606416,236,205570000.0,186.11,849901.0,218,
2017-08-18,336032.290024,241,192350000.0,174.14,2642460.0,217,
2017-08-19,384285.755999,263,171240000.0,155.03,1043970.0,241,
2017-08-20,281124.09276,274,178038000.0,161.18,852718.0,243,
2017-08-21,400664.483116,286,189961000.0,171.97,1254010.0,244,
