date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses
2016-11-21,89645.703978,33,0.0,0.014474,3502.0,25,
2016-11-22,129613.103899,44,0.0,0.013232,5432.0,38,
2016-11-23,236489.597435,45,0.0,0.013517,3195.0,34,
2016-11-24,41686.6386874,15,0.0,0.010432,2005.0,17,
2016-11-25,31338.1306267,30,0.0,0.011455,2647.0,15,
2016-11-26,86161.8568779,51,0.0,0.011125,4503.0,39,
2016-11-27,65982.4972884,47,0.0,0.01287,4344.0,42,
2016-11-28,44962.7755087,34,0.0,0.012357,5409.0,23,
2016-11-29,60986.1153577,36,0.0,0.011774,8551.0,30,
2016-11-30,261302.978891,50,9032630.0,0.013264,17847.0,29,
2016-12-01,15028.3342525,38,9083710.0,0.013339,8438.0,37,
2016-12-02,29669.4078653,23,8779020.0,0.012891,11623.0,24,
2016-12-03,22180.993078,13,8641320.0,0.012689,8153.0,18,
2016-12-04,61173.4448614,32,8609520.0,0.012642,6976.0,29,
2016-12-05,26383.3885275,25,8669380.0,0.01273,10143.0,21,
2016-12-06,41978.4521831,30,7768070.0,0.011407,9546.0,28,
2016-12-07,40003.3452018,35,8129270.0,0.011937,11337.0,29,
2016-12-08,136174.381433,30,6919460.0,0.010161,18659.0,21,
2016-12-09,5803.26892649,15,7071190.0,0.010383,16687.0,19,
2016-12-10,25949.2888953,29,6825960.0,0.010023,7327.0,24,
2016-12-11,17127.7194297,21,7504450.0,0.01102,10554.0,16,
2016-12-12,18956.085123,29,7207320.0,0.010583,12717.0,22,
2016-12-13,32956.6646179,35,7880910.0,0.011572,27719.0,31,
2016-12-14,67222.7438693,37,7746950.0,0.011376,16963.0,27,
2016-12-15,38057.4292306,31,8820900.0,0.012953,9187.0,29,
2016-12-16,2188.33693473,11,7960250.0,0.011689,10131.0,14,
2016-12-17,20618.19,5,7886020.0,0.01158,4715.0,10,
2016-12-18,18517.4549307,24,7963450.0,0.011694,8249.0,21,
2016-12-19,24725.1592303,16,8256620.0,0.012124,5513.0,18,
2016-12-20,16051.9503255,23,7290810.0,0.010706,15231.0,26,
2016-12-21,44197.6813759,27,8065190.0,0.011843,11776.0,25,
2016-12-22,39193.911707,40,8203160.0,0.012046,10742.0,36,
2016-12-23,24203.939616,16,8186950.0,0.012022,7827.0,18,
2016-12-24,1898.91620034,5,8152630.0,0.011971,4192.0,5,
2016-12-25,5005.0286274,14,7173540.0,0.010534,9295.0,11,
2016-12-26,7771.72960797,12,7805250.0,0.011461,7226.0,14,
2016-12-27,12486.6342852,50,7656310.0,0.011243,9281.0,25,
2016-12-28,51004.9098027,41,7897730.0,0.011597,9808.0,29,
2016-12-29,20419.6052953,29,7258130.0,0.010658,7877.0,22,
2016-12-30,42841.8496131,46,7281140.0,0.010692,16833.0,22,
2016-12-31,12941.6657546,26,6997030.0,0.010275,11473.0,21,
2017-01-01,61204.6246008,34,6628520.0,0.009733,22571.0,24,
2017-01-02,43423.2953638,23,6721990.0,0.009871,5705.0,22,
2017-01-03,41515.8041371,52,6716870.0,0.009863,19084.0,36,
