date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses
2016-10-03,null,null,0.0,0.146632,6347.0,null,
2016-10-04,null,null,0.0,0.183616,19235.0,null,
2016-10-05,null,null,0.0,0.338671,16673.0,null,
2016-10-06,null,null,0.0,0.535299,9085.0,null,
2016-10-07,null,null,0.0,0.4227,13930.0,null,
2016-10-08,null,null,0.0,0.444486,7463.0,null,
2016-10-09,null,null,0.0,0.34364,18183.0,null,
2016-10-10,null,null,0.0,0.367009,7499.0,null,
2016-10-11,null,null,0.0,0.278657,11722.0,null,
2016-10-12,null,null,0.0,0.2211,8531.0,null,
2016-10-13,null,null,0.0,0.241055,7915.0,null,
2016-10-14,null,null,0.0,0.312134,5073.0,null,
2016-10-15,null,null,0.0,0.233744,6558.0,null,
2016-10-16,null,null,0.0,0.223679,6571.0,null,
2016-10-17,null,null,0.0,0.275975,5968.0,null,
2016-10-18,null,null,0.0,0.188626,7846.0,null,
2016-10-19,null,null,0.0,0.185059,6795.0,null,
2016-10-20,null,null,0.0,0.181,4673.0,null,
2016-10-21,null,null,0.0,0.207384,3356.0,null,
2016-10-22,null,null,0.0,0.220933,6967.0,null,
2016-10-23,null,null,0.0,0.157829,2936.0,null,
2016-10-24,26943600.0,1,0.0,0.269436,6430.0,2,
2016-10-25,1412310.12942,570,0.0,0.454531,92887.0,617,
2016-10-26,224708.185985,363,16035500.0,0.184316,209377.0,370,
2016-10-27,147746.813495,299,14711200.0,0.169094,172953.0,301,
2016-10-28,74400.0715148,290,11972900.0,0.137619,108756.0,320,
2016-10-29,65076.8433185,92,10779000.0,0.123897,97401.0,95,
2016-10-30,75642.4422553,197,9899210.0,0.113784,75031.0,181,
2016-10-31,43079.814605,53,10809000.0,0.124241,70203.0,51,
2016-11-01,46481.1514869,49,10605200.0,0.121899,160741.0,61,
2016-11-02,51078.4252438,56,11897900.0,0.136758,70062.0,58,
2016-11-03,72938.6911533,91,11712700.0,0.134629,66036.0,103,
2016-11-04,13173.2700134,37,10888100.0,0.125151,48361.0,45,
