date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses
2017-09-27,32699755.6549,2681,259508000.0,1.88,13061200.0,2608,
2017-09-28,16101836.5881,1925,241833000.0,1.75,6194970.0,1977,
2017-09-29,9617720.97401,1513,239539000.0,1.74,5894070.0,1528,
2017-09-30,6331471.08786,1018,241157000.0,1.75,2964430.0,1158,
2017-10-01,8310189.04226,2007,245657000.0,1.78,9558870.0,2149,
2017-10-02,17260746.5128,1202,297983000.0,2.16,5359390.0,1290,
2017-10-03,4793310.43422,905,260007000.0,1.88,4315990.0,1032,
2017-10-04,3939176.9024,754,239513000.0,1.74,2997490.0,910,
2017-10-05,3791076.38471,583,233811000.0,1.69,2388130.0,701,
2017-10-06,3639923.34343,727,236075000.0,1.71,3614010.0,818,
2017-10-07,6274457.01001,1126,232691000.0,1.69,3343770.0,1311,
2017-10-08,8977645.16578,1802,239711000.0,1.74,3154360.0,2010,
2017-10-09,13345949.8253,1588,205720000.0,1.49,4111030.0,1769,
2017-10-10,6723513.53783,1193,182709000.0,1.32,3865780.0,1322,
2017-10-11,3616740.91548,782,194220000.0,1.41,2490110.0,906,
2017-10-12,7157404.65526,1066,187762000.0,1.36,3191600.0,1091,
2017-10-13,4362452.01719,1135,167655000.0,1.21,3801870.0,1240,
2017-10-14,3119404.10604,762,156511000.0,1.13,1665910.0,847,
2017-10-15,2758404.28225,562,165467000.0,1.2,1581870.0,688,
2017-10-16,847892.007553,407,156550000.0,1.13,1708690.0,490,
2017-10-17,2056135.9185,525,155015000.0,1.12,1584850.0,660,
2017-10-18,2312371.45905,590,145975000.0,1.09,2117500.0,664,
2017-10-19,14501882.0797,2043,157638000.0,1.18,1718040.0,2062,
2017-10-20,7357353.34292,581,147755000.0,1.1,1750820.0,671,
2017-10-21,939950.262012,428,139223000.0,1.04,1222700.0,503,
2017-10-22,1051575.68937,416,138967000.0,1.04,1008560.0,447,
2017-10-23,2322989.05219,724,137817000.0,1.03,1818730.0,782,
2017-10-24,1099891.68206,615,128594000.0,0.958708,2674010.0,663,
2017-10-25,1333727.56707,591,143240000.0,1.07,1806630.0,586,
2017-10-26,725978.172921,382,145662000.0,1.09,1273230.0,421,
2017-10-27,2581323.13048,473,140364000.0,1.05,1480770.0,505,
2017-10-28,3405723.38991,374,135186000.0,1.01,1458920.0,434,
2017-10-29,1434588.73612,352,126111000.0,0.940198,1598860.0,413,
2017-10-30,1160898.11071,504,130229000.0,0.970894,1764840.0,571,
2017-10-31,1337354.7485,552,132250000.0,0.985966,1840830.0,598,
2017-11-01,4204398.33586,1187,127320000.0,0.949209,4692730.0,1114,
2017-11-02,2021713.33287,930,130950000.0,0.976271,2677130.0,896,
2017-11-03,1798190.23385,678,128011000.0,0.954365,3303530.0,570,
2017-11-04,1671612.51261,461,133000000.0,0.991559,2074870.0,409,
2017-11-05,732401.025177,395,140524000.0,1.05,1471530.0,409,
2017-11-06,701232.254333,371,132394000.0,0.987037,1641020.0,415,
2017-11-07,1650840.6426,440,131068000.0,0.977155,1827370.0,442,
2017-11-08,1206989.44831,551,136394000.0,1.02,3162230.0,561,
2017-11-09,3757732.00344,818,145512000.0,1.08,3713980.0,756,
2017-11-10,3073346.28555,941,156232000.0,1.16,4331320.0,884,
2017-11-11,1925251.79397,798,158005000.0,1.18,3341260.0,717,
2017-11-12,2862081.40372,597,154734000.0,1.15,4044360.0,573,
2017-11-13,3802305.33267,553,138259000.0,1.03,2533900.0,580,
2017-11-14,1046859.26757,480,147259000.0,1.1,2103320.0,525,
2017-11-15,1288506.44478,399,146985000.0,1.1,2040950.0,481,
2017-11-16,1259592.91259,470,142054000.0,1.06,2711870.0,510,
2017-11-17,1187733.54658,400,146901000.0,1.1,2472740.0,423,
2017-11-18,1045848.357,326,143704000.0,1.07,2322650.0,379,
2017-11-19,2231246.152,320,149694000.0,1.12,1865000.0,392,
2017-11-20,2352703.98579,450,148571000.0,1.11,2329790.0,476,
2017-11-21,5212446.22861,441,146934000.0,1.1,2273720.0,480,
2017-11-22,1291493.10995,474,144697000.0,1.08,2462030.0,524,
2017-11-23,2610804.87926,598,149478000.0,1.11,3389830.0,603,
2017-11-24,1632599.78954,515,147208000.0,1.1,3881350.0,522,
2017-11-25,1444522.86232,499,147403000.0,1.1,4326530.0,539,
2017-11-26,3731415.79383,903,150965000.0,1.13,8519500.0,798,
2017-11-27,4467760.86805,677,180129000.0,1.34,7203350.0,742,
2017-11-28,1831615.21855,649,167139000.0,1.25,6956870.0,672,
2017-11-29,3970087.43545,814,160282000.0,1.19,7987200.0,697,
2017-11-30,5195958.17315,648,141810000.0,1.06,6932710.0,615,
2017-12-01,1017527.93111,370,146004000.0,1.09,5718590.0,381,
2017-12-02,1855254.62827,377,147882000.0,1.1,6350120.0,434,
2017-12-03,7242419.36476,1112,146838000.0,1.09,14703900.0,959,
2017-12-04,4155852.75733,687,155822000.0,1.16,17105500.0,553,
2017-12-05,2618218.43305,578,173080000.0,1.29,21937700.0,617,
2017-12-06,2669265.88611,398,204563000.0,1.53,18240500.0,413,
2017-12-07,10760212.2421,824,202709000.0,1.51,17081800.0,844,
2017-12-08,5006439.08179,2005,174622000.0,1.3,15028900.0,1975,
2017-12-09,27683522.3299,1768,179294000.0,1.34,11555400.0,1785,
2017-12-10,9452946.70098,2062,176624000.0,1.32,11857300.0,2091,
2017-12-11,1983588.67267,550,162714000.0,1.21,12061600.0,606,
2017-12-12,17062737.4405,700,172363000.0,1.29,12071700.0,599,
2017-12-13,8841250.56153,778,176673000.0,1.32,10077300.0,619,
2017-12-14,20545567.834,1252,173331000.0,1.29,20394800.0,1012,
2017-12-15,6498154.72813,981,223367000.0,1.67,12895600.0,808,
2017-12-16,26468996.7253,2448,213736000.0,1.59,11477300.0,2253,
2017-12-17,6338650.6907,1518,232920000.0,1.74,24405200.0,1329,
2017-12-18,13726721.5043,1594,307787000.0,2.29,28833800.0,1157,
2017-12-19,12701773.0341,1409,388760000.0,2.9,25007500.0,1174,
2017-12-20,5948079.71904,893,370458000.0,2.76,17779200.0,750,
2017-12-21,8101441.451,1076,349610000.0,2.61,16736300.0,964,
2017-12-22,5816454.42091,947,342930000.0,2.56,13412200.0,792,
2017-12-23,4948528.64758,819,284090000.0,2.12,11332800.0,756,
2017-12-24,5476587.52801,645,302230000.0,2.25,11938200.0,523,
2017-12-25,4150918.59544,752,318226000.0,2.37,12568500.0,583,
2017-12-26,4787195.91753,644,323811000.0,2.41,12686800.0,622,
2017-12-27,4349166.69171,585,338676000.0,2.52,10329300.0,589,
2017-12-28,5483790.56733,548,321090000.0,2.39,11990700.0,477,
2017-12-29,4068448.83898,551,326988000.0,2.44,10801600.0,566,
2017-12-30,3570186.04952,529,334477000.0,2.49,10866200.0,508,
2017-12-31,3988681.23563,650,298681000.0,2.23,14615300.0,493,
2018-01-01,8483671.75694,1073,351759000.0,2.62,22476900.0,758,
2018-01-02,10995611.8122,1227,412475000.0,3.08,27472100.0,938,
2018-01-03,6254135.51283,834,458889000.0,3.42,24648600.0,717,
2018-01-04,8483674.94071,841,481817000.0,3.59,23788600.0,745,
2018-01-05,9787013.99377,1046,450247000.0,3.36,31078100.0,759,
2018-01-06,23624857.5554,1411,425567000.0,3.17,34950900.0,1192,
2018-01-07,19803701.0409,1766,532028000.0,3.97,61758700.0,1661,
2018-01-08,23261905.0925,987,681871000.0,5.08,41314100.0,904,
2018-01-09,9615821.8778,917,646479000.0,4.82,37437600.0,865,
2018-01-10,10203728.0849,820,762549000.0,5.69,26237500.0,795,
2018-01-11,11543124.4461,723,693617000.0,5.17,20044800.0,710,
2018-01-12,5657922.09937,714,562806000.0,4.2,22352600.0,736,
2018-01-13,5832184.44877,602,620675000.0,4.63,25910900.0,671,
2018-01-14,3069826.0776,541,603921000.0,4.5,20195300.0,633,
2018-01-15,6419410.66971,714,559132000.0,4.17,34848700.0,682,
2018-01-16,11001599.5593,801,622180000.0,4.64,25537400.0,794,
2018-01-17,8194594.24241,753,458356000.0,3.42,21311900.0,718,
2018-01-18,7920411.52854,663,431197000.0,3.21,25672400.0,676,
2018-01-19,7595587.91312,730,432118000.0,3.22,55232300.0,719,
2018-01-20,8005496.81695,839,543672000.0,4.05,36904700.0,756,
2018-01-21,16630971.4257,674,595237000.0,4.44,43106800.0,618,
2018-01-22,21331955.0543,578,492218000.0,3.67,39804000.0,540,
2018-01-23,6241115.37358,475,464485000.0,3.46,34745900.0,445,
2018-01-24,6610818.77169,513,452869000.0,3.38,37875300.0,477,
2018-01-25,3594465.03651,533,457994000.0,3.41,43859700.0,477,
2018-01-26,8935284.06763,616,454976000.0,3.39,25988700.0,579,
2018-01-27,4736226.00657,571,504560000.0,3.76,14706400.0,504,
2018-01-28,2876841.40729,450,509491000.0,3.8,19506000.0,479,
2018-01-29,5741818.28215,693,526492000.0,3.93,28884900.0,590,
2018-01-30,6875053.2539,624,531263000.0,3.96,18877600.0,475,
2018-01-31,7359864.39802,634,491458000.0,3.66,24615000.0,582,
2018-02-01,15268917.8541,1410,549124000.0,4.09,16993000.0,1354,
2018-02-02,4812728.84559,581,474310000.0,3.54,12133700.0,499,
2018-02-03,1704908.95916,679,460091000.0,3.43,8116920.0,646,
2018-02-04,6961860.45004,492,521605000.0,3.89,11530400.0,419,
2018-02-05,4371702.7921,504,443875000.0,3.31,7429440.0,431,
2018-02-06,5267986.75289,510,345984000.0,2.58,11161400.0,443,
2018-02-07,8338242.54378,461,410367000.0,3.06,6382420.0,413,
2018-02-08,1729805.88006,177,375791000.0,2.8,6316880.0,220,
2018-02-09,4590815.76639,446,416052000.0,3.1,3555750.0,402,
2018-02-10,4770138.30107,659,450627000.0,3.36,10380200.0,579,
2018-02-11,7815003.17814,668,429807000.0,3.2,10079100.0,578,
2018-02-12,11646006.6058,532,377801000.0,2.82,10051900.0,437,
2018-02-13,8612932.30757,424,377790000.0,2.82,11222400.0,367,
2018-02-14,5878447.43743,406,353425000.0,2.63,9502420.0,345,
2018-02-15,4954812.87375,513,361966000.0,2.7,10666700.0,378,
2018-02-16,12131474.4579,328,367724000.0,2.74,6878010.0,305,
2018-02-17,3406847.45997,284,392882000.0,2.93,6526550.0,289,
2018-02-18,1745624.83734,525,391987000.0,2.92,5362450.0,526,
2018-02-19,3653127.65118,342,344490000.0,2.57,4760120.0,332,
2018-02-20,4868363.64664,519,347377000.0,2.59,6848230.0,426,
2018-02-21,1957900.83956,401,305871000.0,2.28,7569490.0,365,
2018-02-22,1027910.0708,318,291399000.0,2.17,4092330.0,326,
2018-02-23,1039441.48084,280,278768000.0,2.08,3038190.0,282,
2018-02-24,1542298.38064,325,286018000.0,2.13,3204390.0,291,
2018-02-25,1506487.1256,259,265833000.0,1.98,2605200.0,254,
2018-02-26,2045022.2399,337,261901000.0,1.95,2570910.0,355,
2018-02-27,1453777.01264,319,270244000.0,2.01,3529410.0,293,
2018-02-28,1806195.80432,349,266567000.0,1.99,3686690.0,357,
2018-03-01,837194.757144,260,231807000.0,1.73,3383640.0,277,
2018-03-02,2613382.93683,258,253003000.0,1.89,5090810.0,278,
2018-03-03,1354402.99186,286,243173000.0,1.81,5753160.0,273,
2018-03-04,1622310.14736,259,243609000.0,1.82,5308880.0,255,
