date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2016-04-09,null,null,0.0,4.06,272260.0,null,null,
2016-04-10,null,null,0.0,2.44,242123.0,null,null,
2016-04-11,null,null,0.0,1.37,163666.0,null,null,
2016-04-12,null,null,0.0,3.14,117448.0,null,null,
2016-04-13,null,null,0.0,1.29,85572.0,null,null,
2016-04-14,null,null,0.0,1.0,114725.0,null,null,
2016-04-15,null,null,0.0,1.19,98647.0,null,null,
2016-04-16,null,null,0.0,1.2,57511.0,null,null,
2016-04-17,null,null,0.0,1.23,36480.0,null,null,
2016-04-18,null,null,0.0,1.66,48480.0,null,null,
2016-04-19,null,null,0.0,1.02,26391.0,null,null,
2016-04-20,null,null,0.0,1.85,64546.0,null,null,
2016-04-21,null,null,0.0,1.33,46650.0,null,null,
2016-04-22,null,null,0.0,1.65,38998.0,null,null,
2016-04-23,null,null,0.0,1.82,182681.0,null,null,
2016-04-24,null,null,0.0,1.27,54516.0,null,null,
2016-04-25,null,null,0.0,1.42,30326.0,null,null,
2016-04-26,null,null,0.0,0.773862,16705.0,null,null,
2016-04-27,null,null,0.0,0.729496,14913.0,null,null,
2016-04-28,null,null,0.0,0.623713,6142.0,null,null,
2016-04-29,null,null,0.0,0.739369,14024.0,null,null,
2016-04-30,null,null,0.0,0.765952,66785.0,null,null,
2016-05-01,null,null,0.0,1.27,19716.0,null,null,
2016-05-02,null,null,0.0,0.708871,38309.0,null,null,
2016-05-03,null,null,0.0,1.18,26812.0,null,null,
2016-05-04,null,null,0.0,0.725092,51102.0,null,null,
2016-05-05,null,null,0.0,1.52,34428.0,null,null,
2016-05-06,null,null,0.0,1.42,15278.0,null,null,
2016-05-07,null,null,0.0,0.814081,13246.0,null,null,
2016-05-08,null,null,0.0,0.696016,13948.0,null,null,
2016-05-09,null,null,0.0,0.789914,10017.0,null,null,
2016-05-10,null,null,0.0,0.761222,10911.0,null,null,
2016-05-11,null,null,0.0,0.833497,34101.0,null,null,
2016-05-12,null,null,0.0,1.22,10514.0,null,null,
2016-05-13,null,null,0.0,0.816821,12820.0,null,null,
2016-05-14,null,null,0.0,0.788885,10083.0,null,null,
2016-05-15,null,null,0.0,0.824801,9419.0,null,null,
2016-05-16,null,null,0.0,0.829427,6305.0,null,null,
2016-05-17,null,null,0.0,0.784002,12167.0,null,null,
2016-05-18,null,null,0.0,0.750652,50865.0,null,null,
2016-05-19,null,null,0.0,1.89,46746.0,null,null,
2016-05-20,null,null,0.0,1.42,57689.0,null,null,
2016-05-21,null,null,0.0,3.41,66490.0,null,null,
2016-05-22,null,null,0.0,4.08,105457.0,null,null,
2016-05-23,null,null,0.0,2.74,108656.0,null,null,
2016-05-24,307849430.095,8828,0.0,2.96,439909.0,null,2225.2,
2016-05-25,34184946.7753,11378,0.0,0.6213,7311180.0,null,7514.7,
2016-05-26,10093159.7771,5036,26966400.0,0.269664,13981800.0,null,2550.8,
2016-05-27,7614302.61926,3400,51949300.0,0.519493,13013200.0,null,1715.6,
2016-05-28,3276428.43653,2023,38812800.0,0.388128,7676530.0,null,1496.6,
2016-05-29,727113.430588,1281,35364200.0,0.353642,4810200.0,null,723.5,
2016-05-30,1843211.79317,2753,38014900.0,0.380149,2470160.0,null,1482.5,
2016-05-31,1432609.41076,1201,35014000.0,0.35014,3073130.0,null,710.5,
2016-06-01,1352197.24071,831,31452000.0,0.31452,2112400.0,null,419.7,
2016-06-02,553761.476258,675,33635100.0,0.336351,1258510.0,null,510.5,
2016-06-03,632548.273696,871,33061700.0,0.330617,3187760.0,null,273.6,
2016-06-04,1087126.91338,1056,41022000.0,0.41022,3251570.0,null,320.6,
2016-06-05,2185503.73698,1317,44641800.0,0.446418,4247850.0,null,361.6,
2016-06-06,1338480.61152,1845,48204200.0,0.482042,2878930.0,null,393.7,
2016-06-07,1125178.41399,710,45222800.0,0.452228,2277500.0,null,314.4,
2016-06-08,486515.207941,709,41946600.0,0.419466,2980240.0,null,339.6,
2016-06-09,1374497.2518,670,47378100.0,0.473781,1844730.0,null,894.8,
2016-06-10,534797.225596,581,46116000.0,0.46116,1426460.0,null,324.1,
2016-06-11,597632.214819,486,45748600.0,0.457486,1298720.0,null,225.1,
2016-06-12,1518343.66729,1095,45331700.0,0.453317,4868900.0,null,185.6,
2016-06-13,1221565.05107,832,42390700.0,0.423907,3322740.0,null,183.7,
2016-06-14,613220.940453,542,46595900.0,0.465959,2677630.0,null,200.0,
2016-06-15,392966.028308,347,47022800.0,0.470228,1291530.0,null,70.5,
2016-06-16,587356.436033,591,46338900.0,0.463389,2348370.0,null,115.8,
2016-06-17,1260743.66744,556,45580900.0,0.455809,4509350.0,null,131.3,
2016-06-18,591970.642358,505,43518500.0,0.435185,2777730.0,null,124.4,
2016-06-19,559327.756131,1142,34812400.0,0.348124,1392140.0,null,331.4,
2016-06-20,406834.520188,632,36343200.0,0.363432,1692310.0,null,216.8,
2016-06-21,600673.569372,645,32308100.0,0.323081,1779370.0,null,134.5,
2016-06-22,595107.2633,731,32858800.0,0.328588,3608690.0,null,233.8,
2016-06-23,525259.735619,580,34807100.0,0.348071,1644910.0,null,92.3,
2016-06-24,562604.298741,583,36148300.0,0.361483,2135610.0,null,190.5,
2016-06-25,500360.184205,631,37901400.0,0.379014,1435150.0,null,125.0,
2016-06-26,337554.998586,662,35712500.0,0.357125,750518.0,null,188.1,
2016-06-27,325721.643046,412,32318400.0,0.323184,973053.0,null,189.8,
2016-06-28,761915.876417,663,30889400.0,0.308894,1291760.0,null,104.6,
2016-06-29,199221.118612,372,28818900.0,0.288189,822309.0,null,159.6,
2016-06-30,145439.694451,376,30306500.0,0.303065,1019150.0,null,97.7,
2016-07-01,159570.995824,366,30741700.0,0.307417,564870.0,null,113.2,
2016-07-02,227663.660203,233,32661000.0,0.32661,570125.0,null,26.9,
2016-07-03,104230.929566,264,31110000.0,0.3111,407208.0,null,66.1,
2016-07-04,194153.543609,307,30273100.0,0.302731,419023.0,null,142.5,
2016-07-05,254942.731074,517,30543000.0,0.30543,1223650.0,null,149.3,
2016-07-06,139334.138979,403,28943300.0,0.289433,714117.0,null,70.6,
2016-07-07,119245.925028,248,28682100.0,0.286821,578750.0,null,30.6,
