date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses
2017-07-12,3771333.19183,108,69412900.0,3.29,43670400.0,109,
2017-07-13,651012.54169,72,76986000.0,3.65,8436170.0,66,
2017-07-14,912607.594048,51,68606200.0,3.25,13049400.0,53,
2017-07-15,2055548.0578,38,54742200.0,2.6,1652160.0,38,
2017-07-16,1102233.81562,31,50996900.0,2.42,498244.0,28,
2017-07-17,417654.150155,55,44767000.0,2.12,1740580.0,51,
2017-07-18,672092.237176,55,72094900.0,3.42,1624240.0,59,
2017-07-19,1294162.13023,42,70197800.0,3.33,1582240.0,36,
2017-07-20,912200.136172,58,68143700.0,3.23,1406890.0,56,
2017-07-21,490817.886095,48,87194700.0,4.13,962166.0,44,
2017-07-22,763444.848826,50,79420100.0,3.77,640571.0,46,
2017-07-23,401973.754585,32,85345900.0,4.05,526299.0,39,
2017-07-24,338458.739727,38,87805600.0,4.16,1170890.0,40,
2017-07-25,210823984.204,104,93426500.0,4.43,2000850.0,68,
2017-07-26,6084481.61947,93,87151500.0,4.13,688758.0,65,
2017-07-27,382392.100243,70,92882400.0,4.4,747201.0,67,
2017-07-28,232453.991687,73,86946400.0,4.12,727796.0,54,
2017-07-29,1879538.01367,72,74501100.0,3.53,773633.0,58,
2017-07-30,2420908.62429,44,81928000.0,3.88,1298790.0,37,
2017-07-31,2127428.6554,60,75797800.0,3.59,688906.0,52,
2017-08-01,306998.457358,36,69606500.0,3.61,1069850.0,37,
2017-08-02,302354.984572,47,74969500.0,3.88,680319.0,49,
2017-08-03,96965.2787171,35,69212200.0,3.59,396523.0,30,
2017-08-04,127236.637631,73,74284300.0,3.85,577748.0,47,
2017-08-05,424803.178732,78,78515700.0,4.07,885587.0,63,
2017-08-06,550663.225504,98,80316300.0,4.16,884380.0,74,
2017-08-07,290305.751975,98,88359400.0,4.58,1179490.0,88,
2017-08-08,2466111.34274,83,98197400.0,5.09,626820.0,86,
2017-08-09,392618.744576,51,95420200.0,4.94,494339.0,59,
2017-08-10,282566.329291,90,89652700.0,4.64,1699690.0,98,
2017-08-11,4420041.93332,143,110165000.0,5.71,8651990.0,154,
2017-08-12,1504712.12738,140,145059000.0,7.52,6038650.0,126,
2017-08-13,1274519.75773,94,176352000.0,9.14,3063580.0,93,
2017-08-14,1382045.20289,107,180512000.0,9.35,2895710.0,103,
2017-08-15,1466019.63883,71,152943000.0,7.92,1793580.0,68,
2017-08-16,715059.229006,105,138561000.0,7.18,1803970.0,94,
2017-08-17,1445663.20552,164,182980000.0,9.48,8980110.0,163,
2017-08-18,1191324.08489,136,193617000.0,10.03,4491210.0,126,
2017-08-19,5209199.90791,138,204918000.0,10.62,8207440.0,139,
2017-08-20,1104712.3235,81,193000000.0,10.0,2761560.0,88,
2017-08-21,798571.981187,115,178276000.0,9.24,2593030.0,111,
2017-08-22,347393.207057,106,177582000.0,9.2,1520480.0,90,
2017-08-23,10042614.1318,151,188610000.0,9.77,1220680.0,142,
2017-08-24,3120450.16784,116,173997000.0,9.01,1562100.0,91,
2017-08-25,510305.173601,167,194377000.0,10.07,961836.0,128,
2017-08-26,787859.932276,144,185811000.0,9.63,1025560.0,128,
2017-08-27,1049410.76619,127,196114000.0,10.16,1262120.0,107,
2017-08-28,1976093.88276,148,191810000.0,9.94,1806910.0,140,
2017-08-29,286890.886355,152,182712000.0,9.47,2137900.0,138,
2017-08-30,359885.261222,174,182778000.0,9.47,1099310.0,148,
2017-08-31,502465.554824,153,182222000.0,9.44,1511690.0,149,
2017-09-01,2534277.42137,286,184762000.0,9.57,11796600.0,258,
2017-09-02,952748.693432,156,255678000.0,13.25,7753150.0,144,
