date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses
2017-06-30,null,null,0.0,42.68,50486.0,null,
2017-07-01,null,null,0.0,39.41,47037.0,null,
2017-07-02,null,null,0.0,32.4,23087.0,null,
2017-07-03,null,null,0.0,28.13,54180.0,null,
2017-07-04,null,null,0.0,43.95,54173.0,null,
2017-07-05,null,null,0.0,53.52,81559.0,null,
2017-07-06,null,null,0.0,63.43,57748.0,null,
2017-07-07,3673699036.03,4326,0.0,73.06,17115200.0,4041,
2017-07-08,27612490.2895,4507,0.0,1.11,9172650.0,3531,
2017-07-09,14861344.6899,2867,116174000.0,1.11,5116090.0,2365,
2017-07-10,8560449.94274,2279,94454100.0,0.902474,4091090.0,1936,
2017-07-11,3962031.65676,1409,73249300.0,0.69987,2728010.0,1211,
2017-07-12,1385159.02383,1060,69341900.0,0.662536,2263570.0,918,
2017-07-13,1654508.86008,947,83731800.0,0.800027,1315660.0,887,
2017-07-14,1839936.7872,1213,75295900.0,0.719424,888570.0,989,
2017-07-15,1454449.18955,745,70683000.0,0.67535,658322.0,692,
2017-07-16,2675775.49091,1319,62658900.0,0.598683,762642.0,995,
2017-07-17,2311573.94836,1282,59503200.0,0.568531,1064690.0,995,
2017-07-18,4030644.50561,908,74222900.0,0.709172,1299010.0,741,
2017-07-19,1910767.10222,711,74153500.0,0.70851,892973.0,605,
2017-07-20,1803390.09725,624,65549400.0,0.6263,1104700.0,532,
2017-07-21,1157760.80607,621,73710400.0,0.704276,941278.0,564,
2017-07-22,986753.643038,579,70178600.0,0.67053,1105650.0,563,
2017-07-23,1913855.11159,946,85817500.0,0.819955,1372810.0,714,
2017-07-24,8269216.64374,2027,94555000.0,0.903438,6187510.0,1629,
2017-07-25,2604422.48172,1057,111822000.0,1.07,3183140.0,866,
2017-07-26,1153704.78696,700,89010600.0,0.850463,1773700.0,591,
2017-07-27,4991248.84162,652,102011000.0,0.974673,1375970.0,596,
2017-07-28,1379539.69737,573,101797000.0,0.972636,1532520.0,499,
2017-07-29,1097004.59536,485,93914000.0,0.897314,821267.0,435,
2017-07-30,1079388.73708,549,97233700.0,0.929032,761095.0,451,
2017-07-31,2780011.93478,443,93312800.0,0.891569,927682.0,419,
2017-08-01,867827.980818,418,92762600.0,0.886312,1974540.0,387,
2017-08-02,1212787.87466,526,98720100.0,0.943234,1214640.0,499,
2017-08-03,1621607.6866,744,96805500.0,0.92494,2287810.0,623,
2017-08-04,3760855.65953,1540,105903000.0,1.01,6686840.0,1170,
2017-08-05,17841830.6773,5620,131122000.0,1.25,20158400.0,3371,
