date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses
2017-07-14,13687335.9888,829,18249733.3333,4.07333333333,3128790.0,1004,
2017-07-15,4404285.61684,674,36499466.6667,2.77666666667,2627570.0,901,
2017-07-16,4155591.18603,618,54749200.0,1.48,2126350.0,831,
2017-07-17,1242026.30958,635,50957100.0,1.38,1840040.0,927,
2017-07-18,2407907.57703,529,93480300.0,2.53,2329580.0,696,
2017-07-19,1049136.8455,312,90603800.0,2.45,1044880.0,458,
2017-07-20,1048572.97642,218,73135200.0,1.98,505556.0,329,
2017-07-21,1026151.7192,187,88296300.0,2.39,661561.0,275,
2017-07-22,744767.457544,230,88377300.0,2.39,358007.0,342,
2017-07-23,950836.28852,287,99200600.0,2.68,437422.0,378,
2017-07-24,1662622.70577,318,95541800.0,2.58,991648.0,444,
2017-07-25,757796.702579,241,90408600.0,2.44,434991.0,323,
2017-07-26,1075054.11446,277,82283000.0,2.22,533922.0,403,
2017-07-27,1296113.58818,296,84935200.0,2.3,619044.0,417,
2017-07-28,1193720.2878,305,94175700.0,2.55,993253.0,430,
2017-07-29,1333523.02537,397,95974800.0,2.59,945852.0,550,
2017-07-30,934639.747069,278,105025000.0,2.84,507801.0,399,
2017-07-31,1157644.32132,340,103787000.0,2.8,964834.0,479,
2017-08-01,4445171.39341,267,121197000.0,3.28,811061.0,402,
2017-08-02,1435661.70817,256,134685000.0,3.64,492153.0,384,
2017-08-03,407755.038682,234,125461000.0,3.39,503479.0,330,
2017-08-04,1182874.00177,324,134691000.0,3.64,1064530.0,422,
2017-08-05,1337814.98509,281,146422000.0,3.96,641941.0,430,
2017-08-06,1909953.1726,242,152277000.0,4.12,450571.0,364,
2017-08-07,1176469.26749,380,170601000.0,4.61,1441870.0,573,
2017-08-08,2662597.88742,464,224461000.0,6.07,2002390.0,640,
2017-08-09,1243419.63823,363,201249000.0,5.44,782146.0,504,
2017-08-10,1714323.6258,303,219131000.0,5.92,979250.0,429,
2017-08-11,1609246.16571,317,237195000.0,6.41,959727.0,470,
2017-08-12,1724971.3841,323,226329000.0,6.12,894071.0,459,
2017-08-13,1302175.21718,243,223379000.0,6.04,516448.0,364,
2017-08-14,2107099.61189,252,203710000.0,5.51,924743.0,400,
2017-08-15,971943.928485,212,193088000.0,5.22,590298.0,329,
2017-08-16,1758233.40036,207,194545000.0,4.72,735244.0,298,
2017-08-17,926065.311229,300,198516000.0,4.81,649644.0,450,
2017-08-18,1012644.99752,242,229191000.0,5.56,702786.0,381,
2017-08-19,1215052.7506,221,221282000.0,5.36,585845.0,357,
2017-08-20,1712500.62385,204,198526000.0,4.81,335168.0,276,
2017-08-21,1297535.9289,235,186176000.0,4.51,658417.0,349,
2017-08-22,774135.604496,197,173102000.0,4.2,415849.0,306,
2017-08-23,1858565.71018,221,159223000.0,3.86,415283.0,352,
2017-08-24,920083.420895,333,145764000.0,3.53,758569.0,481,
2017-08-25,597153.31438,205,183102000.0,4.44,430544.0,295,
2017-08-26,1352361.44548,193,182445000.0,4.42,454791.0,296,
2017-08-27,822109.929947,198,157311000.0,3.81,353973.0,312,
2017-08-28,634344.475866,212,161006000.0,3.9,449384.0,300,
2017-08-29,641663.756432,165,159088000.0,3.86,398299.0,253,
2017-08-30,1001486.11637,222,160273000.0,3.89,531823.0,352,
2017-08-31,429720.699133,163,159248000.0,3.86,337862.0,260,
2017-09-01,4666519.1229,375,150097000.0,3.64,1464360.0,551,
2017-09-02,1263778.29216,295,167942000.0,4.07,763729.0,446,
2017-09-03,1076801.7926,225,154886000.0,3.75,565324.0,328,
2017-09-04,729717.18547,198,160112000.0,3.88,476314.0,324,
2017-09-05,569868.291852,184,149649000.0,3.63,364357.0,294,
2017-09-06,909840.995407,164,162184000.0,3.93,410924.0,256,
2017-09-07,1258359.9024,195,171906000.0,4.17,403291.0,298,
2017-09-08,1275181.2972,306,162023000.0,3.93,370638.0,417,
2017-09-09,757950.894376,224,138438000.0,3.36,454427.0,328,
2017-09-10,624474.175966,195,151029000.0,3.66,252076.0,275,
2017-09-11,731897.668233,249,144795000.0,3.51,374879.0,361,
2017-09-12,1076261.66854,233,135082000.0,3.27,505448.0,325,
2017-09-13,518889.497611,162,133103000.0,3.23,391322.0,247,
2017-09-14,372630.630913,179,135399000.0,3.28,295268.0,258,
2017-09-15,579239.474252,174,109206000.0,2.65,337136.0,266,
2017-09-16,742140.103534,197,124006000.0,3.01,451852.0,306,
2017-09-17,749123.577302,145,114908000.0,2.79,404752.0,225,
2017-09-18,255864.332885,145,119945000.0,2.91,501178.0,219,
2017-09-19,408406.401812,159,137720000.0,3.34,347692.0,226,
2017-09-20,255057.029192,95,120924000.0,2.93,237960.0,140,
2017-09-21,288141.922621,133,121137000.0,2.94,340920.0,198,
2017-09-22,628552.808077,128,101838000.0,2.47,374706.0,204,
2017-09-23,445937.936281,102,106972000.0,2.59,249775.0,177,
2017-09-24,433597.809582,86,117359000.0,2.84,210021.0,138,
2017-09-25,177336.8803,136,101447000.0,2.46,332512.0,177,
2017-09-26,432585.708373,110,106234000.0,2.58,284868.0,174,
2017-09-27,695601.109547,124,112443000.0,2.73,547670.0,202,
2017-09-28,473056.286488,148,101240000.0,2.45,378847.0,217,
2017-09-29,779471.562476,122,101472000.0,2.46,329214.0,197,
2017-09-30,149112.251393,114,94772600.0,2.3,246749.0,173,
2017-10-01,1041752.0695,129,96155200.0,2.33,361877.0,201,
2017-10-02,268015.847453,125,100657000.0,2.44,236482.0,193,
2017-10-03,218232.15387,92,102331000.0,2.48,267138.0,140,
2017-10-04,456377.201198,148,98077000.0,2.38,349275.0,224,
2017-10-05,372824.357467,163,96751900.0,2.35,333960.0,253,
2017-10-06,487062.254838,155,116669000.0,2.83,336478.0,213,
2017-10-07,386162.089087,167,112867000.0,2.74,270384.0,228,
2017-10-08,219699.848698,161,101938000.0,2.47,224135.0,264,
2017-10-09,505096.741037,149,105866000.0,2.57,292696.0,224,
2017-10-10,421657.674937,158,111928000.0,2.71,400775.0,246,
2017-10-11,417296.944544,99,127721000.0,3.1,269182.0,153,
2017-10-12,712531.309467,125,129079000.0,3.13,317744.0,190,
2017-10-13,178028.613942,93,129429000.0,3.14,265395.0,138,
2017-10-14,223834.628197,126,128523000.0,3.12,265240.0,190,
2017-10-15,180428.119723,102,128709000.0,3.12,208582.0,143,
2017-10-16,357739.765396,153,138715000.0,3.36,320896.0,239,
2017-10-17,369759.461999,113,133715000.0,3.24,323482.0,154,
2017-10-18,577134.235052,117,125730000.0,3.05,316907.0,186,
2017-10-19,183174.369668,126,130250000.0,3.16,271031.0,200,
2017-10-20,199455.480051,114,130887000.0,3.17,339280.0,175,
2017-10-21,105628.722634,106,123901000.0,3.0,256507.0,173,
2017-10-22,1115622.80987,144,125973000.0,3.05,284913.0,223,
2017-10-23,248358.251515,119,117522000.0,2.85,267616.0,179,
2017-10-24,263007.181191,191,128527000.0,3.12,330053.0,256,
2017-10-25,210594.134989,143,134470000.0,3.26,249583.0,213,
2017-10-26,299696.193851,144,168695000.0,4.09,398411.0,200,
2017-10-27,522398.718111,98,148459000.0,3.6,276742.0,155,
2017-10-28,235057.965186,105,155476000.0,3.77,188557.0,168,
2017-10-29,453335.508481,104,139055000.0,3.37,206951.0,152,
2017-10-30,404156.332162,142,137266000.0,3.33,326602.0,195,
2017-10-31,182760.133382,111,144053000.0,3.49,368400.0,177,
2017-11-01,550997.859493,175,156431000.0,3.79,446220.0,264,
2017-11-02,296743.389689,146,151214000.0,3.67,369819.0,217,
2017-11-03,416767.190176,124,137824000.0,3.34,313075.0,168,
2017-11-04,333805.330899,129,150624000.0,3.65,403380.0,192,
2017-11-05,203794.189497,118,156422000.0,3.79,297043.0,197,
2017-11-06,317462.442143,146,154088000.0,3.74,447691.0,216,
2017-11-07,405515.634869,199,169330000.0,4.1,468627.0,272,
2017-11-08,729894.518888,360,175816000.0,4.26,1049200.0,462,
2017-11-09,17262496.3846,406,209452000.0,5.08,1153120.0,544,
2017-11-10,744307.346836,260,264378000.0,6.41,716782.0,375,
2017-11-11,391782.068147,155,253262000.0,6.14,612914.0,261,
2017-11-12,598986.891792,165,260111000.0,6.31,668876.0,243,
2017-11-13,1550484.77272,400,271870000.0,6.59,1563950.0,532,
2017-11-14,2232784.00065,486,351091000.0,8.51,1718440.0,670,
2017-11-15,2461275.85865,400,360301000.0,8.73,1501120.0,545,
2017-11-16,1395687.72402,378,369847000.0,8.97,1364430.0,483,
2017-11-17,1202704.23553,368,381126000.0,9.24,1079540.0,493,
2017-11-18,1056250.77545,351,382610000.0,9.27,1178710.0,465,
2017-11-19,1419274.01572,387,412303000.0,9.99,1100540.0,514,
2017-11-20,1127963.24586,305,383617000.0,9.3,857171.0,400,
2017-11-21,1068650.39954,273,395519000.0,9.59,1034350.0,393,
2017-11-22,2347627.2894,324,419084000.0,10.16,750517.0,449,
2017-11-23,2126462.83761,337,417116000.0,10.11,949760.0,446,
2017-11-24,2002984.26008,239,401994000.0,9.74,872684.0,315,
2017-11-25,2685159.86261,389,474345000.0,11.5,1279630.0,494,
2017-11-26,2031929.31199,349,500173000.0,12.12,1232820.0,441,
2017-11-27,956236.201707,228,477588000.0,11.58,820853.0,330,
2017-11-28,1628643.33729,327,469107000.0,11.37,1157080.0,435,
2017-11-29,1100153.87883,252,452579000.0,10.97,806835.0,388,
2017-11-30,1777459.42545,298,403579000.0,9.78,1076720.0,418,
2017-12-01,3157318.2921,514,422189000.0,10.23,1990580.0,573,
2017-12-02,1833256.69773,328,510085000.0,12.37,1206450.0,428,
2017-12-03,1624665.55629,302,520315000.0,12.61,1282630.0,375,
2017-12-04,944882.742625,205,537515000.0,13.03,936870.0,275,
2017-12-05,1459950.1217,244,562525000.0,13.64,1423440.0,304,
2017-12-06,1905658.32543,265,591354000.0,14.34,2576980.0,320,
2017-12-07,1619218.53278,313,733214000.0,17.77,1732920.0,334,
2017-12-08,8303128.56442,647,738437000.0,17.9,6732410.0,654,
2017-12-09,9052950.10893,653,1083030000.0,26.25,4392460.0,719,
2017-12-10,8678426.01059,858,1184870000.0,28.72,4162280.0,886,
2017-12-11,5862810.65237,576,975244000.0,23.64,4639860.0,669,
2017-12-12,12190815.2763,943,1333690000.0,32.33,9682920.0,953,
2017-12-13,9159486.97989,696,1648910000.0,39.97,3934120.0,750,
2017-12-14,10532226.8114,518,1525380000.0,36.98,4454990.0,610,
2017-12-15,18031075.6437,752,1750970000.0,42.45,5730890.0,794,
2017-12-16,11939045.6624,673,1950700000.0,47.29,5718880.0,751,
2017-12-17,14430672.9907,684,1956400000.0,47.43,4207230.0,793,
2017-12-18,7935195.38974,673,1754800000.0,42.54,3609740.0,735,
2017-12-19,14250579.1022,677,1971900000.0,47.8,4248520.0,736,
2017-12-20,10362187.9457,533,1774450000.0,43.01,3179160.0,642,
2017-12-21,15938446.8016,926,1738950000.0,42.15,3097100.0,1102,
2017-12-22,7474365.56509,748,1533190000.0,37.17,4439270.0,816,
2017-12-23,12897560.1529,773,1302060000.0,35.19,3245200.0,815,
2017-12-24,8752052.46241,468,1364300000.0,36.87,2394820.0,498,
2017-12-25,3753091.16866,336,1368060000.0,36.97,2216610.0,388,
2017-12-26,6789385.17921,478,1516540000.0,40.98,3576820.0,471,
2017-12-27,8130357.4724,591,1431700000.0,38.69,3534810.0,618,
2017-12-28,6080983.21546,500,1347210000.0,36.41,3163370.0,560,
2017-12-29,5609522.65862,526,1320110000.0,35.67,3374230.0,564,
2017-12-30,2659894.12271,433,1435350000.0,38.79,2635550.0,471,
2017-12-31,9710069.47768,447,1338170000.0,36.16,2320920.0,496,
2018-01-01,7801047.67427,391,1537470000.0,41.55,1770540.0,417,
2018-01-02,3708628.42575,407,1538300000.0,41.57,3275410.0,415,
2018-01-03,6470973.04533,410,1667220000.0,45.06,12062500.0,442,
2018-01-04,9222138.67123,463,1926840000.0,52.07,4863890.0,465,
2018-01-05,6099648.8269,336,1697890000.0,45.88,3245770.0,380,
2018-01-06,7595753.49319,433,1547510000.0,41.82,2876040.0,492,
2018-01-07,10304251.3286,632,1574260000.0,42.54,10494700.0,677,
2018-01-08,23025415.3461,626,2030070000.0,54.86,19256500.0,603,
2018-01-09,9624480.44106,395,2140290000.0,57.84,5257620.0,426,
2018-01-10,7215532.82216,390,1972430000.0,53.3,4190550.0,422,
2018-01-11,4863307.61602,379,1955530000.0,52.85,3308110.0,440,
2018-01-12,7518110.87599,373,1797620000.0,48.58,1998500.0,456,
2018-01-13,7590069.97804,338,1852720000.0,50.07,3143950.0,437,
2018-01-14,7334137.94628,333,1880280000.0,50.81,4041320.0,423,
2018-01-15,8082194.55433,298,1775960000.0,47.99,3728310.0,347,
2018-01-16,3153468.08827,330,1700540000.0,45.96,7389190.0,384,
2018-01-17,3599013.90859,361,1399810000.0,37.83,3496210.0,418,
2018-01-18,7324063.17794,418,1506920000.0,40.72,3485680.0,496,
2018-01-19,3929925.87682,428,1580780000.0,42.72,2150410.0,518,
2018-01-20,4566680.42765,354,1584730000.0,42.83,3451100.0,420,
2018-01-21,2868728.1821,338,1842730000.0,49.8,1804750.0,376,
2018-01-22,3834466.35887,324,1652980000.0,44.67,2646180.0,358,
2018-01-23,2672715.74763,329,1560540000.0,42.17,4345440.0,349,
2018-01-24,5397435.80413,442,1753390000.0,47.38,6393180.0,469,
2018-01-25,12248580.8586,293,1819560000.0,49.17,2672480.0,339,
2018-01-26,4306448.95463,390,1820230000.0,49.19,5012380.0,401,
2018-01-27,8324529.10756,535,1973420000.0,53.33,8168590.0,493,
2018-01-28,12983298.4863,925,2307230000.0,62.35,18503900.0,832,
2018-01-29,11715031.1593,562,2757550000.0,74.52,7241240.0,550,
2018-01-30,8957811.04954,477,2553880000.0,69.02,8059110.0,474,
2018-01-31,17962172.1104,667,2494270000.0,67.41,22437500.0,579,
2018-02-01,10890282.1376,440,2610550000.0,70.55,8382490.0,448,
2018-02-02,9924923.45715,456,2333590000.0,63.06,6424200.0,474,
2018-02-03,7972589.18095,431,2010170000.0,54.32,7163180.0,451,
2018-02-04,8684067.93968,385,2184060000.0,59.02,6508120.0,404,
2018-02-05,9533891.22668,469,1716940000.0,46.4,4932840.0,476,
2018-02-06,9971910.17221,844,1344620000.0,36.34,11227000.0,723,
2018-02-07,16982203.7587,530,1459390000.0,39.44,8227980.0,502,
2018-02-08,3329645.46029,357,1220690000.0,32.99,10354100.0,433,
2018-02-09,14091374.8942,1012,1238540000.0,33.47,2991380.0,746,
2018-02-10,24558441.5252,1251,1170300000.0,31.63,14802400.0,1033,
2018-02-11,10248108.5601,1022,957595000.0,25.88,11475600.0,891,
2018-02-12,4656659.53574,671,902390000.0,24.39,23598600.0,602,
2018-02-13,12869937.2257,557,1104500000.0,29.85,6117800.0,437,
2018-02-14,6289117.1991,575,981292000.0,26.52,9392710.0,502,
2018-02-15,10363784.0572,664,965126000.0,26.08,11981900.0,552,
2018-02-16,4500147.65171,496,978380000.0,26.44,21977100.0,465,
2018-02-17,4095166.21993,508,1120660000.0,30.28,8986340.0,533,
2018-02-18,6716332.68341,426,1126170000.0,30.43,5377530.0,426,
2018-02-19,4134191.74919,374,997920000.0,26.97,4348660.0,403,
2018-02-20,2696173.5966,368,1026200000.0,27.73,4858160.0,390,
2018-02-21,4863222.59372,421,916478000.0,24.77,5009300.0,418,
2018-02-22,1650923.55014,324,866316000.0,23.41,4412880.0,312,
2018-02-23,2963276.78143,287,809510000.0,21.88,3496160.0,302,
2018-02-24,2430181.62766,295,860357000.0,23.25,3275860.0,313,
2018-02-25,1856534.53798,265,779480000.0,21.06,2335780.0,300,
2018-02-26,3613111.77342,312,799995000.0,21.62,2892080.0,326,
2018-02-27,1755923.63091,326,816330000.0,22.06,2616080.0,340,
2018-02-28,8735230.29974,485,799793000.0,21.61,5680820.0,404,
2018-03-01,4053295.61002,509,664615000.0,17.96,13183100.0,480,
2018-03-02,2891886.83861,322,831897000.0,22.48,6533470.0,317,
2018-03-03,6398323.77344,322,781575000.0,21.12,2921890.0,334,
2018-03-04,3144232.85668,271,761172000.0,20.57,2981030.0,288,
