date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses
2017-10-09,206030.034762,17,0.0,0.31565,16776.0,33,
2017-10-10,213676.220554,19,0.0,0.252402,20495.0,34,
2017-10-11,37997.8603708,18,0.0,0.19818,16009.0,32,
2017-10-12,45037.3706763,23,0.0,0.202347,30129.0,37,
2017-10-13,27396.1735114,14,0.0,0.214954,34592.0,27,
2017-10-14,24043.1931086,15,0.0,0.187942,14610.0,30,
2017-10-15,61878.1818645,19,0.0,0.220156,6825.0,35,
2017-10-16,79898.4597226,11,0.0,0.187672,39622.0,20,
2017-10-17,127567.800753,14,0.0,0.181137,17036.0,16,
2017-10-18,28884.3486594,13,0.0,0.186608,26564.0,21,
2017-10-19,35236.9093898,17,0.0,0.172494,24265.0,30,
2017-10-20,19933.3690452,9,0.0,0.169852,5704.0,18,
2017-10-21,52630.8537462,10,0.0,0.169492,22640.0,18,
2017-10-22,164201.996143,13,0.0,0.164421,9852.0,25,
2017-10-23,23568.6747643,14,0.0,0.161659,35983.0,21,
2017-10-24,43931.0676707,14,0.0,0.134892,48705.0,22,
2017-10-25,20916.0767086,16,0.0,0.14282,1482.0,25,
2017-10-26,36422.7894992,8,0.0,0.14689,42943.0,16,
2017-10-27,34553.2935932,10,0.0,0.165609,21020.0,20,
2017-10-28,3209.28603946,16,0.0,0.13656,3590.0,23,
2017-10-29,39022.2004163,13,0.0,0.159122,5246.0,24,
2017-10-30,53371.6659461,10,0.0,0.163747,7203.0,15,
2017-10-31,36091.4922011,12,0.0,0.144205,46345.0,22,
2017-11-01,42903.5926755,10,0.0,0.146731,58795.0,20,
2017-11-02,9606.85071892,5,0.0,0.142061,20687.0,10,
2017-11-03,22312.9558277,4,0.0,0.135774,19424.0,8,
2017-11-04,16593.8417824,9,0.0,0.143249,15995.0,15,
2017-11-05,2423.81564324,5,0.0,0.145499,6183.0,8,
2017-11-06,61026.9905061,10,0.0,0.153184,18772.0,18,
2017-11-07,46989.4225003,12,0.0,0.095705,21794.0,22,
2017-11-08,25784.49675,7,0.0,0.12275,13642.0,14,
2017-11-09,111458.600897,12,0.0,0.120051,21441.0,24,
2017-11-10,97434.2876679,14,0.0,0.156775,33552.0,17,
2017-11-11,14770.8586246,2,0.0,0.142234,2136.0,4,
2017-11-12,29728.359813,12,0.0,0.132139,12190.0,18,
2017-11-13,74084.4254991,10,0.0,0.143723,21381.0,15,
2017-11-14,42607.9134108,18,0.0,0.141815,34067.0,25,
2017-11-15,30136.5584885,12,0.0,0.139026,12695.0,20,
2017-11-16,35408.8794786,12,21866400.0,0.120169,81554.0,20,
2017-11-17,51004.8734322,10,25761900.0,0.141578,47733.0,16,
2017-11-18,853055.806065,11,25069600.0,0.137773,21093.0,20,
2017-11-19,38469.2127415,8,26035000.0,0.143078,15466.0,16,
2017-11-20,26032.5540873,8,27860200.0,0.153109,73699.0,16,
2017-11-21,5491.77942344,8,28808100.0,0.158318,7051.0,12,
2017-11-22,174408.571225,18,30197000.0,0.165951,31200.0,30,
2017-11-23,146460.009724,40,34154500.0,0.1877,199411.0,57,
2017-11-24,41433.270538,25,42282000.0,0.232366,46103.0,43,
2017-11-25,697434.784089,18,40783200.0,0.224129,51677.0,34,
