date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses
2017-07-01,10018882.1608,2005,154009000.0,0.044377,10307200.0,1932,
2017-07-02,10789328.3412,2151,152419000.0,0.043919,7502210.0,1947,
2017-07-03,26223889.8303,4105,148245000.0,0.042716,28853300.0,3268,
2017-07-04,23750214.724,3049,195860000.0,0.056436,18958100.0,2629,
2017-07-05,8480524.06701,1576,197793000.0,0.056993,11487700.0,1398,
2017-07-06,6977433.43822,1477,174958000.0,0.050413,10173100.0,1193,
2017-07-07,8652907.90739,1332,174837000.0,0.050378,7012400.0,1129,
2017-07-08,6084936.72245,1024,153115000.0,0.044119,6282280.0,853,
2017-07-09,2481897.69562,764,154011000.0,0.044378,3429300.0,722,
2017-07-10,7561702.28711,1111,140900000.0,0.0406,6133140.0,1039,
2017-07-11,4914548.75117,1433,106561000.0,0.030705,7617130.0,1107,
2017-07-12,3087683.62317,731,87349600.0,0.025169,5178400.0,675,
2017-07-13,2269050.35619,752,108029000.0,0.031128,5187090.0,611,
2017-07-14,1604505.11171,508,97978500.0,0.028232,3055070.0,481,
2017-07-15,1269202.25091,436,88807400.0,0.025589,2668550.0,433,
2017-07-16,1161362.62561,518,81697900.0,0.023541,2339710.0,455,
2017-07-17,1066117.7159,513,81819800.0,0.023576,3764400.0,495,
2017-07-18,1746304.49944,593,90900700.0,0.026193,5126630.0,522,
2017-07-19,1427085.7002,563,100759000.0,0.029033,4366050.0,519,
2017-07-20,1925555.61903,544,92396800.0,0.026624,3753830.0,478,
2017-07-21,8153064.20793,4006,104205000.0,0.030026,11944800.0,2764,
2017-07-22,31650334.1755,8169,132973000.0,0.038315,38566700.0,6420,
2017-07-23,79859955.722,12654,291519000.0,0.084,159816000.0,9501,
2017-07-24,32336557.8328,6825,291837000.0,0.084091,48405700.0,4724,
2017-07-25,9806468.58421,1887,264948000.0,0.076343,52165600.0,1362,
2017-07-26,5514766.61175,1531,204742000.0,0.058995,51832700.0,1099,
2017-07-27,3609029.936,966,206861000.0,0.059606,27039600.0,804,
2017-07-28,2720318.33833,889,204562000.0,0.058944,17827200.0,662,
2017-07-29,3741099.38888,1062,187715000.0,0.054089,17077400.0,613,
2017-07-30,2509939.36256,598,186966000.0,0.053873,8438260.0,429,
2017-07-31,1948617.77419,694,175730000.0,0.050636,17412400.0,510,
2017-08-01,1915343.66044,699,188414000.0,0.05429,23845300.0,538,
2017-08-02,1947400.44147,817,191330000.0,0.055131,15754800.0,629,
2017-08-03,5568858.03937,1033,189374000.0,0.054567,15695800.0,718,
2017-08-04,4227249.3776,1298,194551000.0,0.056059,16038900.0,874,
2017-08-05,6101810.3728,1865,197577000.0,0.056931,37828900.0,1194,
2017-08-06,4864003.88741,1381,228325000.0,0.065791,24237700.0,949,
2017-08-07,7179597.10086,2080,214078000.0,0.061685,40894300.0,1250,
2017-08-08,6293933.26412,1699,246253000.0,0.070957,35787700.0,1157,
2017-08-09,3584418.92349,1274,251340000.0,0.072422,18237500.0,846,
2017-08-10,5628687.38339,1648,225861000.0,0.06508,27412400.0,1119,
2017-08-11,9940727.18537,2675,227154000.0,0.065453,58822600.0,1639,
2017-08-12,6932221.87225,2012,271523000.0,0.078238,24574100.0,1186,
2017-08-13,9567177.52879,1890,237025000.0,0.068297,21679300.0,1191,
2017-08-14,12917149.8543,2353,221765000.0,0.0639,23224100.0,1365,
2017-08-15,6182166.64034,1402,213925000.0,0.061641,19850100.0,955,
2017-08-16,3974286.54758,1467,210895000.0,0.060768,11186700.0,966,
2017-08-17,6570681.32449,1893,207867000.0,0.059896,22798200.0,1236,
2017-08-18,5124196.76837,1319,211490000.0,0.06094,13896200.0,988,
2017-08-19,3785128.38562,1146,189763000.0,0.054679,12062400.0,804,
2017-08-20,2296743.97372,732,189293000.0,0.054544,6738530.0,624,
2017-08-21,2667691.16609,1042,190691000.0,0.054946,9409920.0,757,
2017-08-22,2459602.46093,794,177165000.0,0.051049,5745640.0,674,
2017-08-23,2000964.81691,933,173357000.0,0.049952,8995140.0,701,
2017-08-24,2568613.53861,984,177990000.0,0.051287,8706810.0,718,
2017-08-25,3005101.50359,962,182970000.0,0.052722,5922650.0,679,
2017-08-26,1975595.41267,669,176911000.0,0.050976,5512320.0,564,
2017-08-27,1876719.66127,766,175157000.0,0.05047,6815440.0,596,
2017-08-28,2405017.75239,805,179144000.0,0.051619,7486210.0,609,
2017-08-29,2985634.17683,1013,169930000.0,0.048965,10873400.0,756,
2017-08-30,2688025.85729,1020,171696000.0,0.049473,9555330.0,798,
2017-08-31,3209692.10656,1059,163779000.0,0.047192,7463400.0,755,
2017-09-01,3181122.46436,1115,166616000.0,0.048009,7175300.0,807,
2017-09-02,2805538.16153,862,165116000.0,0.047577,8260080.0,719,
2017-09-03,3514472.06392,997,143132000.0,0.041243,6755000.0,705,
2017-09-04,8757312.92888,2772,137412000.0,0.039594,9710210.0,2036,
2017-09-05,7085389.35715,2479,103796000.0,0.029908,5825530.0,1961,
2017-09-06,5682039.3143,2733,107741000.0,0.031045,9953750.0,2073,
2017-09-07,11967739.2416,5253,138638000.0,0.039948,5490620.0,4050,
2017-09-08,15221511.3496,6741,130661000.0,0.037649,4653740.0,5200,
2017-09-09,4619918.16585,4023,107197000.0,0.030888,2524890.0,3241,
2017-09-10,5248490.86175,2613,106860000.0,0.030791,2373310.0,2130,
2017-09-11,3109920.03558,2552,101895000.0,0.02936,2069680.0,2008,
2017-09-12,2221918.65067,2090,99517800.0,0.028675,2734640.0,1676,
2017-09-13,1513936.63106,1209,98578700.0,0.028405,1880030.0,1119,
2017-09-14,2200388.4176,1494,91564300.0,0.026384,1721860.0,1243,
2017-09-15,1830772.12612,2364,68920100.0,0.019859,2521070.0,1966,
2017-09-16,1507420.62129,1542,76154300.0,0.021943,1879180.0,1360,
2017-09-17,992892.034112,1028,74497500.0,0.021466,1746130.0,913,
2017-09-18,3707313.01608,3004,75375300.0,0.021719,3417560.0,2564,
2017-09-19,1674281.28935,1610,101259000.0,0.029177,2937340.0,1452,
2017-09-20,907976.386502,846,84035200.0,0.024214,1865680.0,818,
2017-09-21,930934.214817,809,82485300.0,0.023768,1304980.0,772,
2017-09-22,785928.375176,622,73421300.0,0.021156,1173930.0,607,
2017-09-23,316104.563852,524,74034500.0,0.021333,869073.0,506,
2017-09-24,248489.697791,463,77894600.0,0.022445,826610.0,459,
2017-09-25,600358.86253,527,75790400.0,0.021839,781467.0,522,
2017-09-26,700460.865901,628,81342300.0,0.023438,3457510.0,625,
2017-09-27,1395596.60613,857,94886100.0,0.027341,6734420.0,853,
2017-09-28,1637153.03855,850,101707000.0,0.029306,2452520.0,808,
2017-09-29,664897.72648,576,99810600.0,0.02876,1392230.0,567,
2017-09-30,606032.131799,448,95828300.0,0.027612,1101880.0,482,
2017-10-01,1268322.93872,485,106372000.0,0.030651,2076910.0,485,
2017-10-02,577006.685974,367,109290000.0,0.031491,2272790.0,409,
2017-10-03,789201.354941,332,105011000.0,0.030258,1966990.0,334,
2017-10-04,362761.713807,271,94950300.0,0.027359,1452180.0,321,
2017-10-05,388958.806451,282,94808200.0,0.027318,1362430.0,286,
2017-10-06,423512.914526,350,94972600.0,0.027366,1178510.0,355,
2017-10-07,440932.759053,294,98091700.0,0.028265,1041620.0,321,
2017-10-08,383594.118078,251,94621600.0,0.027265,1529830.0,283,
2017-10-09,327658.979038,383,86015200.0,0.024785,1822000.0,357,
2017-10-10,392610.01295,316,79477600.0,0.022901,1741170.0,343,
2017-10-11,237326.77909,290,81112200.0,0.023372,1307350.0,339,
2017-10-12,782760.764876,522,91952300.0,0.026496,2200490.0,531,
2017-10-13,835242.634328,538,90693500.0,0.026133,1702500.0,509,
2017-10-14,425056.955404,419,86525100.0,0.024932,1030100.0,431,
2017-10-15,844937.423951,536,91777400.0,0.026445,1748810.0,520,
2017-10-16,398857.943302,430,102358000.0,0.029494,2145970.0,435,
2017-10-17,1012346.84512,589,100126000.0,0.028851,1521100.0,602,
2017-10-18,961654.067141,415,94105900.0,0.027116,1658160.0,431,
2017-10-19,853893.281936,445,100063000.0,0.028833,2075060.0,460,
2017-10-20,564867.44505,398,95224700.0,0.027438,1425160.0,399,
2017-10-21,430244.498376,470,92920800.0,0.026775,1511950.0,425,
2017-10-22,445548.669515,293,89863300.0,0.025894,1432060.0,351,
2017-10-23,543391.542689,352,88884800.0,0.025612,1781260.0,346,
2017-10-24,688956.728786,354,87521100.0,0.025219,2305600.0,411,
2017-10-25,998374.203722,382,92605500.0,0.026684,2677510.0,387,
2017-10-26,1275384.2865,761,98716000.0,0.028444,2524840.0,734,
2017-10-27,1086668.64119,732,103061000.0,0.029697,4504730.0,712,
2017-10-28,1833823.55693,998,118413000.0,0.03412,5564870.0,1064,
2017-10-29,1000616.9825,604,128135000.0,0.036921,4638100.0,632,
2017-10-30,1609639.67275,573,130654000.0,0.037647,2666950.0,589,
2017-10-31,2002026.92649,645,131143000.0,0.037788,4344070.0,686,
2017-11-01,2756715.02304,864,140297000.0,0.040426,7462620.0,995,
2017-11-02,3053922.26746,1014,149307000.0,0.043022,8275120.0,1019,
