date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses
2017-08-25,2281640.46478,270,0.0,0.253048,3718990.0,262,
2017-08-26,7220359.78726,454,0.0,0.242978,3459540.0,354,
2017-08-27,2139675.53799,184,0.0,0.234209,5238990.0,175,
2017-08-28,3613200.99741,276,0.0,0.241178,4223700.0,249,
2017-08-29,3948858.95214,211,0.0,0.23293,5284410.0,225,
2017-08-30,36505565.2498,222,0.0,0.229984,11348900.0,240,
2017-08-31,12077881.8166,181,0.0,0.197504,2681500.0,185,
2017-09-01,4040504.96014,131,0.0,0.187783,3298480.0,159,
2017-09-02,4599206.63446,179,0.0,0.172681,8672000.0,207,
2017-09-03,1905935.89129,140,0.0,0.138987,5362440.0,139,
2017-09-04,10619003.7114,335,0.0,0.109926,4568850.0,349,
2017-09-05,4318491.53843,362,0.0,0.056041,1156340.0,331,
2017-09-06,8418105.36255,602,0.0,0.057972,451.0,601,
2017-09-07,690623.015012,66,0.0,0.057143,3311.0,109,
2017-09-08,9739611.20001,3178,0.0,0.067827,1880.0,3014,
2017-09-09,3281881.95104,950,0.0,0.081535,258.0,913,
2017-09-10,551213.386376,573,0.0,0.048004,0.0,591,
2017-09-11,1143940.70862,620,0.0,0.049022,0.0,623,
2017-09-12,1198014.32215,851,0.0,0.05042,0.0,844,
2017-09-13,622546.34212,546,0.0,0.05042,659.0,560,
2017-09-14,943117.390097,342,0.0,0.075552,34979.0,337,
2017-09-15,1964151.69962,1021,0.0,0.055128,20442.0,930,
2017-09-16,1692349.99412,990,0.0,0.063534,26582.0,910,
2017-09-17,934590.705542,480,0.0,0.075829,12558.0,443,
2017-09-18,2515616.25489,1294,0.0,0.065547,3685.0,1129,
2017-09-19,3768781.15565,984,0.0,0.068146,3406.0,852,
2017-09-20,764915.561851,413,0.0,0.056178,45507.0,412,
2017-09-21,3749021.31161,1851,0.0,0.068585,116188.0,1741,
2017-09-22,833605.296207,278,0.0,0.064046,93727.0,278,
2017-09-23,502052.972953,231,0.0,0.064521,153867.0,194,
2017-09-24,537560.825274,213,0.0,0.069411,129066.0,183,
2017-09-25,1351622.37822,156,0.0,0.084918,230925.0,143,
2017-09-26,582117.523121,164,0.0,0.097541,219629.0,157,
2017-09-27,208987.12055,126,0.0,0.097916,290530.0,115,
2017-09-28,557107.649405,218,0.0,0.14873,319853.0,211,
2017-09-29,1061638.32127,195,0.0,0.136493,368233.0,187,
2017-09-30,995283.308515,187,0.0,0.151556,443594.0,178,
2017-10-01,714185.569288,122,0.0,0.160681,497711.0,116,
2017-10-02,3004313.92454,425,0.0,0.175792,2614570.0,346,
2017-10-03,5923312.29008,654,85220300.0,0.305768,3445270.0,515,
2017-10-04,4808581.7684,350,107026000.0,0.384006,1342440.0,339,
2017-10-05,1506822.71843,257,85435800.0,0.306541,833600.0,234,
2017-10-06,2547855.58867,180,92916200.0,0.333381,534257.0,177,
2017-10-07,721136.948347,179,85198300.0,0.305689,699534.0,182,
2017-10-08,653904.171717,159,85173100.0,0.305599,609297.0,161,
2017-10-09,6705199.24342,279,70850600.0,0.25421,818564.0,237,
2017-10-10,1228420.18677,215,76900100.0,0.275916,537691.0,178,
2017-10-11,696408.094558,150,73737900.0,0.264569,459206.0,131,
2017-10-12,1336038.15959,226,65767300.0,0.235971,683349.0,189,
2017-10-13,34859541.2693,112,61651500.0,0.221204,616856.0,102,
2017-10-14,443404.290202,87,56124900.0,0.201374,398967.0,90,
2017-10-15,182075.784775,89,65557400.0,0.235218,393751.0,107,
2017-10-16,257496.768823,94,62200300.0,0.223173,414904.0,93,
2017-10-17,569529.512657,101,62319300.0,0.2236,450269.0,105,
2017-10-18,1096651.99353,317,65384400.0,0.234597,1174310.0,279,
2017-10-19,1159658.40596,337,81272400.0,0.29323,1253670.0,267,
2017-10-20,707839.143837,215,82306600.0,0.296961,812966.0,186,
2017-10-21,694411.533094,115,69274500.0,0.249942,344300.0,103,
2017-10-22,1886587.30932,129,69596900.0,0.251105,457619.0,110,
2017-10-23,293290.962127,140,68643000.0,0.247663,569408.0,126,
2017-10-24,476773.429506,171,65791000.0,0.237373,537452.0,161,
2017-10-25,872533.671117,203,67406200.0,0.243201,508684.0,208,
2017-10-26,6926108.57622,174,63131400.0,0.227778,504600.0,160,
2017-10-27,713211.406491,155,60481200.0,0.218215,625105.0,133,
2017-10-28,191627.712407,126,57266400.0,0.206617,366837.0,117,
2017-10-29,942220.046098,117,52986800.0,0.191176,373718.0,125,
2017-10-30,375148.791836,140,57166400.0,0.206256,405068.0,139,
2017-10-31,809908.907605,107,59941700.0,0.216269,456158.0,112,
2017-11-01,1681033.9765,178,60019800.0,0.216551,553665.0,165,
2017-11-02,686369.271855,199,51435500.0,0.185579,733194.0,174,
2017-11-03,342239.543134,122,49146900.0,0.177322,548399.0,131,
2017-11-04,300295.05652,122,55527900.0,0.200344,543297.0,113,
2017-11-05,353117.950557,124,60482600.0,0.218221,503566.0,120,
2017-11-06,3381449.44933,684,57986700.0,0.209216,1169720.0,865,
2017-11-07,1278823.28108,354,64051900.0,0.231099,970278.0,417,
2017-11-08,1394844.28481,340,67508800.0,0.243571,1631760.0,350,
2017-11-09,6440160.08882,441,72031300.0,0.259888,1189380.0,493,
2017-11-10,8201985.46431,193,74810200.0,0.269915,902045.0,198,
2017-11-11,340993.353486,170,66601300.0,0.240297,921946.0,157,
2017-11-12,788430.607983,205,66156800.0,0.238693,1862810.0,201,
2017-11-13,556627.078202,135,57434100.0,0.207222,778468.0,129,
2017-11-14,1043652.11839,142,61608100.0,0.222281,1064470.0,184,
2017-11-15,1072156.91874,208,65594700.0,0.236665,1783740.0,248,
2017-11-16,4225057.78033,482,73742100.0,0.266061,4352160.0,547,
2017-11-17,1319569.77666,260,74129600.0,0.267459,1477450.0,278,
2017-11-18,1065095.93879,169,72134200.0,0.260259,909141.0,210,
2017-11-19,2377117.35858,150,73351200.0,0.264651,1146710.0,173,
2017-11-20,10891210.7201,1556,69042900.0,0.249106,1772860.0,1589,
2017-11-21,1276425.74522,222,73946300.0,0.266797,1583940.0,239,
2017-11-22,1077893.74526,211,74990800.0,0.270566,1893560.0,240,
2017-11-23,2427327.74767,228,72606000.0,0.261962,2133510.0,222,
2017-11-24,578818.250195,202,65854200.0,0.237601,1884340.0,235,
2017-11-25,2616465.58563,333,70996600.0,0.256155,1416020.0,416,
2017-11-26,1629621.99988,242,71017500.0,0.25623,1667250.0,305,
2017-11-27,965541.690701,297,67860900.0,0.244841,2216870.0,344,
2017-11-28,2286629.50097,267,68064100.0,0.245575,4031420.0,295,
2017-11-29,6442978.51067,343,74445000.0,0.268597,3674300.0,388,
2017-11-30,941921.536229,250,64164000.0,0.231503,2991240.0,254,
2017-12-01,2987025.93218,372,70670300.0,0.254978,7863330.0,391,
2017-12-02,4531783.98555,486,92226400.0,0.332752,7044710.0,482,
2017-12-03,11042761.7544,642,102029000.0,0.368119,10074100.0,616,
2017-12-04,10235195.3292,626,122912000.0,0.443465,9729420.0,653,
2017-12-05,4990674.33708,553,140049000.0,0.505297,25974900.0,638,
2017-12-06,12874324.2469,479,189319000.0,0.683061,13177000.0,517,
2017-12-07,6123574.18397,548,160161000.0,0.577858,11494900.0,521,
2017-12-08,1858881.37265,389,127983000.0,0.46176,13042900.0,390,
2017-12-09,37521224.01,1914,157257000.0,0.56738,7636390.0,1891,
2017-12-10,47371110.8922,1308,153976000.0,0.555543,7447170.0,1320,
2017-12-11,4542966.26112,427,128953000.0,0.465261,10485300.0,427,
2017-12-12,64392258.5808,448,160542000.0,0.579233,10869400.0,411,
2017-12-13,9995882.16281,406,162817000.0,0.587443,8953480.0,375,
2017-12-14,7354694.85781,525,152465000.0,0.550091,17569000.0,457,
2017-12-15,12275953.8873,957,185592000.0,0.669613,31718200.0,828,
2017-12-16,10271031.1186,632,236014000.0,0.851537,20799200.0,576,
2017-12-17,86360477.5326,1008,259819000.0,0.937426,41104100.0,830,
2017-12-18,188584031.66,2576,347034000.0,1.25,142528000.0,2020,
2017-12-19,97752388.1081,2730,472756000.0,1.71,74583900.0,2288,
2017-12-20,57063730.1065,1938,403682000.0,1.46,61082900.0,1585,
2017-12-21,43820375.9343,1631,419676000.0,1.51,57319900.0,1380,
2017-12-22,11435950.0684,1020,424252000.0,1.53,36469600.0,916,
2017-12-23,12206721.9754,870,352385000.0,1.27,43179100.0,806,
2017-12-24,9262992.34331,773,378370000.0,1.37,24165000.0,697,
2017-12-25,5045919.25681,658,361875000.0,1.31,22799100.0,617,
2017-12-26,6703700.45804,790,379553000.0,1.37,32262400.0,688,
2017-12-27,15515738.8051,1521,405370000.0,1.46,136863000.0,1142,
2017-12-28,20620634.2385,1296,550666000.0,1.99,82967600.0,1028,
2017-12-29,51780656.8875,1496,521207000.0,1.88,90929400.0,1212,
2017-12-30,37167600.2359,1454,661758000.0,2.39,94525600.0,1210,
2017-12-31,16396617.1806,1257,574563000.0,2.07,57486200.0,1112,
2018-01-01,21593758.5728,1001,636456000.0,2.3,68193900.0,837,
2018-01-02,20571252.0404,1462,674724000.0,2.43,121598000.0,1225,
2018-01-03,59990777.112,2231,722827000.0,2.61,241740000.0,1777,
2018-01-04,69083651.7899,2260,962175000.0,3.47,192222000.0,1834,
2018-01-05,32056167.6154,1944,1046450000.0,3.78,192141000.0,1770,
2018-01-06,30138699.8393,2131,1017310000.0,3.67,178983000.0,1968,
2018-01-07,67801292.8716,2134,1314190000.0,4.74,121009000.0,1965,
2018-01-08,81437814.8924,1733,1265540000.0,4.57,117303000.0,1462,
2018-01-09,78370966.68,1919,1176920000.0,4.25,128018000.0,1724,
2018-01-10,72557358.0947,2539,1278870000.0,4.61,271476000.0,2187,
2018-01-11,82499387.1568,2794,1762480000.0,6.36,288487000.0,2563,
2018-01-12,132864100.207,2091,1799210000.0,6.49,158992000.0,1942,
2018-01-13,59841826.9006,2340,1729740000.0,6.24,194477000.0,2146,
