date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2014-01-23,75795.4540459,2891,321975.0,0.304511,50128.0,52350.0,2.86500001002,
2014-01-24,122943.683296,3418,499373.0,0.450251,26869.0,45200.0,5.31,
2014-01-25,74214.5396678,3797,453116.0,0.392546,19322.0,52100.0,3.43725139,
2014-01-26,40842.3561501,1903,411888.0,0.341476,12561.0,26600.0,1.26431204,
2014-01-27,49421.4943836,1225,400787.0,0.32509,16763.0,17650.0,10.926,
2014-01-28,40838.3210946,1204,445996.0,0.356668,15008.0,19100.0,0.91832416,
2014-01-29,28506.7906769,1319,483140.0,0.38056,7749.0,21650.0,0.751100000001,
2014-01-30,37360.9638106,1367,417532.0,0.323355,4260.0,25550.0,0.936613259998,
2014-01-31,40131.1548467,1531,441643.0,0.335404,10074.0,32300.0,0.831010000007,
2014-02-01,41472.3123508,1382,447682.0,0.33185,31268.0,27850.0,0.948509999997,
2014-02-02,100648.49004,1756,579702.0,0.42102,80009.0,32550.0,1.57873661,
2014-02-03,182875.597147,2181,999739.0,0.709286,175201.0,34850.0,1.92804751,
2014-02-04,1201705.80733,5123,2329270.0,1.61,1000060.0,34700.0,5.44728594,
2014-02-05,8134492.25262,10727,7094260.0,4.8,1480360.0,34850.0,31.68100424,
2014-02-06,3157855.36741,9151,8571370.0,5.66,817727.0,29700.0,7.93671931,
2014-02-07,2454565.65149,7935,7585800.0,4.9,441589.0,26250.0,6.2743874,
2014-02-08,2008855.53446,8137,7468430.0,4.76,332129.0,26600.0,7.54908747,
2014-02-09,1286873.64153,8124,5467450.0,3.42,493625.0,26850.0,6.89337839,
2014-02-10,1500507.02418,8069,6672920.0,4.11,395001.0,30450.0,6.21621412,
2014-02-11,1229904.78052,7808,6054540.0,3.66,264439.0,29800.0,6.37066445,
2014-02-12,1208640.93785,7325,5837000.0,3.47,391122.0,29150.0,5.97667981,
2014-02-13,1167831.71308,6754,5438560.0,3.18,233428.0,26950.0,4.97787688,
2014-02-14,881994.403585,6512,4713830.0,2.71,308127.0,25100.0,5.27896337,
2014-02-15,705238.053189,6473,4291820.0,2.43,219887.0,28050.0,4.88504563,
2014-02-16,793103.092457,6886,4395970.0,2.45,186464.0,30550.0,5.81806735,
2014-02-17,589570.736445,6563,3500100.0,1.92,196586.0,28200.0,5.64993819,
2014-02-18,643221.239256,6092,3012790.0,1.63,189928.0,26600.0,6.20098744,
2014-02-19,514983.628444,7381,2671470.0,1.42,951079.0,32750.0,12.03344236,
2014-02-20,1357586.52719,7575,5620120.0,2.94,560787.0,31350.0,7.34476359,
2014-02-21,681830.211679,6991,3822190.0,1.97,157513.0,29850.0,6.55997531,
2014-02-22,546610.411335,6512,3900760.0,1.98,134519.0,28250.0,6.1416833,
2014-02-23,465514.705575,6591,4054050.0,2.03,127817.0,28700.0,6.07836718,
2014-02-24,465162.328909,6076,3692000.0,1.82,133245.0,27250.0,5.80845676,
2014-02-25,357861.66949,6041,3127630.0,1.52,115446.0,28300.0,5.92096024,
2014-02-26,400665.81417,6413,3402400.0,1.63,163095.0,29650.0,5.75940685,
2014-02-27,467136.65933,6716,3990420.0,1.89,49930.0,30600.0,6.62593772,
2014-02-28,512259.355884,6604,3888370.0,1.81,109025.0,29700.0,6.78541853,
2014-03-01,566614.41649,6692,3777500.0,1.74,88108.0,30050.0,6.93796382,
2014-03-02,585561.395727,6843,3748940.0,1.7,100550.0,30800.0,6.02703036,
2014-03-03,581026.963479,7025,3611060.0,1.62,151606.0,29350.0,6.28776825,
2014-03-04,557797.548922,6940,4171450.0,1.84,184159.0,29600.0,7.70154634,
2014-03-05,479353.781763,6287,4121550.0,1.8,113278.0,28400.0,6.32158482,
2014-03-06,472495.319122,5636,3895220.0,1.68,105465.0,25900.0,5.3583952,
2014-03-07,403409.696738,5797,3724650.0,1.59,93317.0,28650.0,5.84775966,
2014-03-08,311956.364673,5704,3361910.0,1.41,74305.0,29250.0,5.64452626,
2014-03-09,353164.155489,6232,3360190.0,1.4,120261.0,30800.0,6.62687027,
2014-03-10,351731.08935,6211,3794630.0,1.56,73429.0,29200.0,6.03182929,
2014-03-11,296171.42655,6092,3435420.0,1.39,68568.0,29650.0,7.06518635,
2014-03-12,321341.439089,6140,3287310.0,1.32,61456.0,27900.0,6.02035227,
2014-03-13,291729.419236,5370,3273820.0,1.3,54713.0,26050.0,5.4064664,
2014-03-14,314708.850868,6150,3127260.0,1.23,83218.0,29450.0,6.48722151,
2014-03-15,260786.451042,5267,2725290.0,1.06,95533.0,25050.0,5.50132905,
2014-03-16,217162.772669,5425,2577970.0,0.989739,60646.0,28900.0,5.48390054,
2014-03-17,179500.648662,5106,2117850.0,0.804195,72735.0,28000.0,5.88486223,
2014-03-18,170518.65618,5943,2279740.0,0.856514,40410.0,29750.0,6.33083694,
2014-03-19,209209.051447,5349,2263150.0,0.84093,149663.0,29650.0,6.01473703,
2014-03-20,351603.96818,6494,2966710.0,1.09,347802.0,29100.0,8.33081537,
2014-03-21,376823.101671,6362,3437780.0,1.25,244183.0,30900.0,11.3665816,
2014-03-22,831144.976152,8114,3933590.0,1.41,883171.0,33900.0,10.81882235,
2014-03-23,680847.413415,7743,5130120.0,1.82,380274.0,29350.0,21.97085652,
2014-03-24,767346.301545,6900,5220160.0,1.84,350786.0,27050.0,12.51862324,
2014-03-25,2017660.23869,6033,5007860.0,1.74,131556.0,26700.0,5.50387504001,
2014-03-26,680102.335861,6625,4331390.0,1.49,204301.0,30050.0,7.0134563,
2014-03-27,1062121.77763,5896,4766190.0,1.63,130975.0,27600.0,5.76328076,
