date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2014-05-24,0.0,1026,2653720.0,2.92,248028.0,24975.8373414,0.002842246267,
2014-05-25,0.0,1486,3774890.0,4.04,283545.0,20133.313716,0.002369143303,
2014-05-26,0.0,1985,3070190.0,3.22,220148.0,21236.7283498,0.014979522317,
2014-05-27,0.0,2084,2958060.0,3.03,97603.0,21302.6208872,3.04746212718,
2014-05-28,0.0,1341,2231880.0,2.24,177716.0,24305.3341399,4.99131557173,
2014-05-29,0.0,1862,2251030.0,2.21,109157.0,20042.8486729,6.11866208503,
2014-05-30,0.0,1396,1742630.0,1.68,119296.0,23352.4411997,5.73523327804,
2014-05-31,0.0,1071,1675440.0,1.58,117399.0,26268.4725099,5.12380070104,
2014-06-01,0.0,1150,2111850.0,1.94,130602.0,23103.3780211,5.49229620917,
2014-06-02,0.0,1493,1964820.0,1.76,47672.0,22811.0128622,8.26006948906,
2014-06-03,0.0,2084,1966370.0,1.73,91332.0,23083.0253993,11.752766976,
2014-06-04,0.0,2256,2238440.0,1.93,51886.0,24583.6422659,13.0910605947,
2014-06-05,0.0,2582,2000103.33333,1.7,49319.6666667,21992.6395304,14.3678023443,
2014-06-06,0.0,3056,1761766.66667,1.47,46753.3333333,22828.0838587,16.7579042011,
2014-06-07,0.0,2156,1523430.0,1.24,44187.0,22557.924894,12.4380620699,
2014-06-08,0.0,2434,1702900.0,1.36,40634.0,22983.8943081,13.6288046815,
2014-06-09,0.0,2661,1697580.0,1.33,56500.0,22759.2689002,14.5268217814,
2014-06-10,0.0,2927,1917820.0,1.48,182599.0,25117.2696697,15.9074534792,
2014-06-11,0.0,3051,2279840.0,1.72,85735.0,20798.1266404,18.7265404235,
2014-06-12,0.0,4588,2174900.0,1.62,108619.0,23517.4805809,28.9363683172,
2014-06-13,0.0,5478,2257650.0,1.65,84237.0,23229.9815291,34.6814071043,
2014-06-14,0.0,5432,2677530.0,1.93,276919.0,24260.1101317,42.229096636,
2014-06-15,0.0,5401,3288170.0,2.32,150652.0,21016.3751769,36.4432868527,
2014-06-16,0.0,4876,3905660.0,2.72,438776.0,24372.7039544,38.0330704794,
2014-06-17,0.0,4042,4601540.0,3.15,228445.0,22836.0138496,27.7641348516,
2014-06-18,0.0,3776,4304890.0,2.9,183102.0,23229.4112528,78.4720280595,
2014-06-19,0.0,4074,4188790.0,2.78,283962.0,24146.9484528,29.0746418786,
2014-06-20,0.0,2658,4844000.0,3.17,543764.0,23271.114609,17.7255789772,
2014-06-21,0.0,3499,6730580.0,4.33,723077.0,24028.4003651,23.5780405833,
2014-06-22,0.0,2780,7853920.0,4.98,491984.0,24286.1726563,18.6350149803,
2014-06-23,0.0,3048,6851250.0,4.28,433301.0,22037.98903,21.5535874165,
2014-06-24,0.0,2742,6374590.0,3.93,150995.0,22458.0608413,18.8722521046,
2014-06-25,0.0,2403,5313820.0,3.23,217183.0,22474.351194,16.5202398797,
2014-06-26,0.0,2319,5471230.0,3.28,117740.0,23332.8999567,15.8871040847,
2014-06-27,0.0,2088,5044180.0,2.98,250643.0,23130.2059741,14.4711031793,
2014-06-28,0.0,1791,3997740.0,2.32,184970.0,22606.8779905,12.5184184397,
2014-06-29,0.0,1846,4434960.0,2.55,138511.0,23359.3334787,12.9273213892,
2014-06-30,0.0,1998,4484350.0,2.55,124575.0,23124.908641,13.9085087608,
2014-07-01,0.0,1901,4470350.0,2.51,98540.0,23221.5835703,13.4070319597,
2014-07-02,0.0,1774,4225600.0,2.34,101095.0,22222.8646463,13.0075882067,
2014-07-03,0.0,1878,4217730.0,2.31,168532.0,22959.3782048,13.4667565078,
2014-07-04,0.0,1788,4899760.0,2.64,148555.0,22981.9611962,12.8828723349,
2014-07-05,0.0,1618,4956910.0,2.64,68525.0,23276.0867187,11.3624746243,
2014-07-06,0.0,1678,4690900.0,2.47,77663.0,22160.7549783,12.0309150718,
2014-07-07,0.0,1915,4609840.0,2.4,111370.0,22060.1749323,13.490081883,
2014-07-08,0.0,1850,3851290.0,1.98,94993.0,22466.6808283,13.4032729874,
2014-07-09,0.0,1671,4518280.0,2.3,69554.0,22490.1743311,12.2189901923,
2014-07-10,0.0,1570,4033590.0,2.03,89099.0,22602.0223528,11.978254204,
2014-07-11,0.0,1760,3746700.0,1.86,116666.0,22269.1929844,13.5578125046,
2014-07-12,0.0,1401,3648870.0,1.79,65375.0,22542.0636534,10.5564899792,
2014-07-13,0.0,1754,3562450.0,1.73,122049.0,22307.8001229,43.4980759273,
2014-07-14,0.0,1538,3716450.0,1.79,100284.0,22140.7851207,12.0332185528,
2014-07-15,0.0,1950,4096760.0,1.95,136205.0,22401.8978135,14.1013223231,
2014-07-16,0.0,2417,4585570.0,2.16,353430.0,23117.7433792,17.6828179812,
2014-07-17,0.0,2603,5804450.0,2.71,503684.0,22873.2402981,35.1844373621,
2014-07-18,0.0,2186,6577180.0,3.03,348336.0,22308.8843461,16.7211191092,
2014-07-19,0.0,1905,5680000.0,2.59,169471.0,22320.7582175,14.3554641277,
2014-07-20,0.0,1944,6372740.0,2.88,116853.0,22368.5491669,14.6611443978,
