date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2013-08-07,256828.296663,3335,36503500.0,0.004669,0.0,0.0,null,
2013-08-08,69543.4439154,3477,34372500.0,0.004397,0.0,0.0,null,
2013-08-09,35803.8222406,2219,33282700.0,0.004257,0.0,0.0,null,
2013-08-10,52366.7229529,1839,33547500.0,0.004291,0.0,0.0,null,
2013-08-11,5396.32411855,1887,33725000.0,0.004314,0.0,0.0,null,
2013-08-12,45163.1179702,2207,34511100.0,0.004414,0.0,0.0,null,
2013-08-13,26222.75052,1419,34893700.0,0.004463,0.0,0.0,null,
2013-08-14,752303.482869,1788,33359300.0,0.004267,0.0,0.0,null,
2013-08-15,226574.730443,1859,29615000.0,0.003788,0.0,0.0,null,
2013-08-16,21261.2492036,1571,24092600.0,0.003082,0.0,0.0,null,
2013-08-17,12102.5722588,1913,24533400.0,0.003138,0.0,0.0,null,
2013-08-18,32079.2920518,1839,44458200.0,0.005687,0.0,0.0,null,
2013-08-19,97086.4599894,1235,43678200.0,0.005587,0.0,0.0,null,
2013-08-20,16837.0333293,1520,42031100.0,0.005376,0.0,0.0,null,
2013-08-21,4338.25108525,1727,47675800.0,0.006098,0.0,0.0,null,
2013-08-22,8566.33350316,1925,47928700.0,0.006131,0.0,0.0,null,
2013-08-23,1771.11011107,3082,40487300.0,0.005179,0.0,0.0,null,
2013-08-24,3694.71799155,2773,40176000.0,0.005139,0.0,0.0,null,
2013-08-25,897.376021713,2619,43198100.0,0.005526,0.0,0.0,null,
2013-08-26,1561.14418173,2490,47719500.0,0.006104,0.0,0.0,null,
2013-08-27,502448.164173,3686,50569200.0,0.006468,0.0,0.0,null,
2013-08-28,52308.8572948,2802,50433400.0,0.006451,0.0,0.0,null,
2013-08-29,67675.4021769,2475,48829100.0,0.006246,0.0,0.0,null,
2013-08-30,57400.5603375,2494,45034300.0,0.00576,0.0,0.0,null,
2013-08-31,7243.32745028,2256,46223800.0,0.005913,0.0,0.0,null,
2013-09-01,23504.8416855,1828,43960300.0,0.005623,0.0,0.0,null,
2013-09-02,6168.8829178,1810,45334600.0,0.005799,0.0,0.0,null,
2013-09-03,161211.67322,2679,43139800.0,0.005518,0.0,0.0,null,
2013-09-04,19152.7724148,2283,44248300.0,0.00566,0.0,0.0,null,
2013-09-05,43080.7672672,2623,44529800.0,0.005696,0.0,0.0,null,
2013-09-06,116066.16389,4395,44698500.0,0.005717,0.0,0.0,null,
2013-09-07,91116.1613805,7380,45756200.0,0.005853,0.0,0.0,null,
2013-09-08,14619.1187361,9705,48251900.0,0.006172,0.0,0.0,null,
2013-09-09,16763.6355521,8373,48417800.0,0.006193,0.0,0.0,null,
2013-09-10,31417.9205692,7891,49079900.0,0.006278,0.0,0.0,null,
2013-09-11,87416.6963733,9401,45397700.0,0.005807,0.0,0.0,null,
2013-09-12,1637377.64627,8945,49152200.0,0.006287,0.0,0.0,null,
2013-09-13,24058.2401993,12197,49521000.0,0.006334,0.0,0.0,null,
2013-09-14,9363.81318096,7797,50930100.0,0.006515,0.0,0.0,null,
2013-09-15,24230.4919811,8499,49633200.0,0.006349,0.0,0.0,null,
2013-09-16,88264.1220031,8920,50785700.0,0.006496,0.0,0.0,null,
2013-09-17,51163.2965025,7663,55397400.0,0.007086,0.0,0.0,null,
2013-09-18,98328.7410166,8459,75181400.0,0.009617,0.0,0.0,null,
2013-09-19,123680.379389,2844,84227600.0,0.010774,0.0,0.0,null,
2013-09-20,183026.948375,1591,85699700.0,0.010962,0.0,0.0,null,
2013-09-21,496087.418766,2860,79006800.0,0.010106,0.0,0.0,null,
2013-09-22,9724.02475607,4183,76097500.0,0.009734,0.0,0.0,null,
2013-09-23,12227.2217559,3060,81265400.0,0.010395,0.0,0.0,null,
2013-09-24,20253.8930186,3245,78301600.0,0.010016,0.0,0.0,null,
2013-09-25,21557.4151256,3449,81768100.0,0.010459,0.0,0.0,null,
2013-09-26,85668.4385201,1825,81557000.0,0.010432,0.0,0.0,null,
2013-09-27,137892.169759,3534,91973600.0,0.011765,0.0,0.0,null,
2013-09-28,402860.934536,3846,117006000.0,0.014966,0.0,0.0,null,
2013-09-29,53253.1616735,7515,108254000.0,0.013847,0.0,0.0,null,
2013-09-30,101635.222463,8038,100460000.0,0.01285,0.0,0.0,null,
2013-10-01,697054.108645,5090,85261900.0,0.010906,0.0,0.0,null,
2013-10-02,368392.578234,1294,82231700.0,0.010518,0.0,0.0,null,
2013-10-03,27944655.5681,2673,60813300.0,0.007779,0.0,0.0,null,
2013-10-04,334591.423402,3993,69748000.0,0.008922,0.0,0.0,null,
2013-10-05,4428.05661686,1123,75642700.0,0.009676,0.0,0.0,null,
2013-10-06,168147.112222,2416,74066400.0,0.009474,0.0,0.0,null,
2013-10-07,113408.402919,4970,75587700.0,0.009669,0.0,0.0,null,
2013-10-08,60242.1129378,4859,72120200.0,0.009225,0.0,0.0,null,
2013-10-09,59057.6645225,3947,73796500.0,0.009439,0.0,0.0,null,
2013-10-10,293408.562401,2929,75533700.0,0.009662,0.0,0.0,null,
2013-10-11,151979.352024,3986,77269300.0,0.009884,0.0,0.0,null,
2013-10-12,32880.7998511,4225,69671600.0,0.008912,0.0,0.0,null,
2013-10-13,36254.4440649,1326,73347800.0,0.009382,0.0,0.0,null,
2013-10-14,283404.870245,3569,66332400.0,0.008485,0.0,0.0,null,
2013-10-15,164877.950636,2108,66484600.0,0.008504,0.0,0.0,null,
2013-10-16,59410.0239602,2230,63074800.0,0.008068,0.0,0.0,null,
2013-10-17,80963.1417004,1273,57051600.0,0.007298,0.0,0.0,null,
2013-10-18,21156.4459,2275,65277700.0,0.00835,0.0,0.0,null,
2013-10-19,69053.420511,1615,62073400.0,0.00794,0.0,0.0,null,
2013-10-20,33883.1352744,1476,56444800.0,0.00722,0.0,0.0,null,
2013-10-21,49498.8743124,2332,52433500.0,0.006707,0.0,0.0,null,
2013-10-22,22617.4901843,2089,51991300.0,0.00665,0.0,0.0,null,
2013-10-23,50906.5616392,2456,53384500.0,0.006829,0.0,0.0,null,
2013-10-24,101855.318471,3726,61808600.0,0.007906,0.0,0.0,null,
2013-10-25,298585.907592,7801,66998000.0,0.00857,0.0,0.0,null,
2013-10-26,36281.9821682,2017,53850600.0,0.006888,0.0,0.0,null,
2013-10-27,32273.8949509,1500,47218300.0,0.00604,0.0,0.0,null,
2013-10-28,198641.529063,2738,53430600.0,0.006834,0.0,0.0,null,
2013-10-29,219503.638666,4489,46453800.0,0.005942,0.0,0.0,null,
2013-10-30,292653.309157,3245,47018500.0,0.006014,0.0,0.0,null,
2013-10-31,546634.345551,3679,45756500.0,0.005853,0.0,0.0,null,
2013-11-01,32770.407869,2903,47494500.0,0.006075,0.0,0.0,null,
2013-11-02,100037.798455,3717,49616200.0,0.006346,0.0,0.0,null,
2013-11-03,165141.359464,2726,53215000.0,0.006807,0.0,0.0,null,
2013-11-04,172557.469799,3252,55876500.0,0.007147,0.0,0.0,null,
2013-11-05,58409.7756674,3345,54838300.0,0.007014,0.0,0.0,null,
2013-11-06,161344.967525,5181,55794300.0,0.007137,0.0,0.0,null,
2013-11-07,170610.461287,2987,60599400.0,0.007751,0.0,0.0,null,
2013-11-08,772367.312653,2281,70229100.0,0.008983,0.0,0.0,null,
2013-11-09,354588.351099,2803,83484100.0,0.010679,0.0,0.0,null,
2013-11-10,39253.414458,4918,69261400.0,0.008859,0.0,0.0,null,
2013-11-11,66028.3838638,2284,67191600.0,0.008595,0.0,0.0,null,
2013-11-12,273949.578862,2153,67988900.0,0.008697,0.0,0.0,null,
2013-11-13,303477.016363,2605,74879700.0,0.009578,0.0,0.0,null,
2013-11-14,109859.228311,1883,84591900.0,0.01082,0.0,0.0,null,
2013-11-15,1470091.68289,1429,75271300.0,0.009628,0.0,0.0,null,
2013-11-16,104042.482797,2134,75592700.0,0.009669,0.0,0.0,null,
2013-11-17,204955.275254,5966,79404000.0,0.010157,0.0,0.0,null,
2013-11-18,232798.967722,7121,80536000.0,0.010301,0.0,0.0,null,
2013-11-19,37866953.27,2877,82888400.0,0.010602,0.0,0.0,null,
2013-11-20,279333.140047,2572,55771700.0,0.007134,0.0,0.0,null,
2013-11-21,490403.259437,2493,58718600.0,0.007511,0.0,0.0,null,
2013-11-22,698614.336575,3343,77849100.0,0.009958,0.0,0.0,null,
2013-11-23,240698.578306,1984,74696500.0,0.009555,0.0,0.0,null,
2013-11-24,639025.280474,1752,76403900.0,0.009773,0.0,0.0,null,
2013-11-25,1396921.46999,3830,91799200.0,0.011742,0.0,0.0,null,
2013-11-26,3311992.84538,4025,147429000.0,0.018858,0.0,0.0,null,
2013-11-27,1198772.91321,3478,234464000.0,0.029991,0.0,0.0,null,
2013-11-28,787328.591858,2396,217958000.0,0.027879,0.0,0.0,null,
2013-11-29,2114937.50626,3052,228781000.0,0.029264,0.0,0.0,null,
2013-11-30,2163866.4361,3475,241572000.0,0.0309,0.0,0.0,null,
2013-12-01,2905709.8652,3280,306152000.0,0.03916,0.0,0.0,null,
2013-12-02,1314245.32341,2429,409530000.0,0.052384,0.0,0.0,null,
2013-12-03,1921058.01372,3982,433226000.0,0.055415,0.0,0.0,null,
2013-12-04,7795926.41602,7515,379569000.0,0.048551,0.0,0.0,null,
2013-12-05,1285623.43944,5463,459470000.0,0.058772,0.0,0.0,null,
2013-12-06,2336327.88907,5941,430054000.0,0.055009,0.0,0.0,null,
2013-12-07,540841.002994,9438,329974000.0,0.042208,0.0,0.0,null,
2013-12-08,419929.013009,2025,256084000.0,0.032756,0.0,0.0,null,
2013-12-09,509888.177795,10414,284264000.0,0.036361,0.0,0.0,null,
2013-12-10,442144.095783,10763,304037000.0,0.03889,0.0,0.0,null,
2013-12-11,5902954.5779,6474,342565000.0,0.043818,0.0,0.0,null,
2013-12-12,6149936.28456,6601,298030000.0,0.038122,0.0,0.0,null,
2013-12-13,915340.037575,5986,270879000.0,0.034649,0.0,0.0,null,
2013-12-14,618235.765055,6957,276998000.0,0.035431,0.0,0.0,null,
2013-12-15,889808.931438,6806,250477000.0,0.032039,0.0,0.0,null,
2013-12-16,597464.658389,6866,228375000.0,0.029212,0.0,0.0,null,
2013-12-17,441630.669022,7377,167292000.0,0.021399,0.0,0.0,null,
