date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2014-10-28,3962.608187,1179,37687.0,1e-05,2185.0,75100000.0,121.731987007,
2014-10-29,1294.73384144,1154,15542.0,4e-06,1221.0,76100000.0,123.411068997,
2014-10-30,1554.02360383,999,26243.0,7e-06,1116.0,93100000.0,119.974335999,
2014-10-31,2102.87923396,1548,25912.0,7e-06,1444.0,90200000.0,158.193491005,
2014-11-01,2418.38113205,1504,25137.0,7e-06,269.0,88700000.0,163.797505993,
2014-11-02,1036.81889307,1673,15363.0,4e-06,295.0,89100000.0,174.597362008,
2014-11-03,1214.84916776,1649,18086.0,5e-06,286.0,63200000.0,172.754061995,
2014-11-04,1401.11671009,1777,14550.0,4e-06,551.0,43950000.0,186.149323015,
2014-11-05,615.121476893,2478,17533.0,5e-06,1592.0,50350000.0,256.355301001,
2014-11-06,543.184027069,1998,14112.0,4e-06,203.0,45250000.0,211.922852,
2014-11-07,463.883544576,1761,13586.0,4e-06,101.0,42750000.0,184.632086997,
2014-11-08,1966.63234664,1461,14844.0,4e-06,1707.0,44800000.0,165.727712146,
2014-11-09,1398.73352183,1907,15560.0,4e-06,538.0,51350000.0,207.771456998,
2014-11-10,834.864738077,3016,21373.0,6e-06,147.0,61050000.0,309.031122,
2014-11-11,697.377203724,2150,14845.0,4e-06,134.0,48550000.0,233.621590007,
2014-11-12,842.389922812,1987,14467.0,4e-06,102.0,46150000.0,213.344176027,
2014-11-13,837.782450278,2470,16056.0,4e-06,214.0,57450000.0,271.338584005,
2014-11-14,660.444099507,2503,15645.0,4e-06,101.0,58400000.0,257.564312,
2014-11-15,678.57729912,2637,14638.0,4e-06,171.0,53650000.0,276.239175001,
2014-11-16,462.610910772,2115,14941.0,4e-06,160.0,45950000.0,221.510948,
2014-11-17,838.257819657,2080,19468.0,5e-06,235.0,37275000.0,216.405204001,
2014-11-18,292.849840225,2263,14399.0,4e-06,174.0,28450000.0,230.850645,
2014-11-19,719.882078842,1711,13905.0,4e-06,492.0,24800000.0,190.623220018,
