date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2016-11-01,11592612.4611,5588,2895110.0,1599.72,4802060.0,972.24066653,0.30023121,
2016-11-02,11768232.0893,6922,3701650.0,1326.29,3936160.0,1165.93871891,0.41087831,
2016-11-03,10083564.8869,6844,3728630.0,940.66,2783300.0,1369.4076097,0.55510851,
2016-11-04,7872807.43287,7208,4734940.0,887.66,2469390.0,1613.23521831,0.33327751,
2016-11-05,2928623.06509,3925,4167660.0,599.52,1984150.0,1799.58306901,0.3127255,
2016-11-06,2513930.44254,3185,4422370.0,504.27,2390590.0,1987.56421187,0.33259283,
2016-11-07,3517578.8349,3730,3436850.0,319.23,1808930.0,2216.52474988,0.31756121,
2016-11-08,1459869.25512,3024,3035070.0,233.78,2578200.0,2400.65442837,0.25680038,
2016-11-09,2609039.81376,2857,5098610.0,331.69,3706020.0,2573.9037788,0.27552544,
2016-11-10,2084341.09864,2436,4580450.0,254.94,1255400.0,2823.0773086,0.21644517,
2016-11-11,1678838.98172,2466,4667530.0,224.67,1173130.0,3083.92528028,0.249479,
2016-11-12,1507409.29727,2443,4372390.0,183.02,1167540.0,3188.85176279,0.564429180001,
2016-11-13,1255988.16676,2588,3875970.0,143.17,1401920.0,3479.2897819,0.975313739999,
2016-11-14,1284628.79871,2699,3594280.0,117.55,1418260.0,3670.65031568,0.626861309999,
2016-11-15,1015020.92137,2505,3600530.0,105.16,2030660.0,3946.53296927,0.61395575,
2016-11-16,1211510.79234,2426,4190380.0,109.71,1443840.0,3966.81233667,1.33309286,
2016-11-17,1145928.03285,3226,4107780.0,97.48,915597.0,4389.0324272,4.63911205,
2016-11-18,1249188.77849,3087,4064910.0,87.33,1032890.0,4376.17352498,4.68496121,
2016-11-19,965556.981862,2926,3622130.0,71.12,822655.0,4697.13650032,3.5167761,
2016-11-20,866115.944356,2623,3632640.0,65.29,598211.0,4857.40378517,2.41914155,
2016-11-21,696086.40306,2065,3627400.0,59.96,711312.0,5158.88574908,0.25070414,
2016-11-22,690352.823687,2014,3546160.0,54.01,1326320.0,5215.44288115,0.221206430001,
2016-11-23,837241.795247,2208,4077640.0,57.54,2391080.0,5592.63590798,0.23750097,
2016-11-24,1199613.33861,2570,5998180.0,78.43,4090150.0,5855.74328202,0.2835849,
2016-11-25,1740797.62295,2325,7953550.0,96.64,3525760.0,5832.19318061,0.32477331,
2016-11-26,1284890.68864,2201,8032700.0,91.13,1902290.0,6075.12975897,0.282837609999,
2016-11-27,1211014.39132,2502,7286500.0,77.33,1465100.0,6322.22644796,1.49714774,
