date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses
2017-08-19,41083470.8587,7437,176747000.0,0.294578,52677500.0,6599,
2017-08-20,28374826.9245,2578,282777000.0,0.471296,16016500.0,2293,
2017-08-21,12528838.5426,2022,253364000.0,0.422273,15013800.0,1991,
2017-08-22,10770738.2494,1586,175773000.0,0.351547,8045240.0,1555,
2017-08-23,7070585.09679,1973,182005000.0,0.36401,8663860.0,1769,
2017-08-24,6268285.09327,1633,191353000.0,0.382705,6227850.0,1477,
2017-08-25,7563014.73014,1608,193716000.0,0.387431,6146620.0,1423,
2017-08-26,12638695.7765,2191,181011000.0,0.362022,10377400.0,1811,
2017-08-27,3611009.57893,1099,177403000.0,0.354806,4536030.0,1078,
2017-08-28,5068834.03093,1563,176230000.0,0.352459,6639910.0,1260,
2017-08-29,6481812.09225,1521,170550000.0,0.341101,6321130.0,1345,
2017-08-30,6978113.20111,1949,180553000.0,0.361106,5733410.0,1701,
2017-08-31,6385684.94762,1657,165485000.0,0.33097,6919520.0,1537,
2017-09-01,6700072.063,1866,186388000.0,0.372777,9229510.0,1674,
2017-09-02,4158065.13093,1348,192270000.0,0.38454,6092920.0,1128,
2017-09-03,3236915.97734,1129,153759000.0,0.307518,4038540.0,1025,
2017-09-04,11161635.8573,2371,142959000.0,0.285917,10708700.0,1916,
2017-09-05,4368608.02446,1569,118242000.0,0.236484,5406050.0,1368,
2017-09-06,3668062.60684,1323,118267000.0,0.236535,3987820.0,1194,
2017-09-07,4982042.35925,2111,128225000.0,0.25645,8513980.0,1418,
2017-09-08,5299771.57316,1432,154852000.0,0.309705,5590490.0,1213,
2017-09-09,2266390.58295,965,129211000.0,0.258422,1972250.0,871,
2017-09-10,1908728.6642,898,129062000.0,0.258124,2159810.0,747,
2017-09-11,3308882.70236,1471,123419000.0,0.246839,4856890.0,1310,
2017-09-12,3275780.38013,1229,137703000.0,0.275405,3791170.0,1218,
2017-09-13,3534653.82671,1034,128516000.0,0.257031,3405890.0,903,
2017-09-14,3084131.81028,1151,111704000.0,0.223408,3056000.0,996,
2017-09-15,2477407.94786,1218,88223500.0,0.176447,3595670.0,1137,
2017-09-16,1715138.93287,768,104408000.0,0.208816,1383050.0,741,
2017-09-17,1062688.45706,558,104930000.0,0.20986,986802.0,536,
2017-09-18,1825958.97454,864,104110000.0,0.20822,1865790.0,877,
2017-09-19,1946495.06471,860,115531000.0,0.231063,2320980.0,873,
2017-09-20,1820962.49709,622,101722000.0,0.203443,1849880.0,634,
2017-09-21,1133422.69738,570,100145000.0,0.20029,1657700.0,585,
2017-09-22,803210.820701,500,88481000.0,0.176962,1561690.0,468,
2017-09-23,776776.652274,391,91321400.0,0.182643,931322.0,400,
2017-09-24,1097458.09377,457,93919100.0,0.187838,1091020.0,480,
2017-09-25,1259094.81482,615,88667900.0,0.177336,1820160.0,582,
2017-09-26,1464698.2001,584,97542400.0,0.195085,1508980.0,603,
2017-09-27,1344940.73495,841,97873800.0,0.195748,2398430.0,776,
2017-09-28,1765618.3056,686,115724000.0,0.231448,1822680.0,669,
2017-09-29,903830.693802,461,108315000.0,0.216631,1278350.0,464,
2017-09-30,1203401.84235,527,105401000.0,0.210802,1214660.0,527,
2017-10-01,1650210.72672,565,109004000.0,0.218009,1439060.0,538,
2017-10-02,1129821.71684,548,106877000.0,0.213754,1622300.0,547,
2017-10-03,1222226.95867,511,101287000.0,0.202575,1387310.0,548,
2017-10-04,1171276.99352,479,97657200.0,0.195314,1186820.0,526,
2017-10-05,836559.30118,454,92243800.0,0.184488,1225480.0,458,
2017-10-06,887321.517767,593,89594300.0,0.179189,1405650.0,604,
2017-10-07,1047015.55397,639,100013000.0,0.200026,1452270.0,549,
2017-10-08,2846591.29511,920,94232800.0,0.188466,2114590.0,792,
2017-10-09,1689998.38312,694,92861400.0,0.185723,2011230.0,660,
2017-10-10,2224915.5753,710,92534200.0,0.185069,2236690.0,690,
2017-10-11,3175577.78809,589,99029900.0,0.19806,1387800.0,622,
2017-10-12,3000659.76144,720,101309000.0,0.202617,2430370.0,629,
